donor_state,scm_weight,outcome
PB,0.6336966360768242,Retail volume
AC,0.19138493953521127,Retail volume
BA,0.1749184243879595,Retail volume
RN,2.0201575713097538e-15,Retail volume
MG,7.360654768708207e-16,Retail volume
TO,0.6373241079061069,ICMS
AP,0.27355418555540884,ICMS
AC,0.08815613474160362,ICMS
SP,9.655717968796156e-4,ICMS
PE,4.389202030483269e-16,ICMS
TO,0.6342606457428897,Tax revenue
AP,0.27565505987040134,Tax revenue
AC,0.09008429438670372,Tax revenue
PA,1.7751655380156918e-15,Tax revenue
PE,1.6556280763696016e-15,Tax revenue
