dropped_donor,period_date,analysis_period,loo_gap
AC,2001-11-01,pre,0.9718440002219317
AC,2001-12-01,pre,0.8892537084326406
AC,2002-01-01,pre,0.8611599156489937
AC,2002-02-01,pre,-1.2255184120495848
AC,2002-03-01,pre,-0.9771348448127029
AC,2002-04-01,pre,-2.7467383548380617
AC,2002-05-01,pre,-3.4405113288786673
AC,2002-06-01,pre,-3.3607111593696786
AC,2002-07-01,pre,2.8269427915041376
AC,2002-08-01,pre,-2.0390782346578504
AC,2002-09-01,pre,-1.7685817536142352
AC,2002-10-01,pre,-1.351516075556706
AC,2002-11-01,pre,-1.4597386380024844
AC,2002-12-01,pre,-1.9997922917293778
AC,2003-01-01,pre,-0.052678297028588617
AC,2003-02-01,pre,-2.892158722211988
AC,2003-03-01,pre,-1.6687188107476274
AC,2003-04-01,pre,-4.132935576198712
AC,2003-05-01,pre,0.7724175026819644
AC,2003-06-01,pre,-1.1651608222771799
AC,2003-07-01,pre,-5.281194804421631
AC,2003-08-01,pre,-5.531003847745001
AC,2003-09-01,pre,-4.110937167220126
AC,2003-10-01,pre,-4.488148175154286
AC,2003-11-01,pre,-6.195775434798225
AC,2003-12-01,pre,-5.488885624330123
AC,2004-01-01,pre,-7.050728548958521
AC,2004-02-01,pre,-7.509945971936922
AC,2004-03-01,pre,-6.781170875376116
AC,2004-04-01,pre,-7.0323322398906285
AC,2004-05-01,pre,-6.350757587516359
AC,2004-06-01,pre,-5.919683766232186
AC,2004-07-01,pre,-4.665554575252603
AC,2004-08-01,pre,-3.8340841591395005
AC,2004-09-01,pre,-6.8010456103929755
AC,2004-10-01,pre,-9.010441272659644
AC,2004-11-01,post,-6.677330568752662
AC,2004-12-01,post,-8.357577287048947
AC,2005-01-01,post,-8.199260132660715
AC,2005-02-01,post,-12.547475377654084
AC,2005-03-01,post,-11.087395977096897
AC,2005-04-01,post,-10.688274879059634
AC,2005-05-01,post,-11.376847212525224
AC,2005-06-01,post,-14.072596180360076
AC,2005-07-01,post,-13.976637489435493
AC,2005-08-01,post,-13.696423846659421
AC,2005-09-01,post,-12.124685445263665
AC,2005-10-01,post,-11.282941978394394
AC,2005-11-01,post,-11.73742181531319
AC,2005-12-01,post,-9.804042734403659
AC,2006-01-01,post,-12.704164327038825
AC,2006-02-01,post,-11.12821023397266
AC,2006-03-01,post,-12.343323707502261
AC,2006-04-01,post,-8.227195553934877
AC,2006-05-01,post,-12.557940803023442
AC,2006-06-01,post,-12.068874373727073
AC,2006-07-01,post,-10.812719359091282
AC,2006-08-01,post,-12.383293267522625
AC,2006-09-01,post,-8.457785628346642
AC,2006-10-01,post,-11.934148023336483
AL,2001-11-01,pre,1.1556816897615718
AL,2001-12-01,pre,1.2924132993228703
AL,2002-01-01,pre,1.314509262655573
AL,2002-02-01,pre,-0.7104161599206371
AL,2002-03-01,pre,-0.606706029756257
AL,2002-04-01,pre,-2.2078170730255557
AL,2002-05-01,pre,-2.8842655034190408
AL,2002-06-01,pre,-2.665798492380702
AL,2002-07-01,pre,3.2054182833398635
AL,2002-08-01,pre,-1.6322450647488047
AL,2002-09-01,pre,-1.176579855095369
AL,2002-10-01,pre,-0.5395751091241117
AL,2002-11-01,pre,-0.7197524953481746
AL,2002-12-01,pre,-1.4225029620727732
AL,2003-01-01,pre,0.3495094335908071
AL,2003-02-01,pre,-2.111674527153575
AL,2003-03-01,pre,-1.0752684347973158
AL,2003-04-01,pre,-3.354732493042725
AL,2003-05-01,pre,1.0339535263176494
AL,2003-06-01,pre,-0.5953882667086425
AL,2003-07-01,pre,-4.625168632787947
AL,2003-08-01,pre,-4.885274783439311
AL,2003-09-01,pre,-3.5765977437700442
AL,2003-10-01,pre,-4.131668552877549
AL,2003-11-01,pre,-6.006712149826146
