state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason
AC,2015-12-01,2015,12,78.8560644774014,104.808271539959,-45.7439680888023,-20.1543213261072,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-01-01,2016,1,78.5955880248827,110.215226488542,-29.7128669400806,-17.1504514687067,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-02-01,2016,2,79.1654568525961,100.200488583579,-56.6565184534136,-6.5867840386325,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-03-01,2016,3,77.3111147946097,110.390946324917,-38.1940773104628,-5.39758030498185,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-04-01,2016,4,78.7847950139401,110.981647243784,-69.4058788615783,-10.6503649489009,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-05-01,2016,5,75.4844198999894,107.591778336578,-26.972092960048,-12.7274633121047,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-06-01,2016,6,76.5797919112616,120.218562750735,-17.5907774302446,2.42064131301313,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-07-01,2016,7,75.7734674355558,108.23985783141,43.0936902001964,-7.11509803549287,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-08-01,2016,8,72.1887021534165,108.128320770594,-24.203730027374,-27.4705525952944,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-09-01,2016,9,70.9534676335799,106.270999064895,-30.6925498414668,-1.53913671217224,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-10-01,2016,10,72.6422848308566,109.826759137177,-27.1181303025666,-5.19647638483192,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-11-01,2016,11,70.863693382653,104.914862370925,-78.1938759682703,7.30206275673947,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-12-01,2016,12,73.0877856665188,98.3805346904656,-15.6127159593019,2.91977844714452,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-01-01,2017,1,77.2015145919327,106.728363557892,14.2625714886002,3.4792074867313,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-02-01,2017,2,75.7616230729656,105.717606536483,-12.2141337658635,-0.823923902449896,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-03-01,2017,3,73.788796894512,105.922371598839,-31.6089726861811,-1.37629147896158,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-04-01,2017,4,77.9904725974101,108.381396481531,-55.1973708052858,-3.24394821668263,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-05-01,2017,5,78.1140217057883,103.639605243877,-2.76833712614869,0.177542714131601,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-06-01,2017,6,78.9394302212164,105.725472786803,-5.03221438409336,1.27945106529202,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-07-01,2017,7,79.9376364036948,102.498884222587,-20.1672349044502,-4.83551543777457,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-08-01,2017,8,81.5516511730049,103.566589954215,-2.82713390030265,1.27806528938005,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-09-01,2017,9,81.6772944494902,101.285760145156,-6.95368596304344,-1.71919912415374,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-10-01,2017,10,79.5997945633486,96.3716363615506,-11.1772116521408,11.35747352505,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-11-01,2017,11,77.6439484877736,103.31525929853,0.077563601484675,0.91986825650082,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-12-01,2017,12,81.2437951518222,100.04265004145,10.6925408728599,22.3183426982901,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-01-01,2018,1,80.3748155559736,99.25476842834,-21.4055358826386,-1.36014971638383,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-02-01,2018,2,82.8909519571735,103.894738988171,-40.9151672485864,-19.9044403853314,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-03-01,2018,3,87.3428391574804,98.3996097350783,4.52916214571617,-4.13641922417547,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-04-01,2018,4,84.9938609396979,94.8770495839716,20.5795548040626,0.605242195221368,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-05-01,2018,5,85.3419879398857,100.470607230241,-44.1696874565989,-16.3408171840666,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-06-01,2018,6,86.432138776642,100.823502141439,-12.7712178517651,-1.17024333453138,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
