donor_state,scm_weight
AC,0.8665777732973495
MG,0.09835622109535258
AP,0.035066005579158316
PI,1.0326915057534427e-11
RN,5.157822977138417e-12
PR,4.7421013156574014e-12
MT,2.6517721548245214e-12
RO,2.1370725970521555e-12
MS,1.641089152459919e-12
CE,1.4580470690967997e-12
ES,2.4009671131185517e-14
SP,4.3762871617781534e-16
AL,1.5533909007267324e-16
SE,1.1872502383354016e-16
PA,6.4511983457856e-17
BA,2.976590825798716e-17
RS,9.975893523592882e-18
GO,4.567359513466082e-18
MA,9.907131237672399e-20
DF,0
PB,0
PE,0
