dropped_donor,period_date,analysis_period,loo_gap
AC,2015-12-01,pre,1.4528208437975492
AC,2016-01-01,pre,-0.7312415543648676
AC,2016-02-01,pre,5.643146411356222
AC,2016-03-01,pre,11.491248030330356
AC,2016-04-01,pre,12.33161044558962
AC,2016-05-01,pre,19.731032747505626
AC,2016-06-01,pre,4.1529226764413
AC,2016-07-01,pre,9.117073318673256
AC,2016-08-01,pre,-11.36573336513942
AC,2016-09-01,pre,1.2615646469205757
AC,2016-10-01,pre,19.66652182102827
AC,2016-11-01,pre,19.429365773377857
AC,2016-12-01,pre,-1.6236790652121196
AC,2017-01-01,pre,11.661240888983281
AC,2017-02-01,pre,22.293186858609815
AC,2017-03-01,pre,1.926380516058483
AC,2017-04-01,pre,5.345321594308569
AC,2017-05-01,pre,37.297824906221415
AC,2017-06-01,pre,35.876728440477045
AC,2017-07-01,pre,11.588315465425307
AC,2017-08-01,pre,20.53072091856491
AC,2017-09-01,pre,18.0490088882604
AC,2017-10-01,pre,17.074484441586275
AC,2017-11-01,pre,16.836027252595567
AC,2017-12-01,pre,-12.797454702816058
AC,2018-01-01,pre,-0.07991915529464855
AC,2018-02-01,pre,4.069177103449322
AC,2018-03-01,pre,8.40127605850178
AC,2018-04-01,pre,-2.5894861280087325
AC,2018-05-01,pre,-27.195245216484118
AC,2018-06-01,pre,-4.252786059288772
AC,2018-07-01,pre,-8.973419332104724
AC,2018-08-01,pre,-10.933119485571119
AC,2018-09-01,pre,17.829189207321683
AC,2018-10-01,pre,6.037514480962093
AC,2018-11-01,pre,6.161487752748296
AC,2018-12-01,post,-14.986744555618506
AC,2019-01-01,post,-13.033879185158217
AC,2019-02-01,post,-57.13009419302114
AC,2019-03-01,post,-3.4394045075326556
AC,2019-04-01,post,12.81273548159963
AC,2019-05-01,post,17.986236875130963
AC,2019-06-01,post,22.678518831236868
AC,2019-07-01,post,23.170014503071542
AC,2019-08-01,post,17.00933516397651
AC,2019-09-01,post,14.595078706590693
AC,2019-10-01,post,-2.9911415564774853
AC,2019-11-01,post,3.502918069462428
AC,2019-12-01,post,-5.641731053395597
AC,2020-01-01,post,31.852631047541717
AC,2020-02-01,post,72.76753405982033
AC,2020-03-01,post,30.229624549368502
AC,2020-04-01,post,10.167523125306442
AC,2020-05-01,post,-19.563337682479656
AC,2020-06-01,post,-29.355355052330097
AC,2020-07-01,post,-7.206155446945239
AC,2020-08-01,post,3.579362900390798
AC,2020-09-01,post,32.69148911204199
AC,2020-10-01,post,20.092185155585653
AC,2020-11-01,post,18.553194576770082
AL,2015-12-01,pre,5.130827200804908
AL,2016-01-01,pre,-1.270501965905261
AL,2016-02-01,pre,0.24191782566156483
AL,2016-03-01,pre,9.560189363362674
AL,2016-04-01,pre,11.704208258789166
AL,2016-05-01,pre,21.8566150336411
AL,2016-06-01,pre,1.258453496421407
AL,2016-07-01,pre,7.198251200544219
AL,2016-08-01,pre,-4.391308010066785
AL,2016-09-01,pre,-4.45419989397536
AL,2016-10-01,pre,16.163911864772793
AL,2016-11-01,pre,14.038917963705659
AL,2016-12-01,pre,-2.4784000713580734
AL,2017-01-01,pre,5.964743513094514
AL,2017-02-01,pre,21.41064327097261
AL,2017-03-01,pre,0.7516223567108371
AL,2017-04-01,pre,1.52455928503249
AL,2017-05-01,pre,37.979732683158616
AL,2017-06-01,pre,33.43702132675395
AL,2017-07-01,pre,12.569840792495931
AL,2017-08-01,pre,18.253060088887217
AL,2017-09-01,pre,17.534412874524445
AL,2017-10-01,pre,13.524431800591667
AL,2017-11-01,pre,16.710271771539688
AL,2017-12-01,pre,-10.615995788169865
AL,2018-01-01,pre,4.549491900526659
AL,2018-02-01,pre,11.331034587238095
AL,2018-03-01,pre,9.891491936183517
AL,2018-04-01,pre,-2.500152218072624
AL,2018-05-01,pre,-25.11765632417625
AL,2018-06-01,pre,-4.63341763944858
AL,2018-07-01,pre,-13.79466912385022
AL,2018-08-01,pre,-12.771133863460093
AL,2018-09-01,pre,21.525761944514333
AL,2018-10-01,pre,7.288108814670048
AL,2018-11-01,pre,8.21951584560184
AL,2018-12-01,post,-17.77653720268915
AL,2019-01-01,post,-15.473050903467499
AL,2019-02-01,post,-54.33725500009846
AL,2019-03-01,post,-2.516723698452821
AL,2019-04-01,post,12.027770859505456
AL,2019-05-01,post,10.960344344716159
AL,2019-06-01,post,24.98908366399681
AL,2019-07-01,post,24.234336865587117
AL,2019-08-01,post,14.365575296478044
AL,2019-09-01,post,13.000195815843298
AL,2019-10-01,post,6.8437424178687065
AL,2019-11-01,post,6.762735404150387
AL,2019-12-01,post,-12.850721328638958
AL,2020-01-01,post,37.25663802381372
AL,2020-02-01,post,71.78244627312027
AL,2020-03-01,post,28.378508165102566
AL,2020-04-01,post,1.6707296200018185
AL,2020-05-01,post,-18.556816415482352
AL,2020-06-01,post,-24.266869882803
AL,2020-07-01,post,-1.6802694951195072
AL,2020-08-01,post,8.887462192498052
AL,2020-09-01,post,36.027178972360574
AL,2020-10-01,post,21.919704936565225
AL,2020-11-01,post,23.472658842938387
AP,2015-12-01,pre,7.241311645790742
AP,2016-01-01,pre,-0.7011723109153287
AP,2016-02-01,pre,0.3943966036008657
AP,2016-03-01,pre,10.216661433232352
AP,2016-04-01,pre,11.175666784998718
AP,2016-05-01,pre,23.31660931514986
AP,2016-06-01,pre,1.092031873062865
AP,2016-07-01,pre,6.142307302040318
AP,2016-08-01,pre,-2.8574773674381504
AP,2016-09-01,pre,-5.082487731391444
AP,2016-10-01,pre,16.24670974243014
AP,2016-11-01,pre,13.737177379246843
AP,2016-12-01,pre,0.4403879675538809
AP,2017-01-01,pre,5.606703102587847
AP,2017-02-01,pre,24.25799454816196
AP,2017-03-01,pre,0.08258870961490672
AP,2017-04-01,pre,2.447058398117516
AP,2017-05-01,pre,37.46636088622803
AP,2017-06-01,pre,33.52067652899311
AP,2017-07-01,pre,12.650600717129766
AP,2017-08-01,pre,14.69132918985245
AP,2017-09-01,pre,17.79571177063176
AP,2017-10-01,pre,12.182881013302019
AP,2017-11-01,pre,14.671070834518284
AP,2017-12-01,pre,-14.741764258925947
AP,2018-01-01,pre,6.491718939298816
AP,2018-02-01,pre,11.259686871847514
AP,2018-03-01,pre,9.594188120596849
AP,2018-04-01,pre,-0.3192761899089056
AP,2018-05-01,pre,-23.213724259608703
AP,2018-06-01,pre,-3.8830628074122435
AP,2018-07-01,pre,-13.658772885159209
AP,2018-08-01,pre,-14.105597621232466
AP,2018-09-01,pre,22.270852098086714
AP,2018-10-01,pre,7.909250345623931
AP,2018-11-01,pre,8.724851962301607
AP,2018-12-01,post,-18.479411475764888
AP,2019-01-01,post,-14.104947293178258
AP,2019-02-01,post,-53.961968045797754
AP,2019-03-01,post,-1.9006978959610015
AP,2019-04-01,post,12.829958683744266
AP,2019-05-01,post,9.77647838580376
AP,2019-06-01,post,25.322925245332886
AP,2019-07-01,post,24.202425731966613
AP,2019-08-01,post,14.467495988224222
AP,2019-09-01,post,12.667168499284209
AP,2019-10-01,post,7.435692429287436
AP,2019-11-01,post,5.755182602047075
AP,2019-12-01,post,-13.612107610481573
AP,2020-01-01,post,37.01616812979525
AP,2020-02-01,post,69.37425855130654
AP,2020-03-01,post,29.412847978568905
AP,2020-04-01,post,2.725906399175802
AP,2020-05-01,post,-18.181858295164005
AP,2020-06-01,post,-25.631453703820704
AP,2020-07-01,post,-4.092230997439604
AP,2020-08-01,post,8.143326750448253
AP,2020-09-01,post,33.79489277804716
AP,2020-10-01,post,17.764300541227954
AP,2020-11-01,post,22.33359934643744
BA,2015-12-01,pre,5.5267982114145076
BA,2016-01-01,pre,-1.1324999304984154
BA,2016-02-01,pre,0.21781754711117784
BA,2016-03-01,pre,9.604394713501476
BA,2016-04-01,pre,11.755230268828493
BA,2016-05-01,pre,22.099642281731423
BA,2016-06-01,pre,1.1390884262304284
BA,2016-07-01,pre,7.081070843214737
BA,2016-08-01,pre,-4.0665162135696296
BA,2016-09-01,pre,-4.721530354153716
BA,2016-10-01,pre,16.050592747593292
BA,2016-11-01,pre,13.711416019261053
BA,2016-12-01,pre,-2.2044778126975166
BA,2017-01-01,pre,5.711673017244677
BA,2017-02-01,pre,21.54696316077944
BA,2017-03-01,pre,0.7796296316464444
BA,2017-04-01,pre,1.541616802899771
BA,2017-05-01,pre,37.96691195027255
BA,2017-06-01,pre,33.40692248253108
BA,2017-07-01,pre,12.52006000869796
BA,2017-08-01,pre,17.832801927383574
BA,2017-09-01,pre,17.520971985690807
BA,2017-10-01,pre,13.226636863322183
BA,2017-11-01,pre,16.514377805550666
BA,2017-12-01,pre,-10.823648514470637
BA,2018-01-01,pre,4.936108024642776
