dropped_donor,period_date,analysis_period,loo_gap
AC,2015-12-01,pre,-12.535783658774733
AC,2016-01-01,pre,-8.616535464691196
AC,2016-02-01,pre,-7.566342518678994
AC,2016-03-01,pre,-7.542338233548449
AC,2016-04-01,pre,-10.511989445907815
AC,2016-05-01,pre,-9.738341572339976
AC,2016-06-01,pre,-0.49293879253892214
AC,2016-07-01,pre,-2.987075820544902
AC,2016-08-01,pre,-4.721316613473448
AC,2016-09-01,pre,-1.8141666491474666
AC,2016-10-01,pre,6.315442246258868
AC,2016-11-01,pre,2.157878942948585
AC,2016-12-01,pre,-1.3522893967601846
AC,2017-01-01,pre,-8.3416122597543
AC,2017-02-01,pre,-10.42590831341569
AC,2017-03-01,pre,-15.336633647941994
AC,2017-04-01,pre,-13.08959667591563
AC,2017-05-01,pre,-15.684911469717747
AC,2017-06-01,pre,-15.303619286233328
AC,2017-07-01,pre,-14.294394679546286
AC,2017-08-01,pre,-9.886032700457903
AC,2017-09-01,pre,-9.826788772067246
AC,2017-10-01,pre,-10.626281853648692
AC,2017-11-01,pre,-9.221972569242055
AC,2017-12-01,pre,2.290403006132678
AC,2018-01-01,pre,-15.275493066615098
AC,2018-02-01,pre,-7.572865517284413
AC,2018-03-01,pre,-4.734632533423635
AC,2018-04-01,pre,-3.4892405613968833
AC,2018-05-01,pre,-0.8172471247447248
AC,2018-06-01,pre,-4.322400316578225
AC,2018-07-01,pre,-5.383636588754655
AC,2018-08-01,pre,-8.923396970846838
AC,2018-09-01,pre,-12.077816256462597
AC,2018-10-01,pre,-11.777102143670419
AC,2018-11-01,pre,-9.735991990645516
AC,2018-12-01,post,-11.770598471571844
AC,2019-01-01,post,-4.615816224122753
AC,2019-02-01,post,-2.0722580708580836
AC,2019-03-01,post,-0.46848395568437695
AC,2019-04-01,post,-0.2593776465754303
AC,2019-05-01,post,3.8599866031011487
AC,2019-06-01,post,-2.451637732720542
AC,2019-07-01,post,-3.3797978563229094
AC,2019-08-01,post,0.6835739360424498
AC,2019-09-01,post,-1.0336587741491172
AC,2019-10-01,post,-15.961034193310695
AC,2019-11-01,post,-5.838642992795954
AC,2019-12-01,post,3.572394370128208
AC,2020-01-01,post,-7.379181173605929
AC,2020-02-01,post,-1.4852035552056435
AC,2020-03-01,post,1.3381991627472445
AC,2020-04-01,post,-5.076065590070527
AC,2020-05-01,post,-10.471844473183403
AC,2020-06-01,post,-8.15081152434226
AC,2020-07-01,post,-5.5984416810647275
AC,2020-08-01,post,-7.601810594363386
AC,2020-09-01,post,-6.852953555309838
AC,2020-10-01,post,-2.4033993393095585
AC,2020-11-01,post,-1.8525788535630596
AL,2015-12-01,pre,-11.239760434044697
AL,2016-01-01,pre,-8.225698268321437
AL,2016-02-01,pre,-5.900517148014089
AL,2016-03-01,pre,-6.91159693438766
AL,2016-04-01,pre,-10.22576240358677
AL,2016-05-01,pre,-8.952662251259127
AL,2016-06-01,pre,-1.804248277190453
AL,2016-07-01,pre,-3.6402726286213465
AL,2016-08-01,pre,-5.044312553706689
AL,2016-09-01,pre,-2.226915481376551
AL,2016-10-01,pre,5.068035774228363
AL,2016-11-01,pre,1.8112617069421049
AL,2016-12-01,pre,-1.211109170740059
AL,2017-01-01,pre,-10.108994674351123
AL,2017-02-01,pre,-11.960571473405011
AL,2017-03-01,pre,-16.86576168348401
AL,2017-04-01,pre,-14.680410048694213
AL,2017-05-01,pre,-16.833672593045677
AL,2017-06-01,pre,-16.537020803643358
AL,2017-07-01,pre,-14.878133443503799
AL,2017-08-01,pre,-11.20139408774088
AL,2017-09-01,pre,-10.873881039844335
AL,2017-10-01,pre,-11.06471652992255
AL,2017-11-01,pre,-10.961760240888225
AL,2017-12-01,pre,1.1279449655985587
AL,2018-01-01,pre,-16.13401099960936
AL,2018-02-01,pre,-8.907312654321203
AL,2018-03-01,pre,-5.670509679265734
AL,2018-04-01,pre,-4.109875574455401
AL,2018-05-01,pre,-2.6488708829348155
AL,2018-06-01,pre,-5.918664522257217
AL,2018-07-01,pre,-6.930875792474055
AL,2018-08-01,pre,-9.740239640818004
AL,2018-09-01,pre,-13.264643233058365
AL,2018-10-01,pre,-13.177967446094144
AL,2018-11-01,pre,-10.51254424803173
AL,2018-12-01,post,-13.632807051720036
AL,2019-01-01,post,-5.37996962017661
AL,2019-02-01,post,-3.081085761420539
AL,2019-03-01,post,-1.3172728402284974
AL,2019-04-01,post,-1.0790871577345484
AL,2019-05-01,post,2.829871211699597
AL,2019-06-01,post,-3.2242584092154374
AL,2019-07-01,post,-4.410902915091981
AL,2019-08-01,post,0.16597227837125672
AL,2019-09-01,post,-2.3617935686936278
AL,2019-10-01,post,-16.17847245312697
AL,2019-11-01,post,-6.7836024749870205
AL,2019-12-01,post,2.6761064648279955
AL,2020-01-01,post,-8.098043209790802
AL,2020-02-01,post,-3.288498343162715
AL,2020-03-01,post,0.1025735816522797
AL,2020-04-01,post,-5.638801602925398
AL,2020-05-01,post,-11.11277345650469
AL,2020-06-01,post,-8.762076772041809
AL,2020-07-01,post,-6.019446166604737
AL,2020-08-01,post,-8.400572107714282
AL,2020-09-01,post,-7.761828021065355
AL,2020-10-01,post,-2.898326882502687
AL,2020-11-01,post,-3.568678782259724
AP,2015-12-01,pre,-6.138556659583557
AP,2016-01-01,pre,-6.353237439667367
AP,2016-02-01,pre,-0.4386460344078671
AP,2016-03-01,pre,-5.062168426649464
AP,2016-04-01,pre,-9.293579472702973
AP,2016-05-01,pre,-6.588443629738165
AP,2016-06-01,pre,-7.085751956234219
AP,2016-07-01,pre,-6.36258752729168
AP,2016-08-01,pre,-6.858398796937465
AP,2016-09-01,pre,-4.715849475075814
AP,2016-10-01,pre,-0.9990945240919018
AP,2016-11-01,pre,-1.50149460975571
AP,2016-12-01,pre,-2.762953870284605
AP,2017-01-01,pre,-16.454021179032765
AP,2017-02-01,pre,-16.976965886318652
AP,2017-03-01,pre,-21.56644776144263
AP,2017-04-01,pre,-19.948498413236365
AP,2017-05-01,pre,-20.24036330352402
AP,2017-06-01,pre,-20.057392678662097
AP,2017-07-01,pre,-16.709637550466084
AP,2017-08-01,pre,-15.27504442228394
AP,2017-09-01,pre,-13.911833079682054
AP,2017-10-01,pre,-11.873256784296544
AP,2017-11-01,pre,-16.032584727769034
AP,2017-12-01,pre,-1.8148363708464075
AP,2018-01-01,pre,-18.77415391331057
AP,2018-02-01,pre,-12.996423972968259
AP,2018-03-01,pre,-8.585160843767937
