dropped_donor,period_date,analysis_period,loo_gap
AC,2015-02-01,pre,-0.007925041908022123
AC,2015-04-01,pre,0.08680312180931349
AC,2015-06-01,pre,0.18303323604353938
AC,2015-08-01,pre,0.10009136680740216
AC,2015-10-01,pre,0.05411662596233224
AC,2015-12-01,pre,0.2707521130500403
AC,2016-02-01,pre,0.1900974199372012
AC,2016-04-01,pre,0.018537339085043847
AC,2016-06-01,pre,0.14824157937138338
AC,2016-08-01,pre,-0.00309256951322201
AC,2016-10-01,pre,-0.1368038454414222
AC,2016-12-01,pre,0.08906127454958135
AC,2017-02-01,pre,0.2778814659412241
AC,2017-04-01,pre,0.08310023077789097
AC,2017-06-01,pre,0.05088941546311876
AC,2017-08-01,pre,-0.05663926857437929
AC,2017-10-01,pre,0.06104590269881616
AC,2017-12-01,pre,-0.12976815150543786
AC,2018-02-01,pre,-0.16984698466664838
AC,2018-04-01,pre,-0.253993676067358
AC,2018-06-01,pre,-0.36213544888181115
AC,2018-08-01,pre,-0.5236996871432558
AC,2018-10-01,pre,-0.501764632377113
AC,2018-12-01,post,-0.34393538128947476
AC,2019-02-01,post,0.0733602686527215
AC,2019-04-01,post,-0.15717256120791756
AC,2019-06-01,post,0.01399573419784339
AC,2019-08-01,post,0.03466484530543479
AC,2019-10-01,post,-0.039562577704773894
AC,2019-12-01,post,-0.1974282604120603
AC,2020-02-01,post,0.07159000437232343
AC,2020-04-01,post,0.2037409336761815
AC,2020-06-01,post,0.2664511759219783
AC,2020-08-01,post,0.0728604661705825
AC,2020-10-01,post,0.03393586950494942
AL,2015-02-01,pre,0.046479860666839734
AL,2015-04-01,pre,0.024853091769283076
AL,2015-06-01,pre,0.1712637502975971
AL,2015-08-01,pre,0.020909892301962607
AL,2015-10-01,pre,0.056160400881882566
AL,2015-12-01,pre,-0.05455381885356303
AL,2016-02-01,pre,0.16757594462097014
AL,2016-04-01,pre,-0.019050197813791137
AL,2016-06-01,pre,0.09930795012708238
AL,2016-08-01,pre,-6.47303046676484e-4
AL,2016-10-01,pre,0.14044411276759305
AL,2016-12-01,pre,0.10876761777839583
AL,2017-02-01,pre,0.18564138706268363
AL,2017-04-01,pre,0.114812479778724
AL,2017-06-01,pre,0.02356760698812188
AL,2017-08-01,pre,-0.011386094930731616
AL,2017-10-01,pre,-0.051252849257006794
AL,2017-12-01,pre,-0.0126064988075143
AL,2018-02-01,pre,-0.4938260950203235
AL,2018-04-01,pre,-0.3756717527987741
AL,2018-06-01,pre,-0.33935064253638547
AL,2018-08-01,pre,-0.4941199943274954
AL,2018-10-01,pre,-0.4565472425676047
AL,2018-12-01,post,-0.6013147381083259
AL,2019-02-01,post,0.05700692248620243
AL,2019-04-01,post,-0.1799538912600367
AL,2019-06-01,post,-0.06261758954954288
AL,2019-08-01,post,-0.2564598880390605
AL,2019-10-01,post,-0.08884613014605236
AL,2019-12-01,post,-0.21087233571341368
AL,2020-02-01,post,-0.13934462593265717
AL,2020-04-01,post,-0.12686635440139415
AL,2020-06-01,post,1.830697179912022e-4
AL,2020-08-01,post,-0.02856221905346512
AL,2020-10-01,post,-0.15648362512550396
AP,2015-02-01,pre,0.0473567978103171
AP,2015-04-01,pre,0.024375006080973094
AP,2015-06-01,pre,0.17144105346851024
AP,2015-08-01,pre,0.020773472059189224
AP,2015-10-01,pre,0.056179621732688645
AP,2015-12-01,pre,-0.055018828568746514
AP,2016-02-01,pre,0.16863664828550728
AP,2016-04-01,pre,-0.0183503287685296
AP,2016-06-01,pre,0.10034744097163983
AP,2016-08-01,pre,5.118692079175702e-4
AP,2016-10-01,pre,0.14155145267679448
AP,2016-12-01,pre,0.10955661176093479
AP,2017-02-01,pre,0.18648830777151826
AP,2017-04-01,pre,0.11580740913155818
AP,2017-06-01,pre,0.024213644528233047
AP,2017-08-01,pre,-0.010457964066629799
AP,2017-10-01,pre,-0.05053571297933157
AP,2017-12-01,pre,-0.011983802950465972
AP,2018-02-01,pre,-0.4948376937014096
AP,2018-04-01,pre,-0.37565357589454695
AP,2018-06-01,pre,-0.3395215147127155
AP,2018-08-01,pre,-0.4945507841791077
AP,2018-10-01,pre,-0.45661226921698805
AP,2018-12-01,post,-0.6024252356442847
AP,2019-02-01,post,0.056853153193169526
AP,2019-04-01,post,-0.18005468670085722
AP,2019-06-01,post,-0.06270060653112441
AP,2019-08-01,post,-0.25729282069000536
AP,2019-10-01,post,-0.08892148715464376
AP,2019-12-01,post,-0.21077387873110798
AP,2020-02-01,post,-0.13916799975781924
AP,2020-04-01,post,-0.12715777211354684
AP,2020-06-01,post,4.197997285535493e-4
AP,2020-08-01,post,-0.028398470179300084
AP,2020-10-01,post,-0.156454093034049
BA,2015-02-01,pre,0.04237785755412915
BA,2015-04-01,pre,0.020219615908188437
BA,2015-06-01,pre,0.1662608763165725
BA,2015-08-01,pre,0.01639610365492672
BA,2015-10-01,pre,0.05136232521820894
BA,2015-12-01,pre,-0.058839541411018104
BA,2016-02-01,pre,0.16321413995052048
BA,2016-04-01,pre,-0.024430576743789345
BA,2016-06-01,pre,0.0940988683860029
BA,2016-08-01,pre,-0.005986632114328039
BA,2016-10-01,pre,0.1350128653511078
BA,2016-12-01,pre,0.10380847889810774
BA,2017-02-01,pre,0.18098321381623883
BA,2017-04-01,pre,0.10978819281488672
BA,2017-06-01,pre,0.01911496646253319
BA,2017-08-01,pre,-0.015994442279170684
BA,2017-10-01,pre,-0.055946137478103175
BA,2017-12-01,pre,-0.017378770637932917
