donor_state,scm_weight,outcome
PA,0.49318914788220913,Retail volume
ES,0.3224821256841199,Retail volume
MT,0.10320403126265526,Retail volume
AP,0.07655178717749,Retail volume
PR,0.0045729079935243,Retail volume
SP,0.4304728713123789,Services volume
MS,0.2802489387996949,Services volume
RS,0.23686411709672525,Services volume
MA,0.02847669627362704,Services volume
MT,0.02393737651757362,Services volume
PR,0.8807223427707309,Formal hiring
MT,0.1192776572292686,Formal hiring
PB,2.6727755747898063e-16,Formal hiring
AP,1.5351914146964258e-16,Formal hiring
AC,4.560387545669168e-17,Formal hiring
SP,0.3995814115004475,Construction
MG,0.21303355309665925,Construction
PR,0.10480179422697676,Construction
MS,0.10104666477234583,Construction
MT,0.09505578133435058,Construction
MS,0.6082050351726025,ICMS
PR,0.19023588030899635,ICMS
GO,0.16982457929503125,ICMS
ES,0.031734505223368,ICMS
PA,8.592471291036614e-16,ICMS
MS,0.5091417087632423,Tax revenue
GO,0.25073973355961415,Tax revenue
RS,0.10280347119145132,Tax revenue
PR,0.08423854126512402,Tax revenue
ES,0.05307654522056607,Tax revenue
MT,0.3375605425973026,Public investment
SP,0.24307241911850472,Public investment
PR,0.19453844434634815,Public investment
AC,0.10376872164774184,Public investment
PI,0.0567344293373075,Public investment
PR,0.4985871950511732,Total expenditure
ES,0.2932221503234689,Total expenditure
MS,0.09547768419210194,Total expenditure
GO,0.05893910502720788,Total expenditure
CE,0.05377386540604766,Total expenditure
