dropped_donor,period_date,analysis_period,loo_gap
AC,2017-04-01,pre,-0.8531162340692617
AC,2017-06-01,pre,-36.10420138188641
AC,2017-08-01,pre,-10.753984772411172
AC,2017-10-01,pre,-19.739010840160404
AC,2017-12-01,pre,-19.5126887088569
AC,2018-02-01,pre,-38.54525193844938
AC,2018-04-01,pre,-34.297800106996704
AC,2018-06-01,pre,-60.14601775143126
AC,2018-08-01,pre,-11.469372363106913
AC,2018-10-01,pre,8.120730695914517
AC,2018-12-01,pre,19.580489650413483
AC,2019-02-01,pre,9.677068116691828
AC,2019-04-01,pre,1.9236710024430863
AC,2019-06-01,pre,2.7175707146876675
AC,2019-08-01,pre,4.511269325640001
AC,2019-10-01,pre,11.552644979685795
AC,2019-12-01,pre,-7.072359475183703
AC,2020-02-01,pre,29.038360105679033
AC,2020-04-01,pre,-25.36674466989416
AC,2020-06-01,pre,-38.86232364984966
AC,2020-08-01,pre,27.390330578345015
AC,2020-10-01,pre,25.988764972627337
AC,2020-12-01,pre,9.129168056946753
AC,2021-02-01,pre,-6.548319282086879
AC,2021-04-01,post,-13.789818949219978
AC,2021-06-01,post,-4.438706476710649
AC,2021-08-01,post,58.00085362027744
AC,2021-10-01,post,6.486264264848387
AC,2021-12-01,post,-119.07814036109454
AC,2022-02-01,post,74.40753120908971
AC,2022-04-01,post,7.79514168414687
AC,2022-06-01,post,-6.329251851266008
AC,2022-08-01,post,-50.8253429792411
AC,2022-10-01,post,-36.793344289316565
AC,2022-12-01,post,-12.780085017806641
AC,2023-02-01,post,-31.623308079109677
AP,2017-04-01,pre,-1.6241124861999197
AP,2017-06-01,pre,-36.95534466765622
AP,2017-08-01,pre,-11.895866503276238
AP,2017-10-01,pre,-19.613600344795884
AP,2017-12-01,pre,-20.131980605833633
AP,2018-02-01,pre,-39.0000270542842
AP,2018-04-01,pre,-34.36076374343742
AP,2018-06-01,pre,-60.99658634506221
AP,2018-08-01,pre,-12.206922851024899
AP,2018-10-01,pre,8.26402892326297
AP,2018-12-01,pre,19.32277289205996
AP,2019-02-01,pre,9.693947071536513
AP,2019-04-01,pre,2.305285872668435
AP,2019-06-01,pre,3.0765983296129775
AP,2019-08-01,pre,4.68689650507207
AP,2019-10-01,pre,11.418510102141852
AP,2019-12-01,pre,-7.378976600750889
AP,2020-02-01,pre,28.78422864102572
AP,2020-04-01,pre,-25.276073840406696
AP,2020-06-01,pre,-39.95343035423565
AP,2020-08-01,pre,27.226730026533005
AP,2020-10-01,pre,27.830404717756608
AP,2020-12-01,pre,8.88829903464898
AP,2021-02-01,pre,-6.917033959224625
AP,2021-04-01,post,-14.325166404661843
AP,2021-06-01,post,-5.300648467903784
AP,2021-08-01,post,58.66391268734674
AP,2021-10-01,post,6.797202761572976
AP,2021-12-01,post,-118.01355504035195
AP,2022-02-01,post,75.45869361806001
AP,2022-04-01,post,8.68167015869301
AP,2022-06-01,post,-5.524830252309243
AP,2022-08-01,post,-50.681253869365605
AP,2022-10-01,post,-36.10780233948253
AP,2022-12-01,post,-11.457175265678814
AP,2023-02-01,post,-30.93503704565336
BA,2017-04-01,pre,-1.7963801376050128
BA,2017-06-01,pre,-37.47271395720793
BA,2017-08-01,pre,-12.352912007712234
BA,2017-10-01,pre,-19.411874999181066
BA,2017-12-01,pre,-20.46284682272085
BA,2018-02-01,pre,-39.032914806172414
BA,2018-04-01,pre,-34.690006699884634
BA,2018-06-01,pre,-61.435195773606665
BA,2018-08-01,pre,-12.734485137603087
BA,2018-10-01,pre,8.404310328128759
BA,2018-12-01,pre,19.266190138706747
BA,2019-02-01,pre,9.665027380992512
BA,2019-04-01,pre,2.6048581041659986
BA,2019-06-01,pre,3.2831671271631535
BA,2019-08-01,pre,4.829313725024463
BA,2019-10-01,pre,11.38610221708916
BA,2019-12-01,pre,-7.909097823518891
BA,2020-02-01,pre,27.808318656269535
BA,2020-04-01,pre,-26.317938158945765
BA,2020-06-01,pre,-41.35755166944375
BA,2020-08-01,pre,26.396223312985512
BA,2020-10-01,pre,27.693964621448117
