dropped_donor,period_date,analysis_period,loo_gap
AC,2018-03-01,pre,-7.7750376104213785
AC,2018-04-01,pre,-7.275937220406888
AC,2018-05-01,pre,-10.183210442448456
AC,2018-06-01,pre,-9.270742178392155
AC,2018-07-01,pre,-7.83028586345165
AC,2018-08-01,pre,-11.618423627419205
AC,2018-09-01,pre,-9.149732730800338
AC,2018-10-01,pre,-8.943223014277905
AC,2018-11-01,pre,-8.291383025049313
AC,2018-12-01,pre,-10.158301135169808
AC,2019-01-01,pre,-4.177338920587275
AC,2019-02-01,pre,-4.347573934306993
AC,2019-03-01,pre,-0.7786802909921846
AC,2019-04-01,pre,-2.315977144956136
AC,2019-05-01,pre,-1.6740218301125225
AC,2019-06-01,pre,-3.263321547265207
AC,2019-07-01,pre,-3.1250777659418105
AC,2019-08-01,pre,-1.1261051425532287
AC,2019-09-01,pre,-0.387631217183511
AC,2019-10-01,pre,0.38737889793151226
AC,2019-11-01,pre,-1.339375574423883
AC,2019-12-01,pre,-2.175184645949159
AC,2020-01-01,pre,-4.219956753340597
AC,2020-02-01,pre,-1.6985011988997059
AC,2020-03-01,pre,-1.449919935283944
AC,2020-04-01,pre,4.8781193033954935
AC,2020-05-01,pre,4.264904340077109
AC,2020-06-01,pre,5.586224214023645
AC,2020-07-01,pre,6.527927446207229
AC,2020-08-01,pre,5.195868000436363
AC,2020-09-01,pre,3.4576213571217522
AC,2020-10-01,pre,2.9237615611000365
AC,2020-11-01,pre,4.536746629521701
AC,2020-12-01,pre,4.6192551878896495
AC,2021-01-01,pre,0.5139502156774682
AC,2021-02-01,pre,2.346080431038473
AC,2021-03-01,post,6.324752768781067
AC,2021-04-01,post,1.7923421331674803
AC,2021-05-01,post,-0.48059876452595063
AC,2021-06-01,post,3.200054593973519
AC,2021-07-01,post,8.26526783439455
AC,2021-08-01,post,4.24486015510702
AC,2021-09-01,post,2.75208756667287
AC,2021-10-01,post,1.7600059429030352
AC,2021-11-01,post,0.7755162290987414
AC,2021-12-01,post,0.7097961124764254
AC,2022-01-01,post,-0.09528932819820568
AC,2022-02-01,post,0.4911870411208099
AC,2022-03-01,post,0.033564865200418126
AC,2022-04-01,post,-0.32955260133032027
AC,2022-05-01,post,-2.612893813513324
AC,2022-06-01,post,0.25163696658735546
AC,2022-07-01,post,0.6869193466588257
AC,2022-08-01,post,-0.27313094088667356
AC,2022-09-01,post,1.128959688090461
AC,2022-10-01,post,-0.2653861527247301
AC,2022-11-01,post,1.4711633138476543
AC,2022-12-01,post,-0.15084958150018224
AC,2023-01-01,post,2.9059134084862563
AC,2023-02-01,post,1.1993491851997646
AP,2018-03-01,pre,-7.560552943333292
AP,2018-04-01,pre,-6.995425571817222
AP,2018-05-01,pre,-9.91709633690948
AP,2018-06-01,pre,-9.065467114473492
AP,2018-07-01,pre,-7.712859164453903
AP,2018-08-01,pre,-11.258336030190577
AP,2018-09-01,pre,-8.843122121015853
AP,2018-10-01,pre,-8.705971170807828
AP,2018-11-01,pre,-8.011952961905692
AP,2018-12-01,pre,-9.884405389331405
AP,2019-01-01,pre,-3.8557293965890125
AP,2019-02-01,pre,-3.98954801701764
AP,2019-03-01,pre,-0.5337973691243292
AP,2019-04-01,pre,-2.025674336826441
AP,2019-05-01,pre,-1.3193617900303707
AP,2019-06-01,pre,-2.9568275985998014
AP,2019-07-01,pre,-2.8141091833476253
AP,2019-08-01,pre,-0.8934880408122581
AP,2019-09-01,pre,-0.13558824253409796
AP,2019-10-01,pre,0.6001521926579727
AP,2019-11-01,pre,-1.1039642747221592
AP,2019-12-01,pre,-1.6516770222919916
AP,2020-01-01,pre,-3.947572754540886
AP,2020-02-01,pre,-1.4140423433962894
AP,2020-03-01,pre,-1.329727096208714
AP,2020-04-01,pre,4.8733052857318455
AP,2020-05-01,pre,4.338324641194987
AP,2020-06-01,pre,5.587763394783082
AP,2020-07-01,pre,6.618433345333585
AP,2020-08-01,pre,5.298396451407555
AP,2020-09-01,pre,3.5003871948308642
AP,2020-10-01,pre,2.8571692954820946
AP,2020-11-01,pre,4.433401221562335
AP,2020-12-01,pre,4.618360131458928
AP,2021-01-01,pre,0.39826387623709536
AP,2021-02-01,pre,2.2365235557296046
AP,2021-03-01,post,6.1037189341708284
AP,2021-04-01,post,1.836059426996286
AP,2021-05-01,post,-0.15041098621291837
AP,2021-06-01,post,3.3051919668435943
AP,2021-07-01,post,8.127388995327607
AP,2021-08-01,post,4.142895636597373
