dropped_donor,period_date,analysis_period,loo_gap
AC,2018-03-01,pre,0
AC,2018-04-01,pre,2.16139371964843
AC,2018-05-01,pre,0.2697214846294571
AC,2018-06-01,pre,0.5902603828858162
AC,2018-07-01,pre,0.0953520412533777
AC,2018-08-01,pre,2.499352120507652
AC,2018-09-01,pre,1.2846897475786392
AC,2018-10-01,pre,1.8491093487494368
AC,2018-11-01,pre,2.9322486537588475
AC,2018-12-01,pre,1.0925201152610526
AC,2019-01-01,pre,-1.0173489651897683
AC,2019-02-01,pre,-0.31292805421098535
AC,2019-03-01,pre,3.165275492034297
AC,2019-04-01,pre,3.915309856402601
AC,2019-05-01,pre,5.9680397852656455
AC,2019-06-01,pre,0.8437011621284825
AC,2019-07-01,pre,-0.5825533519312387
AC,2019-08-01,pre,-1.6855462504435081
AC,2019-09-01,pre,-2.7169871459425963
AC,2019-10-01,pre,-1.3725025961253863
AC,2019-11-01,pre,-3.7541770072261897
AC,2019-12-01,pre,-2.2717878037913692
AC,2020-01-01,pre,-1.2961166932010002
AC,2020-02-01,pre,-0.19898719745110327
AC,2020-03-01,pre,-0.27341369041184294
AC,2020-04-01,pre,-3.1217182831426697
AC,2020-05-01,pre,3.4316702990180232
AC,2020-06-01,pre,1.6512744433744473
AC,2020-07-01,pre,3.2070626257126094
AC,2020-08-01,pre,3.7222347522395296
AC,2020-09-01,pre,3.8227350043838015
AC,2020-10-01,pre,4.772474736499163
AC,2020-11-01,pre,3.1209507451743406
AC,2020-12-01,pre,1.5532039353230118
AC,2021-01-01,pre,7.542596515324178
AC,2021-02-01,pre,10.899104055874403
AC,2021-03-01,post,2.4034900283029117
AC,2021-04-01,post,4.152384278423241
AC,2021-05-01,post,3.9959400303650057
AC,2021-06-01,post,4.431035022732999
AC,2021-07-01,post,2.719318530898903
AC,2021-08-01,post,4.5341688331597965
AC,2021-09-01,post,5.260015797635532
AC,2021-10-01,post,3.790393189694882
AC,2021-11-01,post,6.160206685867337
AC,2021-12-01,post,4.744484928763541
AC,2022-01-01,post,0.6491592187453108
AC,2022-02-01,post,1.1828152701807397
AC,2022-03-01,post,1.5751731175605528
AC,2022-04-01,post,-1.9905167948208486
AC,2022-05-01,post,0.011110808112618997
AC,2022-06-01,post,-3.0554958659105864
AC,2022-07-01,post,2.816685706814937
AC,2022-08-01,post,4.184115399947302
AC,2022-09-01,post,7.581080810968885
AC,2022-10-01,post,5.51508736656109
AC,2022-11-01,post,7.837855885671388
AC,2022-12-01,post,7.780718974413986
AC,2023-01-01,post,8.633299750696139
AC,2023-02-01,post,9.493047916027919
AP,2018-03-01,pre,0
AP,2018-04-01,pre,2.1359164900189853
AP,2018-05-01,pre,0.3084788859568448
AP,2018-06-01,pre,0.5884132684222863
AP,2018-07-01,pre,0.09876855096290171
AP,2018-08-01,pre,2.490967208365106
AP,2018-09-01,pre,1.2988708566352898
AP,2018-10-01,pre,1.840943782562178
AP,2018-11-01,pre,2.8927423221125963
AP,2018-12-01,pre,1.0929709653636337
AP,2019-01-01,pre,-1.028911251214197
AP,2019-02-01,pre,-0.26337838421368076
AP,2019-03-01,pre,3.197963070017096
AP,2019-04-01,pre,3.9721259312961337
AP,2019-05-01,pre,6.056362483828735
AP,2019-06-01,pre,0.8551352338936624
AP,2019-07-01,pre,-0.5802044016257071
AP,2019-08-01,pre,-1.6943685644174309
AP,2019-09-01,pre,-2.7063047079584095
AP,2019-10-01,pre,-1.3598464671866992
AP,2019-11-01,pre,-3.7713283398071695
AP,2019-12-01,pre,-2.1786097733260874
AP,2020-01-01,pre,-1.2821571099885318
AP,2020-02-01,pre,-0.14612323177570374
AP,2020-03-01,pre,-0.17466315444025327
AP,2020-04-01,pre,-3.179569029837367
AP,2020-05-01,pre,3.336398460927043
AP,2020-06-01,pre,1.6156916295277455
AP,2020-07-01,pre,3.1689745785389505
AP,2020-08-01,pre,3.722403318031226
AP,2020-09-01,pre,3.7942119305623123
AP,2020-10-01,pre,4.77583385355922
AP,2020-11-01,pre,3.1502307074487277
AP,2020-12-01,pre,1.5807520755142122
AP,2021-01-01,pre,7.698456901160668
AP,2021-02-01,pre,10.920993563200653
AP,2021-03-01,post,2.2906498512832343
AP,2021-04-01,post,4.109891039907168
AP,2021-05-01,post,3.990521000204893
AP,2021-06-01,post,4.486985222260415
AP,2021-07-01,post,2.763213784168812
AP,2021-08-01,post,4.593034575649099
AP,2021-09-01,post,5.2847696066416745
AP,2021-10-01,post,3.872951882008195
AP,2021-11-01,post,6.226286997478681
AP,2021-12-01,post,4.7673170724493446
AP,2022-01-01,post,0.5939271192761595
AP,2022-02-01,post,1.1749176026397947
AP,2022-03-01,post,1.5951941590738556
AP,2022-04-01,post,-1.9601168873341948
AP,2022-05-01,post,0.056395752548851874
AP,2022-06-01,post,-3.088370325467892
AP,2022-07-01,post,2.898222647176098
AP,2022-08-01,post,4.306414793293499
AP,2022-09-01,post,7.694648713218655
AP,2022-10-01,post,5.564802691150916
AP,2022-11-01,post,7.944627770849905
AP,2022-12-01,post,7.8335308374768715
AP,2023-01-01,post,8.699257905050118
AP,2023-02-01,post,9.511504800123035
BA,2018-03-01,pre,0
BA,2018-04-01,pre,2.1921786537680816
BA,2018-05-01,pre,0.3150627262163965
BA,2018-06-01,pre,0.5870787215030333
BA,2018-07-01,pre,0.10569284371175058
