dropped_donor,period_date,analysis_period,loo_gap
AC,2017-04-01,pre,-0.229049484350222
AC,2017-06-01,pre,-0.23971770149825122
AC,2017-08-01,pre,-0.18375971538089342
AC,2017-10-01,pre,-0.20253925097552283
AC,2017-12-01,pre,-0.1542875723114836
AC,2018-02-01,pre,-0.24477800938311844
AC,2018-04-01,pre,-0.20472102696200256
AC,2018-06-01,pre,-0.23962276838933594
AC,2018-08-01,pre,-0.1624557382043239
AC,2018-10-01,pre,-0.11140257648011609
AC,2018-12-01,pre,-0.11898739713053974
AC,2019-02-01,pre,-0.12612977909869638
AC,2019-04-01,pre,-0.14820053260693555
AC,2019-06-01,pre,-0.17646832524699008
AC,2019-08-01,pre,-0.13741010831142297
AC,2019-10-01,pre,-0.09085694831225055
AC,2019-12-01,pre,-0.156388993794911
AC,2020-02-01,pre,0.010738779336273652
AC,2020-04-01,pre,0.01014300107925159
AC,2020-06-01,pre,0.03951499885510401
AC,2020-08-01,pre,0.03762010289020523
AC,2020-10-01,pre,-2.4247138247446287e-5
AC,2020-12-01,pre,0.018788834563576273
AC,2021-02-01,pre,0.03186505678111029
AC,2021-04-01,post,0.02975996708481876
AC,2021-06-01,post,0.0315939368577407
AC,2021-08-01,post,0.03902562717105518
AC,2021-10-01,post,0.043712276443248044
AC,2021-12-01,post,-0.16884807809784697
AC,2022-02-01,post,0.16132866417759129
AC,2022-04-01,post,0.052311022221910974
AC,2022-06-01,post,0.049296328191892336
AC,2022-08-01,post,0.003739641581758768
AC,2022-10-01,post,0.0049830648903679275
AC,2022-12-01,post,0.06449862385337912
AC,2023-02-01,post,0.04090733501922106
AP,2017-04-01,pre,-0.22851473991441296
AP,2017-06-01,pre,-0.239156750372703
AP,2017-08-01,pre,-0.18313994657277277
AP,2017-10-01,pre,-0.2027308916042614
AP,2017-12-01,pre,-0.15379177360995566
AP,2018-02-01,pre,-0.2456807953519098
AP,2018-04-01,pre,-0.2036418412400165
AP,2018-06-01,pre,-0.24118862199098512
AP,2018-08-01,pre,-0.16102922798209107
AP,2018-10-01,pre,-0.10939679016502701
AP,2018-12-01,pre,-0.11663920712244646
AP,2019-02-01,pre,-0.1264710365819548
AP,2019-04-01,pre,-0.14536867902500283
AP,2019-06-01,pre,-0.17713282462679647
AP,2019-08-01,pre,-0.13437024250893614
AP,2019-10-01,pre,-0.08853188987758376
AP,2019-12-01,pre,-0.15213239982188576
AP,2020-02-01,pre,0.01093654563119184
AP,2020-04-01,pre,0.00804645499153267
AP,2020-06-01,pre,0.035593257427552594
AP,2020-08-01,pre,0.03438546902287687
AP,2020-10-01,pre,-0.002437508356003093
AP,2020-12-01,pre,0.01702486452401164
AP,2021-02-01,pre,0.02958243235192093
AP,2021-04-01,post,0.029804282334106702
AP,2021-06-01,post,0.028322532029603664
AP,2021-08-01,post,0.044875741915697986
AP,2021-10-01,post,0.04086836476323086
AP,2021-12-01,post,-0.1706930003753948
AP,2022-02-01,post,0.15823782557274946
AP,2022-04-01,post,0.04756802440363206
AP,2022-06-01,post,0.04510862679548833
AP,2022-08-01,post,-0.0015912235547848042
AP,2022-10-01,post,-3.000225435147996e-4
AP,2022-12-01,post,0.062286129664729906
AP,2023-02-01,post,0.036510914108441206
BA,2017-04-01,pre,-0.2291528787497592
BA,2017-06-01,pre,-0.2404399691852328
BA,2017-08-01,pre,-0.18290981009278706
BA,2017-10-01,pre,-0.20375895094410623
BA,2017-12-01,pre,-0.15395684742259697
BA,2018-02-01,pre,-0.24626308618873693
BA,2018-04-01,pre,-0.20515073239394344
BA,2018-06-01,pre,-0.24340310489881833
BA,2018-08-01,pre,-0.16110925532774978
BA,2018-10-01,pre,-0.10778663832086366
BA,2018-12-01,pre,-0.11549168282305544
