dropped_donor,period_date,analysis_period,loo_gap
AC,2017-04-01,pre,593.7908735402117
AC,2017-06-01,pre,-71.45236764734204
AC,2017-08-01,pre,-78.60309431209043
AC,2017-10-01,pre,-97.82597330431406
AC,2017-12-01,pre,-198.65220712757332
AC,2018-02-01,pre,-85.221812136361
AC,2018-04-01,pre,-78.10361844080478
AC,2018-06-01,pre,-53.941299728196554
AC,2018-08-01,pre,-77.32168843329464
AC,2018-10-01,pre,-41.59410625415444
AC,2018-12-01,pre,24.660611828468063
AC,2019-02-01,pre,-108.71567329770596
AC,2019-04-01,pre,-125.20661273656742
AC,2019-06-01,pre,-69.65229439923985
AC,2019-08-01,pre,-61.833235217807555
AC,2019-10-01,pre,-56.98499391273276
AC,2019-12-01,pre,0.805237352792119
AC,2020-02-01,pre,4.41115645245668
AC,2020-04-01,pre,10.153338607055616
AC,2020-06-01,pre,-56.43219464303297
AC,2020-08-01,pre,58.43291322352957
AC,2020-10-01,pre,-6.819343584211197
AC,2020-12-01,pre,-9.60560240754046
AC,2021-02-01,pre,43.65305412820726
AC,2021-04-01,post,67.53129130175375
AC,2021-06-01,post,48.62801528552097
AC,2021-08-01,post,-23.510822039761706
AC,2021-10-01,post,43.68556647014145
AC,2021-12-01,post,142.05419535914348
AC,2022-02-01,post,52.393198394766046
AC,2022-04-01,post,140.35248454647183
AC,2022-06-01,post,187.3894420909097
AC,2022-08-01,post,133.25888295176821
AC,2022-10-01,post,14.75252714220926
AC,2022-12-01,post,145.20370991923323
AC,2023-02-01,post,16.02484933026244
AP,2017-04-01,pre,576.8343143008602
AP,2017-06-01,pre,-88.07224352539231
AP,2017-08-01,pre,-94.69568007509508
AP,2017-10-01,pre,-113.21133608560604
AP,2017-12-01,pre,-224.1671345098316
AP,2018-02-01,pre,-99.35593662235556
AP,2018-04-01,pre,-94.40761768620985
AP,2018-06-01,pre,-64.336901450499
AP,2018-08-01,pre,-87.5643723382642
AP,2018-10-01,pre,-50.135982865522124
AP,2018-12-01,pre,20.654909162578974
AP,2019-02-01,pre,-123.24284341880798
AP,2019-04-01,pre,-139.18916460273385
AP,2019-06-01,pre,-80.10480421557486
AP,2019-08-01,pre,-70.07681800558908
AP,2019-10-01,pre,-65.96614949729496
AP,2019-12-01,pre,-8.24004868054351
AP,2020-02-01,pre,2.586565408127285
AP,2020-04-01,pre,10.309176757321325
AP,2020-06-01,pre,-56.87830819258136
AP,2020-08-01,pre,60.15430599572471
AP,2020-10-01,pre,-9.28201019903804
AP,2020-12-01,pre,-9.240229058365571
AP,2021-02-01,pre,43.37046672525037
AP,2021-04-01,post,69.51398672022708
AP,2021-06-01,post,53.36236258009126
AP,2021-08-01,post,-28.727183931878585
AP,2021-10-01,post,48.145334960535365
AP,2021-12-01,post,157.44990307570208
AP,2022-02-01,post,56.4844168306679
AP,2022-04-01,post,149.21127107602751
AP,2022-06-01,post,197.4853297603463
AP,2022-08-01,post,140.45624777991895
AP,2022-10-01,post,19.586732124806417
AP,2022-12-01,post,171.10997488196926
AP,2023-02-01,post,18.557307907149152
BA,2017-04-01,pre,580.7975643246249
BA,2017-06-01,pre,-86.95564825110421
BA,2017-08-01,pre,-92.62227372970608
BA,2017-10-01,pre,-113.83025330879082
BA,2017-12-01,pre,-224.34580561068879
BA,2018-02-01,pre,-98.6631002055152
BA,2018-04-01,pre,-85.5802907904797
BA,2018-06-01,pre,-62.775166557752186
BA,2018-08-01,pre,-85.37461160519683
BA,2018-10-01,pre,-46.17746666708092
BA,2018-12-01,pre,17.816402484346213
BA,2019-02-01,pre,-122.22216354966679
BA,2019-04-01,pre,-135.20741085890074
BA,2019-06-01,pre,-77.08695973864985
BA,2019-08-01,pre,-66.22745676380998
BA,2019-10-01,pre,-63.712999064216774
BA,2019-12-01,pre,-3.560328298756076
BA,2020-02-01,pre,-0.7937289149007256
BA,2020-04-01,pre,7.526130396153917
BA,2020-06-01,pre,-62.47696401407097
BA,2020-08-01,pre,57.393429797244266
BA,2020-10-01,pre,-8.6828773328225
BA,2020-12-01,pre,-11.630705175704975
BA,2021-02-01,pre,39.92608334922238
BA,2021-04-01,post,65.12468181530721
BA,2021-06-01,post,48.21518925378177
BA,2021-08-01,post,-27.940760323494374
BA,2021-10-01,post,41.8182449598429
BA,2021-12-01,post,147.48901630473665
BA,2022-02-01,post,46.57006705652623
BA,2022-04-01,post,137.6827626226418
BA,2022-06-01,post,188.4247286154881
BA,2022-08-01,post,127.47483075277694
BA,2022-10-01,post,9.712526595580584
BA,2022-12-01,post,143.45458661365888
BA,2023-02-01,post,13.108647114394216
CE,2017-04-01,pre,585.417333390494
CE,2017-06-01,pre,-83.23334979833146
CE,2017-08-01,pre,-88.36723021004696
CE,2017-10-01,pre,-110.63586400296003
CE,2017-12-01,pre,-217.9633347983895
CE,2018-02-01,pre,-95.55990275096883
CE,2018-04-01,pre,-80.7146968234241
CE,2018-06-01,pre,-60.65115302262075
CE,2018-08-01,pre,-83.016661407843
CE,2018-10-01,pre,-44.00344131855081
CE,2018-12-01,pre,16.15201900238651
CE,2019-02-01,pre,-119.20112698578384
CE,2019-04-01,pre,-131.60590377928804
CE,2019-06-01,pre,-74.92563176941633
CE,2019-08-01,pre,-64.23664633699696
CE,2019-10-01,pre,-61.918945677534
CE,2019-12-01,pre,-0.9980329939818375
CE,2020-02-01,pre,-1.6626469438048161
CE,2020-04-01,pre,5.94214950593414
CE,2020-06-01,pre,-64.49966573129439
CE,2020-08-01,pre,55.54483715422589
CE,2020-10-01,pre,-8.645241053440031
CE,2020-12-01,pre,-12.03188554974895
CE,2021-02-01,pre,38.9323563609878
CE,2021-04-01,post,62.75545385810517
