dropped_donor,period_date,analysis_period,loo_gap
AC,2007-01-01,pre,11.281853018353356
AC,2007-02-01,pre,-0.03600716243808577
AC,2007-03-01,pre,0.9739353163350017
AC,2007-04-01,pre,24.536549404454917
AC,2007-05-01,pre,-40.72057859075373
AC,2007-06-01,pre,33.78979021966343
AC,2007-07-01,pre,-5.064209641296856
AC,2007-08-01,pre,41.7759873304078
AC,2007-09-01,pre,39.562181622418144
AC,2007-10-01,pre,42.1415480400874
AC,2007-11-01,pre,24.077351343754295
AC,2007-12-01,pre,-45.98422606671862
AC,2008-01-01,pre,-6.704484191341109
AC,2008-02-01,pre,-56.018428420171986
AC,2008-03-01,pre,-30.988149202991586
AC,2008-04-01,pre,-45.479714073405404
AC,2008-05-01,pre,63.54862842635669
AC,2008-06-01,pre,59.85387497299098
AC,2008-07-01,pre,-43.024467383041724
AC,2008-08-01,pre,-0.7574798794008899
AC,2008-09-01,pre,44.37504989474122
AC,2008-10-01,pre,-39.81400612603554
AC,2008-11-01,pre,-103.73041899808352
AC,2008-12-01,pre,-25.36860930127115
AC,2009-01-01,pre,2.9818907369801124
AC,2009-02-01,pre,40.32557515940699
AC,2009-03-01,pre,-2.786852713621342
AC,2009-04-01,pre,4.6696382445990725
AC,2009-05-01,pre,-68.5723428430005
AC,2009-06-01,pre,-31.283257981003146
AC,2009-07-01,pre,13.124152618716831
AC,2009-08-01,pre,-33.1165690788895
AC,2009-09-01,post,-22.125344586975356
AC,2009-10-01,post,42.71286333480198
AC,2009-11-01,post,1.9974657415779262
AC,2009-12-01,post,11.751937705617841
AC,2010-01-01,post,-49.705406784083
AC,2010-02-01,post,-27.120249029206335
AC,2010-03-01,post,-13.004366138496152
AC,2010-04-01,post,-49.71044097473509
AC,2010-05-01,post,16.6148347717752
AC,2010-06-01,post,22.62665180273256
AC,2010-07-01,post,29.799168244421384
AC,2010-08-01,post,39.34814306978156
AC,2010-09-01,post,-46.38439488827601
AC,2010-10-01,post,-53.48466380857466
AC,2010-11-01,post,-59.28590986115551
AC,2010-12-01,post,-53.2477670961209
AC,2011-01-01,post,-62.126309427854295
AC,2011-02-01,post,-39.286210098768166
AC,2011-03-01,post,-64.1558440370063
AC,2011-04-01,post,0.266863942553746
AC,2011-05-01,post,4.828553173857548
AC,2011-06-01,post,-46.860117705988245
AC,2011-07-01,post,-33.4325296321347
AC,2011-08-01,post,-11.057746151016048
AL,2007-01-01,pre,5.626909744210256
AL,2007-02-01,pre,-10.624467959601073
AL,2007-03-01,pre,-1.3533201377735935
