dropped_donor,period_date,analysis_period,loo_gap
AC,2006-09-01,pre,-0.3721913051429695
AC,2006-10-01,pre,-2.353627443116906
AC,2006-11-01,pre,-2.648612381355669
AC,2006-12-01,pre,-4.718268004656416
AC,2007-01-01,pre,-1.5798027501090885
AC,2007-02-01,pre,-3.0212291569192615
AC,2007-03-01,pre,2.503993649369569
AC,2007-04-01,pre,3.149710196824479
AC,2007-05-01,pre,4.865735950466821
AC,2007-06-01,pre,2.0846498403579616
AC,2007-07-01,pre,-0.14787254819006534
AC,2007-08-01,pre,3.7655700058414183
AC,2007-09-01,pre,4.0208125472002365
AC,2007-10-01,pre,-10.4030108162233
AC,2007-11-01,pre,1.274998740344003
AC,2007-12-01,pre,-0.13913357191936626
AC,2008-01-01,pre,0.9889615350321392
AC,2008-02-01,pre,-0.6292747187806214
AC,2008-03-01,pre,0.33807368105694735
AC,2008-04-01,pre,1.7017030874388652
AC,2008-05-01,pre,4.713035171091249
AC,2008-06-01,pre,3.452016406490543
AC,2008-07-01,pre,0.28777795017569474
AC,2008-08-01,pre,1.8412981546609046
AC,2008-09-01,pre,0.14737681089480503
AC,2008-10-01,pre,4.074010955444251
AC,2008-11-01,pre,0.8011412379945213
AC,2008-12-01,pre,-0.7913575484257365
AC,2009-01-01,pre,-2.577236337155
AC,2009-02-01,pre,-1.5775122420653247
AC,2009-03-01,pre,-0.9277660878475444
AC,2009-04-01,pre,-2.3455028817144523
AC,2009-05-01,pre,-5.177525630642371
AC,2009-06-01,pre,-5.323968140165903
AC,2009-07-01,pre,-2.127724809807887
AC,2009-08-01,pre,6.122247404737564
AC,2009-09-01,post,-4.336906968633876
AC,2009-10-01,post,-3.191416758639299
AC,2009-11-01,post,-3.6067633425083585
AC,2009-12-01,post,-2.6620010508383274
AC,2010-01-01,post,-6.494401865055593
AC,2010-02-01,post,-4.752391547682954
AC,2010-03-01,post,-5.580685844802382
AC,2010-04-01,post,-4.324048310585326
AC,2010-05-01,post,-9.070810870036247
AC,2010-06-01,post,-3.3972489466114126
AC,2010-07-01,post,-6.8979503172818255
AC,2010-08-01,post,-7.601391916774972
AC,2010-09-01,post,4.070884537602865
AC,2010-10-01,post,-1.3445534494623672
AC,2010-11-01,post,-6.649149544321361
AC,2010-12-01,post,-9.602334923839827
AC,2011-01-01,post,0.8357203105848896
AC,2011-02-01,post,-1.7233642455340714
AC,2011-03-01,post,-3.559002891911547
AC,2011-04-01,post,-3.0410460363551834
AC,2011-05-01,post,-1.6314500171542647
AC,2011-06-01,post,-1.5200057496109878
AC,2011-07-01,post,-3.1623014904843245
AC,2011-08-01,post,-1.7835899532917097
AL,2006-09-01,pre,-0.23356743704822236
AL,2006-10-01,pre,-2.3505686977879137
AL,2006-11-01,pre,-2.7629390222612216
AL,2006-12-01,pre,-4.648838915356549
AL,2007-01-01,pre,-1.6362289404736288
AL,2007-02-01,pre,-3.0871768322590896
AL,2007-03-01,pre,2.4998915083710997
AL,2007-04-01,pre,3.054455066322987
AL,2007-05-01,pre,4.782136799655817
AL,2007-06-01,pre,2.0413636813606786
AL,2007-07-01,pre,-0.21878676503714445
AL,2007-08-01,pre,3.6564470099556132
