dropped_donor,period_date,analysis_period,loo_gap
AC,2006-09-01,pre,0.01614750946844712
AC,2006-10-01,pre,-0.029019458167975465
AC,2006-11-01,pre,-0.031073020431768406
AC,2006-12-01,pre,-0.0710498661146497
AC,2007-01-01,pre,-0.018056992442451403
AC,2007-02-01,pre,-0.039897764316890516
AC,2007-03-01,pre,0.06140451046519857
AC,2007-04-01,pre,0.05399844392084052
AC,2007-05-01,pre,0.13216307118994752
AC,2007-06-01,pre,0.04559123754473848
AC,2007-07-01,pre,0.0021831977570574423
AC,2007-08-01,pre,0.08255522017205585
AC,2007-09-01,pre,0.041817157590909204
AC,2007-10-01,pre,-0.10671435958384112
AC,2007-11-01,pre,0.06012301827405153
AC,2007-12-01,pre,-0.005214918616830211
AC,2008-01-01,pre,0.02445819126693749
AC,2008-02-01,pre,0.025584064293870057
AC,2008-03-01,pre,0.01358782720606655
AC,2008-04-01,pre,0.06003368677091814
AC,2008-05-01,pre,0.07690920398320067
AC,2008-06-01,pre,0.06144609299348591
AC,2008-07-01,pre,0.011577229295247626
AC,2008-08-01,pre,0.011351334530858459
AC,2008-09-01,pre,-0.07566397568232475
AC,2008-10-01,pre,0.03941673438097304
AC,2008-11-01,pre,0.06510662127349498
AC,2008-12-01,pre,-0.04962608194718765
AC,2009-01-01,pre,-0.04233252797720688
AC,2009-02-01,pre,-0.047101978448718995
AC,2009-03-01,pre,-0.03958522376015061
AC,2009-04-01,pre,-0.04364805810906436
AC,2009-05-01,pre,-0.1083878975112107
AC,2009-06-01,pre,-0.09424018049571004
AC,2009-07-01,pre,-0.04838540111427303
AC,2009-08-01,pre,0.05106473947474033
AC,2009-09-01,post,-0.08229538449300389
AC,2009-10-01,post,-0.07386189952192446
AC,2009-11-01,post,-0.07326135989007021
AC,2009-12-01,post,-0.08465277619757305
AC,2010-01-01,post,-0.15221733183835173
AC,2010-02-01,post,-0.09474917925259518
AC,2010-03-01,post,-0.10831083890330273
AC,2010-04-01,post,-0.08432275471712547
AC,2010-05-01,post,-0.15075166957979036
AC,2010-06-01,post,-0.0911085267929943
AC,2010-07-01,post,-0.12736390027847477
AC,2010-08-01,post,-0.13369544014158308
AC,2010-09-01,post,0.011346217515170842
AC,2010-10-01,post,-0.07653161769921812
AC,2010-11-01,post,-0.10514673313562373
AC,2010-12-01,post,-0.19312330787187193
AC,2011-01-01,post,-0.04861984508659134
AC,2011-02-01,post,-0.04812286701985169
AC,2011-03-01,post,-0.11066753219777237
AC,2011-04-01,post,-0.11769392382152954
AC,2011-05-01,post,-0.0596858684590158
AC,2011-06-01,post,-0.06561868645726676
AC,2011-07-01,post,-0.12646182347896673
AC,2011-08-01,post,-0.06279305318505113
AL,2006-09-01,pre,0.03594929522316992
AL,2006-10-01,pre,-0.021106392938428087
AL,2006-11-01,pre,-0.03888920460152612
AL,2006-12-01,pre,-0.0677372496910742
AL,2007-01-01,pre,-0.026916712797235398
AL,2007-02-01,pre,-0.046281446302667284
AL,2007-03-01,pre,0.05989965995376245
AL,2007-04-01,pre,0.049251240634752946
AL,2007-05-01,pre,0.1250600542402207
AL,2007-06-01,pre,0.041102112171595984
AL,2007-07-01,pre,-0.0026511385391296827
AL,2007-08-01,pre,0.07610914071137298
AL,2007-09-01,pre,0.03910420130373815
AL,2007-10-01,pre,-0.11106118546444677
AL,2007-11-01,pre,0.05045867109486846
AL,2007-12-01,pre,-0.012471889161824734
AL,2008-01-01,pre,0.01605249869213754
AL,2008-02-01,pre,0.0327511366210782
AL,2008-03-01,pre,0.008497940247459645
AL,2008-04-01,pre,0.050309697048875
AL,2008-05-01,pre,0.06425314118863401
AL,2008-06-01,pre,0.05487043711960915
AL,2008-07-01,pre,-6.805032503098829e-4
AL,2008-08-01,pre,7.928887166652743e-4
AL,2008-09-01,pre,-0.08755891290704731
