donor_state,scm_weight,outcome
RO,0.32442068361572596,Retail volume
CE,0.3108569356153577,Retail volume
SE,0.18755802509895525,Retail volume
MG,0.17716435566996,Retail volume
SP,4.132542266766865e-16,Retail volume
RO,0.39555383032023056,Services volume
CE,0.23875769182918843,Services volume
AL,0.23063440042906705,Services volume
DF,0.0936805182943674,Services volume
PA,0.04137355912714435,Services volume
BA,0.33624954010487945,Formal hiring
PB,0.23215741159097164,Formal hiring
AC,0.11251307802619628,Formal hiring
MA,0.10232762293868072,Formal hiring
GO,0.06574550457486421,Formal hiring
PE,0.35164793311587705,Construction
AC,0.2485939319369316,Construction
AP,0.23477384143012817,Construction
SC,0.15270102039733816,Construction
MS,0.0122832731197246,Construction
SE,0.3873047966618758,ICMS
MS,0.14868815697996093,ICMS
AP,0.1446812944436201,ICMS
PI,0.12110817139152104,ICMS
MA,0.07841310336515461,ICMS
SE,0.5322864261588334,Tax revenue
MS,0.16587580556798218,Tax revenue
PI,0.15428134872258495,Tax revenue
AP,0.14098331487793395,Tax revenue
RS,0.00657310467266502,Tax revenue
