pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,retail,consumption,2015-03-01,pre,1.4210854715202004e-14
AC,retail,consumption,2015-04-01,pre,-0.8057312477335046
AC,retail,consumption,2015-05-01,pre,0.4296279795078277
AC,retail,consumption,2015-06-01,pre,0.3729097466405449
AC,retail,consumption,2015-07-01,pre,0.4663904572579298
AC,retail,consumption,2015-08-01,pre,0.33171875038078724
AC,retail,consumption,2015-09-01,pre,-0.25130486548593467
AC,retail,consumption,2015-10-01,pre,-0.9325630364851776
AC,retail,consumption,2015-11-01,pre,-1.5826403046304875
AC,retail,consumption,2015-12-01,pre,-1.8024664395968273
AC,retail,consumption,2016-01-01,pre,-1.2757962273074526
AC,retail,consumption,2016-02-01,pre,0.649669576085202
AC,retail,consumption,2016-03-01,pre,1.398985216141412
AC,retail,consumption,2016-04-01,pre,4.5566811855473475
AC,retail,consumption,2016-05-01,pre,1.0582650052886322
AC,retail,consumption,2016-06-01,pre,1.515473031969833
AC,retail,consumption,2016-07-01,pre,2.0880462599098166
AC,retail,consumption,2016-08-01,pre,1.0360969012416632
AC,retail,consumption,2016-09-01,pre,-0.2316413286875587
AC,retail,consumption,2016-10-01,pre,-0.22715985983705878
AC,retail,consumption,2016-11-01,pre,-1.8415729764016078
AC,retail,consumption,2016-12-01,pre,1.023831375564967
AC,retail,consumption,2017-01-01,pre,-0.8347494411737273
AC,retail,consumption,2017-02-01,pre,0.45669525119919285
AC,retail,consumption,2017-03-01,pre,-4.829591094813253
AC,retail,consumption,2017-04-01,pre,2.1036755113287455
AC,retail,consumption,2017-05-01,pre,1.0155114518739765
AC,retail,consumption,2017-06-01,pre,1.234891485561107
AC,retail,consumption,2017-07-01,pre,-1.1671372403644824
AC,retail,consumption,2017-08-01,pre,-1.3094158179228117
AC,retail,consumption,2017-09-01,pre,-0.7156025265491763
AC,retail,consumption,2017-10-01,pre,-0.17412097704917073
AC,retail,consumption,2017-11-01,pre,-1.4277488391718691
AC,retail,consumption,2017-12-01,pre,8.144765826475094
AC,retail,consumption,2018-01-01,pre,-1.4462461289854076
AC,retail,consumption,2018-02-01,pre,-0.33562891543155615
AC,retail,consumption,2018-03-01,post,1.941864383129655
AC,retail,consumption,2018-04-01,post,0.780035682747581
AC,retail,consumption,2018-05-01,post,2.5510497105872787
AC,retail,consumption,2018-06-01,post,3.462548925894694
AC,retail,consumption,2018-07-01,post,-4.188869345757368
AC,retail,consumption,2018-08-01,post,3.706182481705497
AC,retail,consumption,2018-09-01,post,3.955772508209108
AC,retail,consumption,2018-10-01,post,6.278431301153546
AC,retail,consumption,2018-11-01,post,8.312101287420091
AC,retail,consumption,2018-12-01,post,10.25408889663072
AC,retail,consumption,2019-01-01,post,5.082709719882175
AC,retail,consumption,2019-02-01,post,7.450146449576238
AC,retail,consumption,2019-03-01,post,8.621404073046591
AC,retail,consumption,2019-04-01,post,5.5266844691284405
AC,retail,consumption,2019-05-01,post,4.595170903379341
AC,retail,consumption,2019-06-01,post,9.10339811745537
AC,retail,consumption,2019-07-01,post,8.99273494892725
AC,retail,consumption,2019-08-01,post,22.495765321786635
AC,retail,consumption,2019-09-01,post,8.500193770249766
AC,retail,consumption,2019-10-01,post,6.795559934686807
AC,retail,consumption,2019-11-01,post,10.671097158033035
AC,retail,consumption,2019-12-01,post,19.403155055397875
AC,retail,consumption,2020-01-01,post,30.395439525609277
AC,retail,consumption,2020-02-01,post,17.50717544801593
AC,services,consumption,2015-03-01,pre,0
AC,services,consumption,2015-04-01,pre,-0.0685919489039577
AC,services,consumption,2015-05-01,pre,0.008857201093533718
AC,services,consumption,2015-06-01,pre,-3.2678483558422613
AC,services,consumption,2015-07-01,pre,1.2890179155757266
AC,services,consumption,2015-08-01,pre,-2.695377827969935
AC,services,consumption,2015-09-01,pre,-1.808334072997809
AC,services,consumption,2015-10-01,pre,1.3444169559642631
AC,services,consumption,2015-11-01,pre,1.9490057679692256
AC,services,consumption,2015-12-01,pre,-2.6391547362130012
AC,services,consumption,2016-01-01,pre,-1.3166183514774872
AC,services,consumption,2016-02-01,pre,-8.399393851373432
AC,services,consumption,2016-03-01,pre,2.670085595658904
AC,services,consumption,2016-04-01,pre,0.005031736251922325
AC,services,consumption,2016-05-01,pre,-0.0651277126400771
AC,services,consumption,2016-06-01,pre,6.751483443267645
AC,services,consumption,2016-07-01,pre,0.3476804210196178
AC,services,consumption,2016-08-01,pre,-4.231214280204668
AC,services,consumption,2016-09-01,pre,0.028558123119978518
AC,services,consumption,2016-10-01,pre,-1.408125547204122
AC,services,consumption,2016-11-01,pre,-0.5994790353124699
AC,services,consumption,2016-12-01,pre,0.9759549062931114
AC,services,consumption,2017-01-01,pre,-4.1995170472761885
AC,services,consumption,2017-02-01,pre,0.18946530022573427
AC,services,consumption,2017-03-01,pre,-0.35416695075475957
AC,services,consumption,2017-04-01,pre,4.995804010861207
AC,services,consumption,2017-05-01,pre,-0.4380390970993773
AC,services,consumption,2017-06-01,pre,1.4104329321910285
AC,services,consumption,2017-07-01,pre,-0.3372676582330598
AC,services,consumption,2017-08-01,pre,2.5485854168915694
AC,services,consumption,2017-09-01,pre,-2.2097546533620687
AC,services,consumption,2017-10-01,pre,-2.8310200645781265
AC,services,consumption,2017-11-01,pre,4.684040476477961
AC,services,consumption,2017-12-01,pre,2.0609566731942124
