state_abbrev,period_date,icms_siconfi,tax_siconfi,investment_siconfi,totalexp_siconfi,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason
AC,2017-10-01,5.720889498604005,6.041784367850786,4.205786629329852,7.389590458615695,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2017-12-01,5.68527696651622,5.961690121760717,4.085530130620693,7.408686843570507,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2018-02-01,5.744530908289927,6.2287857703505445,4.816537540564629,7.443753534383502,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2018-04-01,5.750559077441185,6.07433239250713,4.6422998442972485,7.408246414758948,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2018-06-01,5.70232132058101,6.01215509950707,4.27499683059597,7.301189373443601,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2018-08-01,5.8094414455389165,6.113955455439064,4.466575014358791,7.393630682570035,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2018-10-01,5.763665320460977,6.098101641966912,4.753431276215929,7.459905554095393,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2018-12-01,6.174018205560126,6.358297690835763,4.4201933649720555,7.418287101604945,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2019-02-01,5.980771768301752,6.096599371367036,-0.11043348578097056,7.377178308734354,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2019-04-01,5.533644927299667,6.066049875323326,2.768603230080832,7.248724121867618,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2019-06-01,5.6939681946698615,6.05763837827914,3.4627820113665644,7.4344978129731265,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2019-08-01,5.999209356103809,6.273655989309405,3.219033095275708,7.463421879739317,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2019-10-01,5.781658985613112,6.142383702331976,3.1235882508394925,7.368280344702377,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2019-12-01,5.7146132824648035,6.0706145752420975,3.6912493252225285,7.30064456140205,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2020-02-01,5.731409598729758,6.06821884399465,4.888193760926554,7.4408661846735455,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2020-04-01,5.68566354008004,6.064785398712401,3.6705030200185043,7.338093315048199,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2020-06-01,5.48224562989598,5.8383865463912175,3.3639817016537283,7.31490511819935,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2020-08-01,5.711373244930134,6.070406245043223,3.8824034340990217,7.424553488756621,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2020-10-01,5.845818851501141,6.196705703792469,3.3601544398166157,7.30556276468853,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2020-12-01,5.807718629018466,6.165995143211798,3.6216960644381886,7.300080284945856,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2021-02-01,6.057985230959525,6.332803606979418,3.6039016504137606,7.397889828001699,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2021-04-01,5.831890668463028,6.147566272694499,3.7300577098844303,7.408258690249349,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2021-06-01,5.841163547123951,6.207103222873871,4.342603735476885,7.4534614933658245,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2021-08-01,5.787306429768124,6.142748079119056,4.077193809468057,7.260834365583852,FALSE,TRUE,FALSE,pre,TRUE,2021-10-20,2021-10-20,
AC,2021-10-01,5.870470470115258,6.170427312856294,4.196601299589837,7.363880477787834,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2021-12-01,5.644083648322301,6.146661888141219,4.243434157212171,7.491352165220602,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2022-02-01,5.923724048126588,6.291306728399978,4.096490738779973,7.495735361728251,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2022-04-01,5.91714005212893,6.2955805314748945,4.565532379613195,7.551235625576402,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2022-06-01,5.987708315040772,6.314205189571326,4.853326076048573,7.633235106193,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2022-08-01,5.90748576997787,6.2700323144034975,4.767380988542508,7.68274986268332,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2022-10-01,5.804945753297354,6.242233745780357,5.097257136010032,7.681314170575005,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2022-12-01,5.830005597445198,6.319270905710736,5.04329879818216,7.692301618965375,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2023-02-01,5.854654939772759,6.189088171273024,3.797238549309931,7.550702222066831,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2023-04-01,5.890578942760296,6.321960380762313,4.366158371485975,7.6497865644257725,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2023-06-01,5.89239827888755,6.352853811892759,4.4926639594775,7.630016798153849,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AC,2023-08-01,5.929633020028031,6.367929644015764,3.8125115088617694,7.6238081003587395,FALSE,TRUE,FALSE,post,FALSE,2021-10-20,2021-10-20,
AL,2017-10-01,5.530202723816939,5.75059812512343,3.5056959552830764,6.507950032633185,FALSE,FALSE,TRUE,pre,TRUE,2021-10-20,2021-10-20,coded_removal_in_scm_window:AL_2022_01
AL,2017-12-01,5.523448437365817,5.755042561228528,3.6563918967216886,6.557070508821419,FALSE,FALSE,TRUE,pre,TRUE,2021-10-20,2021-10-20,coded_removal_in_scm_window:AL_2022_01
AL,2018-02-01,5.318347979851219,5.468205694450018,3.7220321814295896,6.372702510643251,FALSE,FALSE,TRUE,pre,TRUE,2021-10-20,2021-10-20,coded_removal_in_scm_window:AL_2022_01
AL,2018-04-01,5.273192508240949,5.431320621411658,4.37862388835832,6.462492867342956,FALSE,FALSE,TRUE,pre,TRUE,2021-10-20,2021-10-20,coded_removal_in_scm_window:AL_2022_01
AL,2018-06-01,5.266919141780091,5.5417805106293425,3.934541675525258,6.382363800585297,FALSE,FALSE,TRUE,pre,TRUE,2021-10-20,2021-10-20,coded_removal_in_scm_window:AL_2022_01
AL,2018-08-01,5.328797784501734,5.604298184594403,3.84912640567961,6.427106939862578,FALSE,FALSE,TRUE,pre,TRUE,2021-10-20,2021-10-20,coded_removal_in_scm_window:AL_2022_01
AL,2018-10-01,5.347736901297304,5.53224450420214,3.848188994742944,6.635279549008592,FALSE,FALSE,TRUE,pre,TRUE,2021-10-20,2021-10-20,coded_removal_in_scm_window:AL_2022_01
AL,2018-12-01,5.29204247855244,5.585565385606524,3.895786047237182,6.350963466787363,FALSE,FALSE,TRUE,pre,TRUE,2021-10-20,2021-10-20,coded_removal_in_scm_window:AL_2022_01
AL,2019-02-01,5.305040331400621,5.518253343755586,4.858165718684867,6.51260816467641,FALSE,FALSE,TRUE,pre,TRUE,2021-10-20,2021-10-20,coded_removal_in_scm_window:AL_2022_01
