dropped_donor,period_date,analysis_period,loo_gap
AC,2018-10-01,pre,-12.27863469076999
AC,2018-11-01,pre,-49.00504147752263
AC,2018-12-01,pre,-7.7610507618778914
AC,2019-01-01,pre,6.58786178185179
AC,2019-02-01,pre,-1.6985018719376042
AC,2019-03-01,pre,7.066335187076552
AC,2019-04-01,pre,-25.49583749932263
AC,2019-05-01,pre,-28.991560998630206
AC,2019-06-01,pre,-30.44066163561967
AC,2019-07-01,pre,-16.62008233468917
AC,2019-08-01,pre,-0.4398240051407303
AC,2019-09-01,pre,-6.466877208459213
AC,2019-10-01,pre,-1.6718168625736252
AC,2019-11-01,pre,9.877943921196202
AC,2019-12-01,pre,19.42544062009145
AC,2020-01-01,pre,0.3858724574584722
AC,2020-02-01,pre,-8.357458680687872
AC,2020-03-01,pre,4.310193297960811
AC,2020-04-01,pre,15.920524597013928
AC,2020-05-01,pre,26.269120445366532
AC,2020-06-01,pre,27.858792842086597
AC,2020-07-01,pre,26.759980375930773
AC,2020-08-01,pre,5.8619645505757525
AC,2020-09-01,pre,9.025590515390753
AC,2020-10-01,pre,7.8441349259765385
AC,2020-11-01,pre,-34.40814337996652
AC,2020-12-01,pre,8.515037429365005
AC,2021-01-01,pre,10.075615355532163
AC,2021-02-01,pre,-5.618422987183836
AC,2021-03-01,pre,-2.8760853496438212
AC,2021-04-01,pre,20.331441856115937
AC,2021-05-01,pre,0.7030647713158675
AC,2021-06-01,pre,-14.653831513475174
AC,2021-07-01,pre,-26.27962443187945
AC,2021-08-01,pre,-34.16219574480079
AC,2021-09-01,pre,-2.827306397300331
AC,2021-10-01,post,14.708943352832765
AC,2021-11-01,post,-17.527947025969876
AC,2021-12-01,post,-16.998824689949988
AC,2022-01-01,post,-27.19264226938916
AC,2022-02-01,post,-12.887721707056253
AC,2022-03-01,post,-22.26369015813666
AC,2022-04-01,post,-22.42246284481172
AC,2022-05-01,post,-6.2098072826402735
AC,2022-06-01,post,-3.9657082805424198
AC,2022-07-01,post,20.63598134568684
AC,2022-08-01,post,-6.57741520525425
AC,2022-09-01,post,-5.004759976426305
AC,2022-10-01,post,-15.86115823741126
AC,2022-11-01,post,11.174509093689936
AC,2022-12-01,post,-16.496148544123827
AC,2023-01-01,post,-0.15002146723021603
AC,2023-02-01,post,-6.184135857152752
AC,2023-03-01,post,28.96610313095509
AC,2023-04-01,post,-4.327426405262916
AC,2023-05-01,post,-19.39998287025434
AC,2023-06-01,post,-2.9182139713427677
AC,2023-07-01,post,-5.790372380205671
AC,2023-08-01,post,5.5990349555191425
AC,2023-09-01,post,-12.770404905994596
AM,2018-10-01,pre,-9.184435861080873
AM,2018-11-01,pre,-46.83840811914516
AM,2018-12-01,pre,-11.703596808471048
AM,2019-01-01,pre,4.498246346859309
AM,2019-02-01,pre,-1.4282371125424893
AM,2019-03-01,pre,7.3578911449003375
AM,2019-04-01,pre,-25.213576391260453
AM,2019-05-01,pre,-33.55341152596948
AM,2019-06-01,pre,-27.94695641145538
AM,2019-07-01,pre,-15.022820529453448
AM,2019-08-01,pre,-3.7247876660995436
