dropped_donor,period_date,analysis_period,loo_gap
AC,2017-10-01,pre,0.3333885478053915
AC,2017-12-01,pre,-0.2191167215557126
AC,2018-02-01,pre,-0.011455553020640608
AC,2018-04-01,pre,0.03162079982974486
AC,2018-06-01,pre,-0.08948027995962171
AC,2018-08-01,pre,-0.044765463665148886
AC,2018-10-01,pre,-0.10877617741830825
AC,2018-12-01,pre,-0.08316842330370644
AC,2019-02-01,pre,-0.017434270553356335
AC,2019-04-01,pre,-0.09221267423859558
AC,2019-06-01,pre,-0.06176143029895176
AC,2019-08-01,pre,-0.09095861210059919
AC,2019-10-01,pre,-0.10653155533984116
AC,2019-12-01,pre,-0.15638702032801088
AC,2020-02-01,pre,0.041522176071694616
AC,2020-04-01,pre,0.06899230590532746
AC,2020-06-01,pre,0.18489593076624367
AC,2020-08-01,pre,0.030298155805938087
AC,2020-10-01,pre,0.007517815634082048
AC,2020-12-01,pre,0.03368540083166405
AC,2021-02-01,pre,0.07639304794654844
AC,2021-04-01,pre,0.050389883616373865
AC,2021-06-01,pre,0.060658505000422025
AC,2021-08-01,pre,-0.015036285826353968
AC,2021-10-01,post,0.06282854676522742
AC,2021-12-01,post,0.14425028153546826
AC,2022-02-01,post,-0.008054322260591995
AC,2022-04-01,post,0.028022600969440425
AC,2022-06-01,post,-0.008184316944944925
AC,2022-08-01,post,-0.014329084747467746
AC,2022-10-01,post,0.03857637391926083
AC,2022-12-01,post,0.022144267832808318
AC,2023-02-01,post,0.0996874175346214
AC,2023-04-01,post,0.06446952321290578
AC,2023-06-01,post,0.09297088371067819
AC,2023-08-01,post,0.1285698101584325
AM,2017-10-01,pre,0.28777210832400346
AM,2017-12-01,pre,-0.13051117059533812
AM,2018-02-01,pre,-0.03983059254483834
AM,2018-04-01,pre,-0.02439287529546519
AM,2018-06-01,pre,-0.11114726599843117
AM,2018-08-01,pre,-0.09377250572119955
AM,2018-10-01,pre,-0.13562369044447742
AM,2018-12-01,pre,-0.22285040615754603
AM,2019-02-01,pre,-0.12445173070340765
AM,2019-04-01,pre,-0.05820032166033773
AM,2019-06-01,pre,-0.07949316088971248
AM,2019-08-01,pre,-0.19274328984641365
AM,2019-10-01,pre,-0.12739154130942776
AM,2019-12-01,pre,-0.1463395004741903
AM,2020-02-01,pre,-0.016670613376148502
AM,2020-04-01,pre,-0.013126396540570795
AM,2020-06-01,pre,0.10891377879993769
AM,2020-08-01,pre,-0.01962752978372606
AM,2020-10-01,pre,-0.060538087768184035
AM,2020-12-01,pre,-0.007954406539168346
AM,2021-02-01,pre,-0.05136095678921393
AM,2021-04-01,pre,-0.02249954766691431
AM,2021-06-01,pre,-0.041593676011716596
AM,2021-08-01,pre,-0.05249099441548921
AM,2021-10-01,post,-0.013383548872093698
AM,2021-12-01,post,0.14219956369339126
AM,2022-02-01,post,-0.05121439400307182
AM,2022-04-01,post,-0.025300485040968823
AM,2022-06-01,post,-0.06950179732333872
AM,2022-08-01,post,-0.0557044006447196
AM,2022-10-01,post,-0.01854000797082822
AM,2022-12-01,post,-0.03191729354223849
AM,2023-02-01,post,0.013741877330676111
AM,2023-04-01,post,-0.01753323691996922
AM,2023-06-01,post,0.029775079197872145
AM,2023-08-01,post,0.04891260779055262
AP,2017-10-01,pre,0.22718474512189957
AP,2017-12-01,pre,-0.013361960876919099
AP,2018-02-01,pre,-0.02279756365706387
AP,2018-04-01,pre,-0.06653309337834301
AP,2018-06-01,pre,-0.10247266944883915
AP,2018-08-01,pre,-0.1146551785706631
AP,2018-10-01,pre,-0.17176355946173594
