dropped_donor,period_date,analysis_period,loo_gap
AC,2017-10-01,pre,14.67223386631899
AC,2017-12-01,pre,9.403115520171838
AC,2018-02-01,pre,7.918712815282127
AC,2018-04-01,pre,1.4230063018026797
AC,2018-06-01,pre,-10.469328027124853
AC,2018-08-01,pre,-10.27483641621508
AC,2018-10-01,pre,1.4293379439754972
AC,2018-12-01,pre,5.992683039897283
AC,2019-02-01,pre,2.0902714901023813
AC,2019-04-01,pre,-15.906169887804403
AC,2019-06-01,pre,-5.908769668755525
AC,2019-08-01,pre,-6.018859040276013
AC,2019-10-01,pre,-3.013455529894749
AC,2019-12-01,pre,13.625304537708622
AC,2020-02-01,pre,4.6840516341669485
AC,2020-04-01,pre,-21.287647126247492
AC,2020-06-01,pre,48.66261808428692
AC,2020-08-01,pre,14.013656007167874
AC,2020-10-01,pre,-0.9730261085759437
AC,2020-12-01,pre,-1.8488990406928565
AC,2021-02-01,pre,0.42345999054219163
AC,2021-04-01,pre,-6.37131730184241
AC,2021-06-01,pre,1.704284253897633
AC,2021-08-01,pre,7.502597327501519
AC,2021-10-01,post,-26.55070587374196
AC,2021-12-01,post,37.001074653784244
AC,2022-02-01,post,0.25690396521743253
AC,2022-04-01,post,-4.161411273853076
AC,2022-06-01,post,-87.14150714713648
AC,2022-08-01,post,-13.313409340999527
AC,2022-10-01,post,15.991216698810888
AC,2022-12-01,post,170.32674557909388
AC,2023-02-01,post,2.3187228908494006
AC,2023-04-01,post,-12.587790186647723
AC,2023-06-01,post,-31.030924429787888
AC,2023-08-01,post,-46.614984730208306
AM,2017-10-01,pre,13.212322251244373
AM,2017-12-01,pre,8.195174925688093
AM,2018-02-01,pre,3.5203191370960667
AM,2018-04-01,pre,-2.454311089774883
AM,2018-06-01,pre,-10.770940002460087
AM,2018-08-01,pre,-9.306381143960806
AM,2018-10-01,pre,-8.204015543192028
AM,2018-12-01,pre,-6.961318079676083
AM,2019-02-01,pre,0.5725390948598843
AM,2019-04-01,pre,-15.774301087041117
AM,2019-06-01,pre,-5.407673850446841
AM,2019-08-01,pre,-2.889463294210497
AM,2019-10-01,pre,1.9821671394643303
AM,2019-12-01,pre,12.107040174619797
AM,2020-02-01,pre,-0.8906965271524498
AM,2020-04-01,pre,-23.240999107593012
AM,2020-06-01,pre,50.249062793751044
AM,2020-08-01,pre,13.866461442548093
AM,2020-10-01,pre,3.736498632232106
AM,2020-12-01,pre,-2.217503444729118
AM,2021-02-01,pre,-1.8115049099295177
AM,2021-04-01,pre,-7.053193948801109
AM,2021-06-01,pre,-2.956110596000549
AM,2021-08-01,pre,4.892742908798709
AM,2021-10-01,post,-28.902001731342565
AM,2021-12-01,post,30.885428552329145
AM,2022-02-01,post,-3.319545351378409
AM,2022-04-01,post,-10.321399494446013
AM,2022-06-01,post,-66.72109610067287
AM,2022-08-01,post,-3.998526838657824
AM,2022-10-01,post,15.610798914831577
AM,2022-12-01,post,165.28134300553157
AM,2023-02-01,post,-0.9866197989462506
AM,2023-04-01,post,-11.478165097074154
AM,2023-06-01,post,-24.943587468457352
