event_id,outcome,short,channel,family,gap_post,pct_effect,effect_display,effect_for_plot,effect_label,mag_sd,persistence,pre_trend_p,treated_pre_rmspe,median_donor_pre_rmspe,prefit_class,rank,n_units,classic_p,loo_frac_same_sign,C1_prefit,C2_magnitude,C3_persistence,C4_placebo,C5_robust,robustness_score,tier,considerable,direction,regime,removal_date,main_sample,timing
PI_2001_01,retail,Retail volume,consumption,monthly,6.29455845949474,15.407206247343696,pct,15.407206247343696,+15.4%,7.548943012097512,1,0.1969145619782829,0.9637823089195864,1.4492390278235088,A,1,27,0.037037037037037035,1,TRUE,TRUE,TRUE,TRUE,TRUE,5,strong,TRUE,positive,confaz,2001-11-06,1,earlier
PI_2001_01,icms_confaz,ICMS,public_sector,monthly,-0.06890993749341627,-6.658925839618968,pct,-6.658925839618968,-6.7%,0.9909018166055623,0.75,0.01674464328708505,0.07723417921001126,0.08164990312060899,C,12,27,0.4444444444444444,1,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,negative,confaz,2001-11-06,1,earlier
PI_2001_01,tax_confaz,Tax revenue,public_sector,monthly,-0.06716863347935366,-6.496249058745707,pct,-6.496249058745707,-6.5%,0.9795186527174798,0.7916666666666666,0.057769894416538195,0.08216761656712568,0.08020623267872282,C,19,27,0.7037037037037037,1,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,negative,confaz,2001-11-06,1,earlier
RR_2004_01,retail,Retail volume,consumption,monthly,-8.605139909245418,-23.653152424166016,pct,-23.653152424166016,-23.7%,3.029063448133481,0.9166666666666666,0.9652236667882301,2.571096488412739,1.4405594317011048,D,9,26,0.34615384615384615,1,FALSE,TRUE,TRUE,FALSE,TRUE,3,non-interpretable,FALSE,negative,confaz,2004-11-10,1,earlier
RR_2004_01,icms_confaz,ICMS,public_sector,monthly,0.040334023966012066,4.115848800419242,pct,4.115848800419242,+4.1%,0.5225208998308513,0.7916666666666666,0.04034515078520343,0.13461629626608915,0.08791103376036061,D,26,26,1,0.92,FALSE,FALSE,TRUE,FALSE,TRUE,2,non-interpretable,FALSE,positive,confaz,2004-11-10,1,earlier
RR_2004_01,tax_confaz,Tax revenue,public_sector,monthly,0.14776856470032204,15.92445751990159,pct,15.92445751990159,+15.9%,1.2231556252649594,0.9583333333333334,0.0990383126045715,0.1543901393896351,0.08611790589169885,D,19,26,0.7307692307692307,0.92,FALSE,TRUE,TRUE,FALSE,TRUE,3,non-interpretable,FALSE,positive,confaz,2004-11-10,1,earlier
PB_2009_01,retail,Retail volume,consumption,monthly,-0.4533334647909827,-0.655009309759254,pct,-0.655009309759254,-0.7%,0.10405360279928097,0.625,0.3685788546773555,1.8490091389526515,1.7517979451578194,C,19,24,0.7916666666666666,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,negative,confaz,2009-02-17,1,earlier
PB_2009_01,formal_hiring,Formal hiring,labor_market,monthly,-16.890519036972307,,absolute,-16.890519036972307,-16.9,0.3624382561841869,0.6666666666666666,0.7058698018868214,56.082196387698225,47.02027949202963,C,17,24,0.7083333333333334,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,negative,confaz,2009-02-17,1,earlier
PB_2009_01,construction,Construction,labor_market,monthly,-11.63789296609225,,absolute,-11.63789296609225,-11.6,1.7894553762568792,0.875,0.3451590778841527,10.95271278834472,9.46681570251492,C,10,24,0.4166666666666667,1,TRUE,TRUE,TRUE,FALSE,TRUE,4,suggestive,TRUE,negative,confaz,2009-02-17,1,earlier
PB_2009_01,icms_confaz,ICMS,public_sector,monthly,-0.03587374100057259,-3.523790430946383,pct,-3.523790430946383,-3.5%,0.6625719905302299,0.75,0.5121884968465678,0.05080676090674073,0.07945650362677202,A,15,24,0.625,1,TRUE,FALSE,TRUE,FALSE,TRUE,3,weak,FALSE,negative,confaz,2009-02-17,1,earlier
