pseudo_treated_state,period_date,event_time,augmented_gap
AC,2020-03-01,-31,-0.02896896410663974
AC,2020-04-01,-30,-0.001736866104530499
AC,2020-05-01,-29,0.005842320446256544
AC,2020-06-01,-28,-0.0011413074584751826
AC,2020-07-01,-27,0.002474673735735955
AC,2020-08-01,-26,6.051166906795302e-4
AC,2020-09-01,-25,0.0013498857595051206
AC,2020-10-01,-24,-0.011245008233637499
AC,2020-11-01,-23,0.005688201574137963
AC,2020-12-01,-22,-0.0022321720938318634
AC,2021-01-01,-21,0.010368599633558517
AC,2021-02-01,-20,-0.011161698757756078
AC,2021-03-01,-19,0.0028937835457618633
AC,2021-04-01,-18,0.0036846078024810325
AC,2021-05-01,-17,-0.011118473006559881
AC,2021-06-01,-16,0.00853615012549902
AC,2021-07-01,-15,-0.013486225906455651
AC,2021-08-01,-14,0.0068010985331348195
AC,2021-09-01,-13,-0.005104362765915305
AC,2021-10-01,-12,0.0012699024004074744
AC,2021-11-01,-11,0.006457887379204941
AC,2021-12-01,-10,-0.0017520026382129572
AC,2022-01-01,-9,0.004596376465242358
AC,2022-02-01,-8,-0.002049454734712519
AC,2022-03-01,-7,-6.870094171533836e-4
AC,2022-04-01,-6,0.0011082815034972882
AC,2022-05-01,-5,0.005704371236487482
AC,2022-06-01,-4,0.004565428106291236
AC,2022-07-01,-3,-0.012537124034265545
AC,2022-08-01,-2,-0.0032781795764549315
AC,2022-09-01,-1,7.941045453074835e-4
AC,2022-10-01,0,-0.00474722878286471
AC,2022-11-01,1,-0.005888887140131693
AC,2022-12-01,2,5.141846467653366e-4
AC,2023-01-01,3,0.022868113495145614
AC,2023-02-01,4,0.016100664385939822
AC,2023-03-01,5,0.01336916517843445
AC,2023-04-01,6,0.022197099860399305
AC,2023-05-01,7,0.031411173449378715
AC,2023-06-01,8,0.034675500130332715
AC,2023-07-01,9,0.040059010972123055
AC,2023-08-01,10,0.044395325382940776
AC,2023-09-01,11,0.04459476429643949
AC,2023-10-01,12,0.045905720108111225
AC,2023-11-01,13,0.03997981016545005
AC,2023-12-01,14,0.02928767732953741
AC,2024-01-01,15,0.023174695453683114
AC,2024-02-01,16,0.01787024706686413
AC,2024-03-01,17,0.01442023582401486
AC,2024-04-01,18,0.011636841039769585
AC,2024-05-01,19,0.00546450535451104
AC,2024-06-01,20,-8.257668321203226e-4
AC,2024-07-01,21,-0.008047592445849183
AC,2024-08-01,22,-0.015012095642289225
AC,2024-09-01,23,-0.016496435611307092
AM,2020-03-01,-31,-3.011011204847591e-4
AM,2020-04-01,-30,-0.007312398801287756
AM,2020-05-01,-29,-0.01138923788113022
AM,2020-06-01,-28,0.013728582190835503
AM,2020-07-01,-27,0.0105763980128879
AM,2020-08-01,-26,-0.008124920672643476
AM,2020-09-01,-25,-0.004747183781409703
AM,2020-10-01,-24,0.006904500472558972
AM,2020-11-01,-23,0.005239617013346631
AM,2020-12-01,-22,0.028792572628279167
AM,2021-01-01,-21,-0.021226669895222372
AM,2021-02-01,-20,5.852349307504667e-4
AM,2021-03-01,-19,0.018924338165814625
AM,2021-04-01,-18,0.0012537870584923283
AM,2021-05-01,-17,-0.0030222986106043237
AM,2021-06-01,-16,-0.012633987856834672
AM,2021-07-01,-15,0.024936088198532325
AM,2021-08-01,-14,0.015827522728950605
AM,2021-09-01,-13,-0.004112298420902327
AM,2021-10-01,-12,-0.007147775212734686
AM,2021-11-01,-11,0.009167414254376283
AM,2021-12-01,-10,0.004050843366340651
AM,2022-01-01,-9,0.003987601890038661
AM,2022-02-01,-8,0.00408182653246314
AM,2022-03-01,-7,-0.005547933336750965
AM,2022-04-01,-6,-0.0031247600305537304
AM,2022-05-01,-5,0.001481110267339325
AM,2022-06-01,-4,-0.002771286570144582
AM,2022-07-01,-3,0.0016103537119018796
AM,2022-08-01,-2,-0.005830634794337541
AM,2022-09-01,-1,-0.0018174694228960675
AM,2022-10-01,0,0.0034515617476840177
AM,2022-11-01,1,0.004075225759549994
AM,2022-12-01,2,7.354950374915958e-4
AM,2023-01-01,3,-0.012778975703390927
AM,2023-02-01,4,-0.01398799202004497
AM,2023-03-01,5,-0.009683550762362714
AM,2023-04-01,6,-0.010563700762294737
AM,2023-05-01,7,-0.018040401331021805
AM,2023-06-01,8,-0.01659721268120329
AM,2023-07-01,9,-0.011890156989458944
AM,2023-08-01,10,-0.012726836345025028
AM,2023-09-01,11,-0.018714470162390917
AM,2023-10-01,12,-0.023647933302742175
AM,2023-11-01,13,-0.02546631264123267
AM,2023-12-01,14,-0.027830856960240347
AM,2024-01-01,15,-0.03011785308004633
AM,2024-02-01,16,-0.030430413293650815
AM,2024-03-01,17,-0.02982705631025606
AM,2024-04-01,18,-0.027677070078691024
AM,2024-05-01,19,-0.02601476464178809
AM,2024-06-01,20,-0.0256059592164517
AM,2024-07-01,21,-0.023856728405338146
AM,2024-08-01,22,-0.022893844003702313
AM,2024-09-01,23,-0.02002626467669355
AP,2020-03-01,-31,0.030350504591868166
AP,2020-04-01,-30,-0.0037096566116066043
AP,2020-05-01,-29,-0.005148938137282677
AP,2020-06-01,-28,-0.0012676037207377533
AP,2020-07-01,-27,-0.0139546129142607
AP,2020-08-01,-26,0.007829788443276975
AP,2020-09-01,-25,-0.0011779267541403016
AP,2020-10-01,-24,0.010513975760957806
AP,2020-11-01,-23,-0.0132774012382475
AP,2020-12-01,-22,1.6646642720186122e-4
AP,2021-01-01,-21,-0.0018056458047208679
AP,2021-02-01,-20,0.012193854390243786
AP,2021-03-01,-19,-0.004777085310077034
AP,2021-04-01,-18,-0.0070881204919457375
AP,2021-05-01,-17,0.022408993878104688
AP,2021-06-01,-16,-0.004712567062950868
AP,2021-07-01,-15,0.00846714244166602
AP,2021-08-01,-14,-0.019605347006204532
AP,2021-09-01,-13,0.01149873382386346
AP,2021-10-01,-12,0.006330616282176571
AP,2021-11-01,-11,-0.00770188940358274
AP,2021-12-01,-10,3.574924395230994e-4
AP,2022-01-01,-9,-0.0034061615253850874
AP,2022-02-01,-8,0.002241235687145071
AP,2022-03-01,-7,0.0014216888897609081
AP,2022-04-01,-6,7.969229100464048e-4
AP,2022-05-01,-5,-0.007359372926371677
AP,2022-06-01,-4,-0.004401766520678585
AP,2022-07-01,-3,0.01661936282600429
AP,2022-08-01,-2,0.008128509139183393
AP,2022-09-01,-1,-0.008064444945722116
AP,2022-10-01,0,0.0061979928401241224
AP,2022-11-01,1,0.006957101489270201
AP,2022-12-01,2,0.0041458547016786085
AP,2023-01-01,3,-0.019147094916143637
AP,2023-02-01,4,-0.009016148690855097
AP,2023-03-01,5,6.359756573370845e-5
AP,2023-04-01,6,-0.016776145391498964
AP,2023-05-01,7,-0.02446994341575426
AP,2023-06-01,8,-0.021678143172429998
AP,2023-07-01,9,-0.022320393466292998
AP,2023-08-01,10,-0.022547410530741274
AP,2023-09-01,11,-0.02006182182228855
AP,2023-10-01,12,-0.01556248100030544
AP,2023-11-01,13,-0.007448234367291917
AP,2023-12-01,14,0.00796793775752569
AP,2024-01-01,15,0.0195144285044071
AP,2024-02-01,16,0.0318795123357587
AP,2024-03-01,17,0.04143372442535309
AP,2024-04-01,18,0.05514469013357548
AP,2024-05-01,19,0.07496683679151595
AP,2024-06-01,20,0.08459626031003697
AP,2024-07-01,21,0.09467863271873078
AP,2024-08-01,22,0.10534096744109434
AP,2024-09-01,23,0.10390207210072688
BA,2020-03-01,-31,-0.006877346312205823
BA,2020-04-01,-30,-0.001771946580608308
BA,2020-05-01,-29,0.01057269663571514
BA,2020-06-01,-28,-0.0049055844966412465
BA,2020-07-01,-27,-0.008731356274408242
BA,2020-08-01,-26,0.006299994103859952
BA,2020-09-01,-25,0.0012942421813937344
BA,2020-10-01,-24,0.006722217661491392
BA,2020-11-01,-23,-0.005853600771392742
BA,2020-12-01,-22,-0.01070227433378701
BA,2021-01-01,-21,0.009174897033622287
BA,2021-02-01,-20,0.006399606627321752
BA,2021-03-01,-19,-0.0037547113842286706
BA,2021-04-01,-18,-0.006054767716674014
BA,2021-05-01,-17,0.010162406194284657
BA,2021-06-01,-16,0.003913799514701388
BA,2021-07-01,-15,-0.010231905272927833
BA,2021-08-01,-14,-0.005884344385052032
BA,2021-09-01,-13,0.002493598912945316
BA,2021-10-01,-12,0.006858103489654432
BA,2021-11-01,-11,-0.006834665736866974
BA,2021-12-01,-10,-0.004032031680005765
BA,2022-01-01,-9,1.763193936925589e-4
BA,2022-02-01,-8,5.98988692973812e-4
BA,2022-03-01,-7,0.0016226247407677974
BA,2022-04-01,-6,-0.003376034706187525
BA,2022-05-01,-5,-0.0011714455125080292
BA,2022-06-01,-4,0.0043002259129512055
BA,2022-07-01,-3,0.00729455239309118
BA,2022-08-01,-2,0.005399247864448675
BA,2022-09-01,-1,-0.005504443356963762
BA,2022-10-01,0,-0.0070480836361435095
BA,2022-11-01,1,-0.0033515603418274864
BA,2022-12-01,2,-0.0013433335666066526
BA,2023-01-01,3,0.008338089975246099
BA,2023-02-01,4,0.011609971539608743
BA,2023-03-01,5,0.015358186672355778
BA,2023-04-01,6,0.025031786800579603
BA,2023-05-01,7,0.029997919106195425
BA,2023-06-01,8,0.040889823926548274
BA,2023-07-01,9,0.07175954141550811
BA,2023-08-01,10,0.041093421403008534
BA,2023-09-01,11,0.040673722888532104
BA,2023-10-01,12,0.043791682601550086
BA,2023-11-01,13,0.05132772432707178
BA,2023-12-01,14,0.04819660153298244
BA,2024-01-01,15,0.051269410528559156
BA,2024-02-01,16,0.05488988949914475
BA,2024-03-01,17,0.06340643265955759
BA,2024-04-01,18,0.06731012617609888
BA,2024-05-01,19,0.07007835707694188
BA,2024-06-01,20,0.07338852211202784
BA,2024-07-01,21,0.06465762239069672
BA,2024-08-01,22,0.06361180976212744
BA,2024-09-01,23,0.05503858816928808
CE,2020-03-01,-31,0.027711050327536846
CE,2020-04-01,-30,-0.004518665519362308
CE,2020-05-01,-29,-0.02273970566077743
CE,2020-06-01,-28,0.01733748035788274
CE,2020-07-01,-27,0.0016879721976073014
CE,2020-08-01,-26,-0.022628120006563
CE,2020-09-01,-25,-0.010131276013034984
CE,2020-10-01,-24,0.008372349950145797
CE,2020-11-01,-23,0.01691657246332401
CE,2020-12-01,-22,0.019628061355260407
CE,2021-01-01,-21,-0.01881375521239015
CE,2021-02-01,-20,-1.7241732273198807e-4
CE,2021-03-01,-19,0.015782588777810247
CE,2021-04-01,-18,-0.009103885868244177
CE,2021-05-01,-17,-0.006789684750236447
CE,2021-06-01,-16,-0.01808034205581155
CE,2021-07-01,-15,0.03637538239350757
CE,2021-08-01,-14,0.01535962831346005
CE,2021-09-01,-13,-0.01195003943609052
CE,2021-10-01,-12,0.002129594308954985
CE,2021-11-01,-11,0.004775008200892827
CE,2021-12-01,-10,0.0077889751754289804
CE,2022-01-01,-9,0.012410938947829742
CE,2022-02-01,-8,-0.0021416275296894938
CE,2022-03-01,-7,-0.00769320481000868
CE,2022-04-01,-6,0.00238059225772691
CE,2022-05-01,-5,1.6840757912284232e-4
CE,2022-06-01,-4,-0.0038658544872287592
CE,2022-07-01,-3,-3.445936746411249e-4
CE,2022-08-01,-2,-0.003924999580925181
CE,2022-09-01,-1,-0.0026739463984046807
CE,2022-10-01,0,-0.004835374402545334
CE,2022-11-01,1,1.3958303119032678e-4
CE,2022-12-01,2,0.005736465577760974
CE,2023-01-01,3,0.004115615552934493
CE,2023-02-01,4,0.007940944473248557
CE,2023-03-01,5,0.019760234988067005
CE,2023-04-01,6,0.028736768176875316
CE,2023-05-01,7,0.03344474540985409
CE,2023-06-01,8,0.03841422101544811
CE,2023-07-01,9,0.04603707321742956
CE,2023-08-01,10,0.04648388610912502
CE,2023-09-01,11,0.05050905209412182
CE,2023-10-01,12,0.050564689198764334
CE,2023-11-01,13,0.05259283921263602
CE,2023-12-01,14,0.05069163789857534
CE,2024-01-01,15,0.04794374713106819
CE,2024-02-01,16,0.048850090378453004
CE,2024-03-01,17,0.047576307277262586
CE,2024-04-01,18,0.048719738042567684
CE,2024-05-01,19,0.053760424720713296
CE,2024-06-01,20,0.058443370008157025
CE,2024-07-01,21,0.06067318715498082
CE,2024-08-01,22,0.06684073070884988
CE,2024-09-01,23,0.06446831450414159
DF,2020-03-01,-31,-0.004328275008038673
DF,2020-04-01,-30,0.0017943340250354822
DF,2020-05-01,-29,0.009960935144399663
DF,2020-06-01,-28,-0.0040808646000201065
DF,2020-07-01,-27,0.007932113784677952
DF,2020-08-01,-26,-0.010573632778088538
DF,2020-09-01,-25,0.004451777717990879
DF,2020-10-01,-24,0.012040519099639546
DF,2020-11-01,-23,-2.9446556159662407e-4
DF,2020-12-01,-22,-8.278255564899695e-4
DF,2021-01-01,-21,0.010320915764158833
DF,2021-02-01,-20,0.012682987017587521
DF,2021-03-01,-19,-0.004286269736670789
DF,2021-04-01,-18,0.004921577786995535
DF,2021-05-01,-17,-0.008782996013668942
DF,2021-06-01,-16,-0.0018460223138099252
DF,2021-07-01,-15,-0.009591533258531904
DF,2021-08-01,-14,-0.007536808674320383
DF,2021-09-01,-13,-1.1947767517561658e-4
DF,2021-10-01,-12,-0.011975523981969438
DF,2021-11-01,-11,-4.9241614257233834e-5
DF,2021-12-01,-10,-0.003071026725408821
DF,2022-01-01,-9,-0.012277526827600305
DF,2022-02-01,-8,0.0033527624697038405
DF,2022-03-01,-7,0.0014648040392009065
DF,2022-04-01,-6,-0.0043737804390406865
DF,2022-05-01,-5,0.008905546911688766
DF,2022-06-01,-4,0.011262797734449492
DF,2022-07-01,-3,0.006755029323685768
DF,2022-08-01,-2,-0.003847603975781766
DF,2022-09-01,-1,0.006087508732208313
DF,2022-10-01,0,0.015111916431508554
DF,2022-11-01,1,0.006971438702731092
DF,2022-12-01,2,-0.01625237695488657
DF,2023-01-01,3,-0.009259734167050837
DF,2023-02-01,4,-0.014847467114669222
DF,2023-03-01,5,-0.022157777001250878
DF,2023-04-01,6,-0.020494036502304525
DF,2023-05-01,7,-0.025461042331020423
DF,2023-06-01,8,-0.012680293370492812
DF,2023-07-01,9,-0.01605916746503855
DF,2023-08-01,10,-0.01579422911215289
DF,2023-09-01,11,-0.015187016458006575
DF,2023-10-01,12,-0.017246544252019547
DF,2023-11-01,13,-0.022558013989325332
DF,2023-12-01,14,-0.026287938635819685
DF,2024-01-01,15,-0.027601841183695797
DF,2024-02-01,16,-0.03279288950578252
DF,2024-03-01,17,-0.03140270386277777
DF,2024-04-01,18,-0.02732878686136253
DF,2024-05-01,19,-0.02853899087043299
DF,2024-06-01,20,-0.024639597394717327
DF,2024-07-01,21,-0.021463723405835466
DF,2024-08-01,22,-0.017829914294198446
DF,2024-09-01,23,-0.013332953716707507
ES,2020-03-01,-31,-0.001620156087718705
ES,2020-04-01,-30,0.0029690635256125475
ES,2020-05-01,-29,0.0036149567185947973
ES,2020-06-01,-28,-0.0015982881815430616
ES,2020-07-01,-27,0.00842692023592928
ES,2020-08-01,-26,0.004354831852864116
ES,2020-09-01,-25,3.1726902488937725e-4
ES,2020-10-01,-24,0.0190995317056446
ES,2020-11-01,-23,-0.008214231058254029
ES,2020-12-01,-22,-0.011353336841207984
ES,2021-01-01,-21,-0.006311883180095457
ES,2021-02-01,-20,0.020775412747736866
ES,2021-03-01,-19,-0.007063481481610623
ES,2021-04-01,-18,-0.004616290327476236
ES,2021-05-01,-17,0.013625812804567872
ES,2021-06-01,-16,-0.007605866406555251
ES,2021-07-01,-15,-0.0034624468409170106
ES,2021-08-01,-14,-0.02711201617885095
ES,2021-09-01,-13,-0.0034347646949441923
ES,2021-10-01,-12,-0.0018425455200778984
ES,2021-11-01,-11,-0.008577309585662718
ES,2021-12-01,-10,-5.164652424163307e-4
ES,2022-01-01,-9,-0.007802218178373899
ES,2022-02-01,-8,0.002040736057931092
ES,2022-03-01,-7,0.003911227951919116
ES,2022-04-01,-6,-0.0025987271652159194
ES,2022-05-01,-5,-0.00453262276451305
ES,2022-06-01,-4,-3.9432444836506875e-4
ES,2022-07-01,-3,0.027324467112814332
ES,2022-08-01,-2,-0.0051205261224760434
ES,2022-09-01,-1,-0.002941354995134482
ES,2022-10-01,0,-0.009395606240513388
ES,2022-11-01,1,-0.011070915591279373
ES,2022-12-01,2,-0.002321942735292737
ES,2023-01-01,3,0.005239047249825823
ES,2023-02-01,4,0.002417212469802088
ES,2023-03-01,5,0.00957867988775174
ES,2023-04-01,6,0.016773741936905395
ES,2023-05-01,7,0.02495034418682973
ES,2023-06-01,8,0.02405633619836145
ES,2023-07-01,9,0.027700316764237343
ES,2023-08-01,10,0.03176652034733163
ES,2023-09-01,11,0.024038798619288926
ES,2023-10-01,12,0.017448444902379734
ES,2023-11-01,13,0.02260832575729932
ES,2023-12-01,14,0.00969323817067469
ES,2024-01-01,15,-0.0062863876311523015
ES,2024-02-01,16,-0.02240984952735836
ES,2024-03-01,17,-0.030034125507118148
ES,2024-04-01,18,-0.024738519645497448
ES,2024-05-01,19,-0.042993361019324716
ES,2024-06-01,20,-0.04467932218116122
ES,2024-07-01,21,-0.049887471329155275
ES,2024-08-01,22,-0.050919905853184844
ES,2024-09-01,23,-0.04991436829089135
GO,2020-03-01,-31,0.009379027034764675
GO,2020-04-01,-30,0.001900140885496171
GO,2020-05-01,-29,-0.005004336781625263
GO,2020-06-01,-28,0.002984260342763889
GO,2020-07-01,-27,-5.995167532182322e-4
GO,2020-08-01,-26,1.1924931791629234e-4
GO,2020-09-01,-25,-0.0010590014083096122
GO,2020-10-01,-24,2.2634088137163388e-4
GO,2020-11-01,-23,-0.001275358933708226
GO,2020-12-01,-22,-8.361910520875426e-4
GO,2021-01-01,-21,-0.0014213028234504321
GO,2021-02-01,-20,0.001506826714779308
GO,2021-03-01,-19,0.0012078980843037712
GO,2021-04-01,-18,2.1332471308443957e-4
GO,2021-05-01,-17,0.01003243788666719
GO,2021-06-01,-16,4.2817440273967833e-4
