dropped_donor,period_date,event_time,loo_gap
AC,2020-03-01,-31,-0.007919638633415715
AC,2020-04-01,-30,-0.008495256779450955
AC,2020-05-01,-29,-0.012239241220085795
AC,2020-06-01,-28,-0.014487613330319782
AC,2020-07-01,-27,-0.019918746568841073
AC,2020-08-01,-26,-0.028218561274599097
AC,2020-09-01,-25,-0.029149601077749665
AC,2020-10-01,-24,-0.03211909753243347
AC,2020-11-01,-23,-0.017325374742855004
AC,2020-12-01,-22,-0.012285636327453275
AC,2021-01-01,-21,-0.011046161889485262
AC,2021-02-01,-20,-0.011122579083084005
AC,2021-03-01,-19,-0.005800206887178305
AC,2021-04-01,-18,-0.003460187900416578
AC,2021-05-01,-17,-0.016096967396689088
AC,2021-06-01,-16,-0.02161135392956126
AC,2021-07-01,-15,-0.020017650674697407
AC,2021-08-01,-14,-0.021230698723618602
AC,2021-09-01,-13,-0.029366007138393435
AC,2021-10-01,-12,-0.02675086414156347
AC,2021-11-01,-11,-0.014556830124460518
AC,2021-12-01,-10,-0.012433903526748225
AC,2022-01-01,-9,-0.00602272974022533
AC,2022-02-01,-8,-0.002109601832448682
AC,2022-03-01,-7,0.001861638776207819
AC,2022-04-01,-6,0.0035955616761995657
AC,2022-05-01,-5,9.970743882785627e-4
AC,2022-06-01,-4,0.00926202244920038
AC,2022-07-01,-3,0.01355169991194849
AC,2022-08-01,-2,0.01332979756504038
AC,2022-09-01,-1,0.008230600305388691
AC,2022-10-01,0,0.008284814441661403
AC,2022-11-01,1,0.0012378395419654353
AC,2022-12-01,2,-0.004749216353358676
AC,2023-01-01,3,-0.009691584937029596
AC,2023-02-01,4,-0.009273136307614394
AC,2023-03-01,5,5.061246805668773e-4
AC,2023-04-01,6,0.009995012647975976
AC,2023-05-01,7,0.014135384552573349
AC,2023-06-01,8,0.020347467267047392
AC,2023-07-01,9,0.02057985976391663
AC,2023-08-01,10,0.021063060214366658
AC,2023-09-01,11,0.01891610445568226
AC,2023-10-01,12,0.012690801150604614
AC,2023-11-01,13,0.014242925333399548
AC,2023-12-01,14,0.016386503816541165
AC,2024-01-01,15,0.01940068002956874
AC,2024-02-01,16,0.022076757742835795
AC,2024-03-01,17,0.021551076716726847
AC,2024-04-01,18,0.01883869764858037
AC,2024-05-01,19,0.01876962927383552
AC,2024-06-01,20,0.013660775231065792
AC,2024-07-01,21,0.012249914140378237
AC,2024-08-01,22,0.01105996995972447
AC,2024-09-01,23,0.012869790332136866
AM,2020-03-01,-31,-0.002960089917753095
AM,2020-04-01,-30,-0.004667549256472725
AM,2020-05-01,-29,-0.00838012586634651
AM,2020-06-01,-28,-0.010404808467533222
AM,2020-07-01,-27,-0.015143841244242395
AM,2020-08-01,-26,-0.023668857150611622
AM,2020-09-01,-25,-0.024931193578995092
AM,2020-10-01,-24,-0.028071914627489036
AM,2020-11-01,-23,-0.01451150338899243
AM,2020-12-01,-22,-0.010364541911371816
AM,2021-01-01,-21,-0.010670779205391057
AM,2021-02-01,-20,-0.012072533836308352
AM,2021-03-01,-19,-0.007937456615596972
AM,2021-04-01,-18,-0.006456369698030429
AM,2021-05-01,-17,-0.019402118550077674
AM,2021-06-01,-16,-0.02544768084452631
AM,2021-07-01,-15,-0.024547428978898722
AM,2021-08-01,-14,-0.02538290061575399
AM,2021-09-01,-13,-0.03228515235311846
AM,2021-10-01,-12,-0.02922812476846648
AM,2021-11-01,-11,-0.01650766247272628
AM,2021-12-01,-10,-0.01407355139868649
AM,2022-01-01,-9,-0.006904208807053891
AM,2022-02-01,-8,-0.002399575565130263
AM,2022-03-01,-7,0.0015919996556617022
AM,2022-04-01,-6,0.003636273238526222
AM,2022-05-01,-5,9.038762183957161e-4
AM,2022-06-01,-4,0.009094007535303206
AM,2022-07-01,-3,0.013256494244581418
AM,2022-08-01,-2,0.012875929475340442
AM,2022-09-01,-1,0.007740437666639011
AM,2022-10-01,0,0.007681308464397851
AM,2022-11-01,1,4.195987372579424e-4
AM,2022-12-01,2,-0.004673857491249045
AM,2023-01-01,3,-0.008894529788943117
AM,2023-02-01,4,-0.007840425345639446
AM,2023-03-01,5,0.002745248234560016
AM,2023-04-01,6,0.013100206386562618
AM,2023-05-01,7,0.018497607299102548
AM,2023-06-01,8,0.025075446648969546
AM,2023-07-01,9,0.025970867010355114
AM,2023-08-01,10,0.02673738491246791
AM,2023-09-01,11,0.02508769272037359
AM,2023-10-01,12,0.01882746044130279
AM,2023-11-01,13,0.0206021564027683
AM,2023-12-01,14,0.02227607860989078
AM,2024-01-01,15,0.024744074815090222
AM,2024-02-01,16,0.02703430551024244
AM,2024-03-01,17,0.02633051658121488
AM,2024-04-01,18,0.023684893624587033
AM,2024-05-01,19,0.02327681075546284
AM,2024-06-01,20,0.01827786424163591
AM,2024-07-01,21,0.01683113700022698
AM,2024-08-01,22,0.015700092794804554
AM,2024-09-01,23,0.016859888886465946
AP,2020-03-01,-31,-0.005685559774374127
AP,2020-04-01,-30,-0.0066560928616850035
AP,2020-05-01,-29,-0.010921343554018748
AP,2020-06-01,-28,-0.013415920128982961
AP,2020-07-01,-27,-0.01874201363078143
AP,2020-08-01,-26,-0.02697264584268222
AP,2020-09-01,-25,-0.027870680062934028
AP,2020-10-01,-24,-0.030723463873051138
AP,2020-11-01,-23,-0.015745102665176702
AP,2020-12-01,-22,-0.010742323492141104
AP,2021-01-01,-21,-0.009865014829113505
AP,2021-02-01,-20,-0.010394881876818474
AP,2021-03-01,-19,-0.00556648457781872
AP,2021-04-01,-18,-0.0035616425531461715
AP,2021-05-01,-17,-0.016418161175205448
AP,2021-06-01,-16,-0.022190632301477997
AP,2021-07-01,-15,-0.020896111627739522
AP,2021-08-01,-14,-0.022175942683132277
AP,2021-09-01,-13,-0.030068174547629667
AP,2021-10-01,-12,-0.027386842026308145
AP,2021-11-01,-11,-0.015120576616642012
AP,2021-12-01,-10,-0.01306783073481288
AP,2022-01-01,-9,-0.006543491901761733
AP,2022-02-01,-8,-0.002578791944770842
AP,2022-03-01,-7,0.001418182386986544
AP,2022-04-01,-6,0.0032598280390851997
AP,2022-05-01,-5,5.842950257566315e-4
AP,2022-06-01,-4,0.008930147940827915
AP,2022-07-01,-3,0.013160892138551539
AP,2022-08-01,-2,0.013082781326407833
AP,2022-09-01,-1,0.00816010056913985
AP,2022-10-01,0,0.008289476114938132
AP,2022-11-01,1,0.001380490782423749
AP,2022-12-01,2,-0.004408836268305905
AP,2023-01-01,3,-0.009158407806151736
AP,2023-02-01,4,-0.00867515192032009
AP,2023-03-01,5,0.0011421849723065591
