state_abbrev,va_icms_secundario_real_pc,va_icms_terciario_real_pc,va_icms_energia_real_pc,va_icms_combustiveis_real_pc,fpe_real_pc,iof_est_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,4.950346848888973,131.63055120813576,4.121998822562164,2.618876483158896,224.6625261212296,8.549864212999588e-6,TRUE,FALSE,
AL,15.428879902318032,33.21801885727317,6.186488353902924,7.250337703684899,60.386840137938336,4.814704681270079e-7,TRUE,FALSE,
AM,51.463028130412155,83.62668308045993,4.517357681538191,20.509168108068803,37.523651035030014,0.00116752838852889,FALSE,TRUE,treated_unit
AP,7.303453661763464,34.641269831535794,2.0913141277790928,25.0566599222354,248.88684194509625,0.03572517085741848,TRUE,FALSE,
BA,23.435206320186587,34.15462138079685,8.814306215075545,22.09108692606208,29.660740637949832,1.9819028170471645e-6,TRUE,FALSE,
CE,17.65177056761603,33.96620251302002,8.677503013956878,15.602077621700412,39.76587123510568,1.2919819312127553e-4,TRUE,FALSE,
DF,36.86466922290731,102.37477379788687,16.003297631597135,44.31462425942588,12.482675417738122,5.319761529415243e-7,TRUE,FALSE,
ES,70.14692287922989,87.01866759112217,19.38173658593584,31.34706434997269,19.346442476874703,4.053727741604371e-6,TRUE,FALSE,
GO,31.043287551430737,54.55612444191858,14.499419565038098,34.42314867542883,21.87904291990493,2.0222109332947258e-5,TRUE,FALSE,
MA,7.171682810560695,18.788885401243032,4.018128882324645,12.27840144322914,51.22734089596801,7.090523458289128e-5,TRUE,FALSE,
MG,44.66534408595966,45.60703091463442,16.65361201699085,29.265014013032076,10.232060235336572,3.3594941136656756e-5,TRUE,FALSE,
MS,10.038748267924056,88.6198486600861,11.6257023243518,64.0391056491562,25.32924751207845,5.721893008629409e-6,TRUE,FALSE,
MT,15.816457131221073,85.97805520335575,17.59494517229882,39.09924927969004,35.54824000236116,0.02755439066314925,TRUE,FALSE,
PA,15.595035110691777,31.78077213644233,6.984855820325362,17.848791102680718,37.75617529924643,0.01311725197543615,TRUE,FALSE,
PB,13.385787999363703,38.87480260394567,7.373458196549906,12.88590821960078,57.72541433454592,8.781840686509886e-6,TRUE,FALSE,
PE,14.893902060352184,53.18206974411413,9.47774088535943,16.336074561688708,35.70740007982847,6.285110420979164e-7,TRUE,FALSE,
PI,8.97544332907461,26.452852277536273,6.455306138596271,16.07235942874789,63.33321782677656,4.875548086971601e-5,TRUE,FALSE,
PR,28.762096617215956,55.94755945150103,20.85982131979636,32.70198313368352,12.370318199755117,5.5759748276911285e-5,TRUE,FALSE,
RJ,36.91661879733954,72.76548191861355,21.886003423653612,20.369348477616633,4.409735660962913,4.2111243276353287e-4,TRUE,FALSE,
RN,21.022032212082063,49.74443678619018,8.062228548145645,4.520181779584069,60.34103509511352,7.57078526737511e-6,TRUE,FALSE,
RO,7.333070055797365,86.53240528680857,6.084307511353328,26.774164320387055,81.50111737169814,0.01595720512999797,TRUE,FALSE,
RR,17.326806468605227,47.0498955554286,5.189106578630516,15.374018489946334,273.94777346662516,0.0046572388916059,FALSE,TRUE,coded_removal_in_scm_window:RR_2018_01
RS,57.385580072116504,61.314674031112354,18.262263007565608,34.55684756104612,9.759912177851808,5.041084415399622e-6,TRUE,FALSE,
SC,47.64062046452254,72.60655261736639,19.539437375236123,36.13407763231,9.459630222933466,1.4479511130617768e-4,TRUE,FALSE,
SE,18.30664937448342,42.845980225947265,8.458535479302176,13.092799637413204,92.3158755539529,1.8487039827492064e-6,TRUE,FALSE,
SP,89.82440818578263,87.74795654844462,18.01241084806737,30.802754201228204,1.093747510338547,1.4676667821270388e-4,TRUE,FALSE,
TO,13.55864225613602,35.68373475656188,9.438071342491364,28.58396692979648,145.74786011415313,1.5302915884023608e-4,FALSE,TRUE,coded_removal_in_scm_window:TO_2018_01
