dropped_donor,period_date,event_time,loo_gap
AC,2014-10-01,-31,0.04228074384062008
AC,2014-11-01,-30,0.052144828982616076
AC,2014-12-01,-29,0.013045216443906327
AC,2015-01-01,-28,0.013233319807902433
AC,2015-02-01,-27,0.015108225717491486
AC,2015-03-01,-26,0.02153387903191195
AC,2015-04-01,-25,0.027222487184928923
AC,2015-05-01,-24,0.017377385350193286
AC,2015-06-01,-23,0.03774756502633991
AC,2015-07-01,-22,0.04330016404659265
AC,2015-08-01,-21,0.03258308030981194
AC,2015-09-01,-20,0.011644453244314512
AC,2015-10-01,-19,0.025356606433819096
AC,2015-11-01,-18,-0.0033193701620293226
AC,2015-12-01,-17,-0.016896024789478048
AC,2016-01-01,-16,-0.029189769755774364
AC,2016-02-01,-15,-0.041333936559900586
AC,2016-03-01,-14,-0.0453858708714332
AC,2016-04-01,-13,-0.061669529658330724
AC,2016-05-01,-12,-0.07175388898070079
AC,2016-06-01,-11,-0.06582252460287652
AC,2016-07-01,-10,-0.060957021821439916
AC,2016-08-01,-9,-0.0713713529271498
AC,2016-09-01,-8,-0.05013462248801481
AC,2016-10-01,-7,-0.05346046505061608
AC,2016-11-01,-6,-0.06006318133245703
AC,2016-12-01,-5,-0.04424453322745325
AC,2017-01-01,-4,-0.03786479143413768
AC,2017-02-01,-3,-0.02499272416812648
AC,2017-03-01,-2,-0.04235795499611239
AC,2017-04-01,-1,-0.033724441134709515
AC,2017-05-01,0,-0.0025666270729853835
AC,2017-06-01,1,-0.0018685508311699905
AC,2017-07-01,2,0.00487118940057929
AC,2017-08-01,3,0.019040399750493542
AC,2017-09-01,4,0.04320128532329193
AC,2017-10-01,5,0.051397716964759255
AC,2017-11-01,6,0.05509897358815685
AC,2017-12-01,7,0.05763125665805635
AC,2018-01-01,8,0.037593910106545
AC,2018-02-01,9,0.07405797461806873
AC,2018-03-01,10,0.07156417669272308
AC,2018-04-01,11,0.06810044030279538
AC,2018-05-01,12,0.07039714036997058
AC,2018-06-01,13,0.06843862635126552
AC,2018-07-01,14,0.08038679381902192
