pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,1.9882720813163441,1.5342658627844576,0.7716579019550938
AL,3.0123799551599655,4.074159903159181,1.3524721196542526
AM,1.0384201408661955,2.1720689586831776,2.091705344689628
AP,1.9970850471491457,3.1901015147622838,1.5973788994695937
BA,0.371826814139799,0.8672342493178542,2.332360702183766
CE,0.5268949140141618,1.0875727822469041,2.0641170626628456
ES,1.1937555938467623,1.929142440595826,1.6160279797134607
GO,0.8918340441696715,1.315946352146236,1.4755507044715117
MG,0.889237871529033,1.7224212558409617,1.9369634503749606
MS,1.5360556090947188,2.0758637831137055,1.3514248903639139
MT,1.5323004917055618,2.6607520957621835,1.7364427605192327
PA,0.492090522859873,0.40224286696127526,0.8174164066878755
PE,0.788419880011863,1.881915389197102,2.3869456325337532
PI,0.37441965461428584,1.36911487494314,3.6566319584733202
PR,0.7296036533695345,1.1121173694734259,1.5242760426668989
RJ,1.5396908180588418,1.2607660650915877,0.8188436602363407
RN,0.5890168960585777,1.896124994851315,3.2191351513671105
RO,2.112049048799565,2.555760204179121,1.2100856301759422
RR,1.1173278389074086,1.7686962013853629,1.5829697782478078
RS,0.4997812658507336,1.8180818627118198,3.6377551279699514
SC,0.6793773382834195,1.6405119933051182,2.4147287536116444
SE,0.4918994536466985,1.6638025384586326,3.38240371304344
SP,1.3354099086363125,1.5452792448834374,1.1571572405520327
