pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,0.12729533570157417,0.3601373254220636,2.82914785083999
AL,0.026638317791404437,0.06162278550908065,2.3133137006483526
AM,0.021881191365211883,0.1171866005008989,5.355585925143438
AP,0.047659755070293325,0.07996127384834627,1.6777525132139572
BA,0.014358203453972774,0.07771923162407934,5.412879952092836
CE,0.010988613846028724,0.0277270665582454,2.5232542472375568
ES,0.012897580414543612,0.13625133267634057,10.564100265093163
GO,0.012106750680955403,0.07607175239202904,6.283416120205909
MG,0.009665822195037302,0.06252352164248066,6.468515598660811
MS,0.0152131694211192,0.041727565719374464,2.742858149035499
MT,0.01110074920418726,0.06744025957341704,6.075289003734832
PA,0.016705329533991686,0.12184593007130766,7.293835768003133
PE,0.012882585944134306,0.06341963651306731,4.922896442382635
PI,0.010223446295150687,0.020583187736936154,2.0133316244542145
PR,0.007895813070776808,0.060451292941041915,7.656120072646879
RJ,0.011928239990513812,0.07800119181212385,6.539203761339139
RN,0.011352922776139845,0.0830471860659688,7.315048970517706
RO,0.018299729041368302,0.14322884012521472,7.826828462947846
RR,0.027918781299058802,0.22731456449167578,8.141994525360568
RS,0.010184991593093258,0.030507883914220064,2.9953764453677465
SC,0.015498326481404649,0.04621491612583856,2.9819294477560905
SE,0.006314748519788122,0.0861996566336848,13.650528815766213
SP,0.02361093795054931,0.08731811731752652,3.69820620851257
