pseudo_treated_state,period_date,event_time,augmented_gap
AC,2007-07-01,-31,-0.041515018522054525
AC,2007-08-01,-30,-0.0011350368621561024
AC,2007-09-01,-29,-0.017087553684236756
AC,2007-10-01,-28,0.008906591703398803
AC,2007-11-01,-27,0.027658642045790938
AC,2007-12-01,-26,-0.016332580904453664
AC,2008-01-01,-25,-0.0022566672320860626
AC,2008-02-01,-24,0.004668494009586688
AC,2008-03-01,-23,0.0024541917028830795
AC,2008-04-01,-22,-0.0075664408069799904
AC,2008-05-01,-21,-0.018643158420883488
AC,2008-06-01,-20,0.017560436814374913
AC,2008-07-01,-19,-7.96289551599827e-4
AC,2008-08-01,-18,-0.0021635114365516905
AC,2008-09-01,-17,0.006666555928445561
AC,2008-10-01,-16,0.009139123849505104
AC,2008-11-01,-15,0.008852311587361328
AC,2008-12-01,-14,0.0027251624259729823
AC,2009-01-01,-13,0.001181599985758286
AC,2009-02-01,-12,-0.01968762830790194
AC,2009-03-01,-11,-8.074243016920057e-4
AC,2009-04-01,-10,0.005143837735070544
AC,2009-05-01,-9,-8.953052407201234e-4
AC,2009-06-01,-8,0.0015798438397265357
AC,2009-07-01,-7,-0.012916031405175055
AC,2009-08-01,-6,-0.004542971892643077
AC,2009-09-01,-5,-0.0038783838944889126
AC,2009-10-01,-4,0.012656482424145743
AC,2009-11-01,-3,0.012294429060765388
AC,2009-12-01,-2,-0.0028238252617263093
AC,2010-01-01,-1,0.006013419267262954
AC,2010-02-01,0,-0.01448772873200932
AC,2010-03-01,1,-0.021705465297597648
AC,2010-04-01,2,-0.05541354073347193
AC,2010-05-01,3,-0.06846991412939474
AC,2010-06-01,4,-0.08087384598342151
AC,2010-07-01,5,-0.08261574588912168
AC,2010-08-01,6,-0.08162379547990817
AC,2010-09-01,7,-0.08453652751284935
AC,2010-10-01,8,-0.08409160122481651
AC,2010-11-01,9,-0.057527947777954225
AC,2010-12-01,10,-0.050857841311245267
AC,2011-01-01,11,-0.05503557328989306
AC,2011-02-01,12,0.3433798269726962
AC,2011-03-01,13,0.3677781321592981
AC,2011-04-01,14,0.3911127606707159
AC,2011-05-01,15,0.37978672725369433
AC,2011-06-01,16,0.4319626616297114
AC,2011-07-01,17,0.39794366454875085
AC,2011-08-01,18,0.3918376235197174
AC,2011-09-01,19,0.4121263967127846
AC,2011-10-01,20,0.41210488353363894
AC,2011-11-01,21,0.44520907098750895
AC,2011-12-01,22,0.48627962897213006
AC,2012-01-01,23,0.49928177341108704
AL,2007-07-01,-31,0.00607863971732403
AL,2007-08-01,-30,-0.002020375660225504
AL,2007-09-01,-29,0.003606820622807483
AL,2007-10-01,-28,0.004829868401791337
AL,2007-11-01,-27,0.005382535463398952
AL,2007-12-01,-26,7.081898837295597e-4
AL,2008-01-01,-25,3.5070541095105767e-4
AL,2008-02-01,-24,1.2053824245494837e-4
AL,2008-03-01,-23,-0.001523492301015672
AL,2008-04-01,-22,5.419889412197065e-4
AL,2008-05-01,-21,-0.004435709817206757
AL,2008-06-01,-20,-0.0022633753808047885
AL,2008-07-01,-19,-1.6976215568398345e-4
AL,2008-08-01,-18,0.0016233694159106804
AL,2008-09-01,-17,0.002884330327368012
AL,2008-10-01,-16,6.170813564416733e-4
AL,2008-11-01,-15,0.0011400892986141997
AL,2008-12-01,-14,4.502713692433602e-4
AL,2009-01-01,-13,0.0027165243960984853
AL,2009-02-01,-12,1.5534144929052474e-4
AL,2009-03-01,-11,0.0011611977321104305
AL,2009-04-01,-10,-3.938026836634023e-4
AL,2009-05-01,-9,-0.0018207168378179261
AL,2009-06-01,-8,-0.0019524259440100167
AL,2009-07-01,-7,0.0023064975650077812
AL,2009-08-01,-6,9.461378525230657e-4
AL,2009-09-01,-5,4.3673342236427715e-4
AL,2009-10-01,-4,-0.003413133288408865
AL,2009-11-01,-3,0.0016535503032955035
AL,2009-12-01,-2,0.0037623391251964122
AL,2010-01-01,-1,-0.0021411120987728793
AL,2010-02-01,0,-0.003710385189374499
AL,2010-03-01,1,-0.006119528976784139
AL,2010-04-01,2,0.004704293315963781
AL,2010-05-01,3,0.005308046407508371
AL,2010-06-01,4,0.00244477217196426
AL,2010-07-01,5,0.002530217191877071
AL,2010-08-01,6,0.004709018612573779
AL,2010-09-01,7,0.021903952842468044
AL,2010-10-01,8,-0.012557916888768617
AL,2010-11-01,9,-0.008620203133416382
AL,2010-12-01,10,-0.003995343273677676
AL,2011-01-01,11,-0.012779866727488098
AL,2011-02-01,12,-0.01654477846615876
AL,2011-03-01,13,-0.014922299195903932
AL,2011-04-01,14,-0.01906897420431708
AL,2011-05-01,15,-0.023914110482712303
AL,2011-06-01,16,-0.02348569422625868
AL,2011-07-01,17,-0.023844337072094213
AL,2011-08-01,18,-0.027975089340094073
AL,2011-09-01,19,-0.027816243476441294
AL,2011-10-01,20,-0.026139367710976025
AL,2011-11-01,21,-0.03024106619101108
AL,2011-12-01,22,-0.03542398500640598
AL,2012-01-01,23,-0.034986560896231644
AM,2007-07-01,-31,0.0019840033251190548
AM,2007-08-01,-30,0.005216214452701706
AM,2007-09-01,-29,0.007265929520268166
AM,2007-10-01,-28,-0.010591187636169508
AM,2007-11-01,-27,0.00685410032138023
AM,2007-12-01,-26,0.013767348999119022
AM,2008-01-01,-25,8.36825417646736e-4
AM,2008-02-01,-24,-0.007014278140793806
AM,2008-03-01,-23,0.001733376213225668
AM,2008-04-01,-22,0.007183020106101168
AM,2008-05-01,-21,-0.02895995062888712
AM,2008-06-01,-20,-0.021606098340272162
