pseudo_treated_state,period_date,event_time,augmented_gap
AC,2006-09-01,-31,0.0035786459613795785
AC,2006-10-01,-30,0.012750027795532137
AC,2006-11-01,-29,-0.013966392901479718
AC,2006-12-01,-28,-0.02221205679128646
AC,2007-01-01,-27,0.020422719628220953
AC,2007-02-01,-26,0.0023514506686472814
AC,2007-03-01,-25,-0.006962697630415349
AC,2007-04-01,-24,-0.015281865562233765
AC,2007-05-01,-23,8.372945110042274e-4
AC,2007-06-01,-22,0.031646179097359894
AC,2007-07-01,-21,-0.020339821765203325
AC,2007-08-01,-20,-0.0031820794957688747
AC,2007-09-01,-19,-0.005293851893058754
AC,2007-10-01,-18,0.004607988821173414
AC,2007-11-01,-17,0.006080543463457211
AC,2007-12-01,-16,-0.024255254954882677
AC,2008-01-01,-15,0.0024424795788036135
AC,2008-02-01,-14,0.003500975345975821
AC,2008-03-01,-13,0.004030011154965596
AC,2008-04-01,-12,-0.0017987306980926654
AC,2008-05-01,-11,-0.003570417743176346
AC,2008-06-01,-10,0.013278772975056086
AC,2008-07-01,-9,-0.007255415415936106
AC,2008-08-01,-8,-0.005049456930377172
AC,2008-09-01,-7,0.0027236063039843827
AC,2008-10-01,-6,0.010360154144393618
AC,2008-11-01,-5,0.024361941083798744
AC,2008-12-01,-4,-0.017986136334843028
AC,2009-01-01,-3,0.02461302376544694
AC,2009-02-01,-2,0.0038767261630217043
AC,2009-03-01,-1,0.01461753013527689
AC,2009-04-01,0,0.015530606321343843
AC,2009-05-01,1,0.012451971758927094
AC,2009-06-01,2,0.04602124261689733
AC,2009-07-01,3,0.06006499513428931
AC,2009-08-01,4,0.08554490275600157
AC,2009-09-01,5,0.11980780398181379
AC,2009-10-01,6,0.17025225751766104
AC,2009-11-01,7,0.1524204409199923
AC,2009-12-01,8,0.16087331511220482
AC,2010-01-01,9,0.15694736388098374
AC,2010-02-01,10,0.13680990411964622
AC,2010-03-01,11,0.1311625088708226
AC,2010-04-01,12,0.11163665211795859
AC,2010-05-01,13,0.10379139483610889
AC,2010-06-01,14,0.0921300464136956
AC,2010-07-01,15,0.09638128787706002
AC,2010-08-01,16,0.09678415576790123
AC,2010-09-01,17,0.0858780164244024
AC,2010-10-01,18,0.06061989466632589
AC,2010-11-01,19,0.0839771558187481
AC,2010-12-01,20,0.09913026608413844
AC,2011-01-01,21,0.09275271177756839
AC,2011-02-01,22,0.10210899809816798
AC,2011-03-01,23,0.14054382253804798
AL,2006-09-01,-31,-0.01486642901863
AL,2006-10-01,-30,0.001676618536048835
AL,2006-11-01,-29,0.008714872687165531
AL,2006-12-01,-28,0.018198643203289677
AL,2007-01-01,-27,0.017885532955673966
AL,2007-02-01,-26,0.0014825285855151193
AL,2007-03-01,-25,0.0018575051662619302
AL,2007-04-01,-24,9.341434992249376e-4
AL,2007-05-01,-23,-0.0013694791350147284
AL,2007-06-01,-22,-0.002023872389964154
AL,2007-07-01,-21,-0.0036483439081997915
AL,2007-08-01,-20,-0.0027510567680737452
AL,2007-09-01,-19,0.00320053494022865
AL,2007-10-01,-18,-0.007849387950074949
AL,2007-11-01,-17,0.001954817260182651
AL,2007-12-01,-16,0.0075393940622898725
AL,2008-01-01,-15,-0.006928158635700399
AL,2008-02-01,-14,-0.004812283103221127
AL,2008-03-01,-13,-0.0030929326018362957
AL,2008-04-01,-12,3.035849270460744e-4
AL,2008-05-01,-11,-0.0036433768451660242
AL,2008-06-01,-10,0.0013305563464935943
AL,2008-07-01,-9,0.013433115145137897
AL,2008-08-01,-8,0.0015857887824992645
AL,2008-09-01,-7,-0.005873014539125698
AL,2008-10-01,-6,-0.0025776553198024743
AL,2008-11-01,-5,0.007296048722266413
AL,2008-12-01,-4,-0.0026910500059367237
AL,2009-01-01,-3,-0.01189728225877662
AL,2009-02-01,-2,-0.006061491385307427
AL,2009-03-01,-1,0.0039139496216433756
AL,2009-04-01,0,3.8444144358784627e-4
AL,2009-05-01,1,-0.013604631055667227
AL,2009-06-01,2,-0.010662466850209995
AL,2009-07-01,3,-0.005951569795398015
AL,2009-08-01,4,-0.007684395822884049
AL,2009-09-01,5,-0.009629826934650865
AL,2009-10-01,6,-0.01769669973523058
AL,2009-11-01,7,-0.003141351619503574
AL,2009-12-01,8,-0.0010352194245406565
AL,2010-01-01,9,-0.0075944247306001245
AL,2010-02-01,10,-0.009917546978759795
AL,2010-03-01,11,-0.011730215462122828
AL,2010-04-01,12,2.850492366626156e-4
AL,2010-05-01,13,-0.0012827739889544887
AL,2010-06-01,14,-0.005122994148451632
AL,2010-07-01,15,-0.011374115488874459
AL,2010-08-01,16,-0.008649348973224669
AL,2010-09-01,17,-0.00948393910966594
AL,2010-10-01,18,-0.01663327187595076
AL,2010-11-01,19,-0.020088100876591852
AL,2010-12-01,20,-0.01797098827569865
AL,2011-01-01,21,-0.02063201574654272
AL,2011-02-01,22,-0.0258319714897155
AL,2011-03-01,23,-0.03400195579909404
AM,2006-09-01,-31,0.021153820074634844
AM,2006-10-01,-30,-3.55376120974249e-4
AM,2006-11-01,-29,0.006270105480500554
AM,2006-12-01,-28,0.0012831351136055602
AM,2007-01-01,-27,-0.004434009546675277
AM,2007-02-01,-26,-0.0010303036486494221
AM,2007-03-01,-25,0.004635278902731521
AM,2007-04-01,-24,0.010894220258129472
AM,2007-05-01,-23,-0.003491285230970753
AM,2007-06-01,-22,-0.013858873997511623
AM,2007-07-01,-21,3.7639614392759313e-4
AM,2007-08-01,-20,-0.0011452076550044765
AM,2007-09-01,-19,0.007298889098713346
AM,2007-10-01,-18,-0.010275248798583547
AM,2007-11-01,-17,0.004072349341199377
AM,2007-12-01,-16,0.023967616818040938
AM,2008-01-01,-15,-2.7036419953407886e-4
AM,2008-02-01,-14,-0.0038792893371200066
AM,2008-03-01,-13,-6.261880960174437e-4
AM,2008-04-01,-12,0.0036620736516628227
AM,2008-05-01,-11,-0.0049619813381891476
AM,2008-06-01,-10,-0.0075873739103924365
AM,2008-07-01,-9,0.012411532429404737
AM,2008-08-01,-8,0.0065897484043357935
AM,2008-09-01,-7,-0.005716697801601001
AM,2008-10-01,-6,-0.007474135148572536
AM,2008-11-01,-5,-0.020683379586905914
AM,2008-12-01,-4,0.010658518229162972
AM,2009-01-01,-3,-0.019627410991446936
AM,2009-02-01,-2,-0.007988920699468771
AM,2009-03-01,-1,-0.005499843537795535
AM,2009-04-01,0,-0.0042659626775298776
AM,2009-05-01,1,4.921648725453309e-5
AM,2009-06-01,2,-0.013711276120339733
AM,2009-07-01,3,-0.029815559224295463
AM,2009-08-01,4,-0.03478300448027749
AM,2009-09-01,5,-0.04585300281437821
AM,2009-10-01,6,-0.05230513206365117
AM,2009-11-01,7,-0.06307059807975257
AM,2009-12-01,8,-0.07895381022222381
AM,2010-01-01,9,-0.08067255089027903
AM,2010-02-01,10,-0.0825217375314109
AM,2010-03-01,11,-0.08698354509383233
AM,2010-04-01,12,-0.08484386842194436
AM,2010-05-01,13,-0.0858729609575768
AM,2010-06-01,14,-0.07813167033292512
AM,2010-07-01,15,-0.11003186917318875
AM,2010-08-01,16,-0.07700440574615985
AM,2010-09-01,17,-0.07166089463947678
