pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,0.013725618098455567,0.11922899405959327,8.686602905920072
AL,0.007385219060593102,0.015017242621652955,2.0334187108658264
AM,0.00987486208059688,0.08888098172475134,9.000731453190989
AP,0.025143624972907674,0.16779261974907275,6.673366307756728
BA,0.0026402715624512206,0.014258122548170155,5.400248501306796
CE,0.004353228910680307,0.009460897425960622,2.1733057507610156
ES,0.004955312409300196,0.05839336518847457,11.783992686087991
GO,0.004060635699597973,0.06522960473089379,16.06388988240238
MG,0.0034686823545848735,0.007328395517580532,2.112731800850523
MS,0.00775159673987404,0.07078770699334233,9.132016198573895
MT,0.005679524271206518,0.06344685569028435,11.17115671323756
PA,0.006298306910193746,0.04604069831884185,7.310011877053093
PE,0.002396899326611071,0.015971827525029077,6.663537073795807
PI,0.005764153180048873,0.04919505522781107,8.534654387410635
PR,0.0028661794332352974,0.01710579634060118,5.968152636310152
RJ,0.004069289589885149,0.034828025014466246,8.558748215176603
RN,0.004016753134899423,0.06624140955715091,16.491282220362184
RO,0.009158219672091886,0.1177785443142225,12.860419222431686
RR,0.018743877220328584,0.11487622152001761,6.128733141477748
RS,0.0030957026379201374,0.02583863161089428,8.346612912490228
SC,0.0026796058637906183,0.03589616911945602,13.396063057078349
SE,0.005001994557481325,0.06970993002548224,13.936426604307137
SP,0.004535906167535024,0.09692374455089103,21.368110576141593
