dropped_donor,period_date,event_time,loo_gap
AC,2006-09-01,-31,-0.16629714503444415
AC,2006-10-01,-30,-0.17605152307309702
AC,2006-11-01,-29,-0.1925066345356461
AC,2006-12-01,-28,-0.17975494796703728
AC,2007-01-01,-27,-0.1883229775660631
AC,2007-02-01,-26,-0.1896624842693031
AC,2007-03-01,-25,-0.18714664860840458
AC,2007-04-01,-24,-0.18412551279478429
AC,2007-05-01,-23,-0.15260471545903087
AC,2007-06-01,-22,-0.1468889420608619
AC,2007-07-01,-21,-0.14899121086175882
AC,2007-08-01,-20,-0.15201577048165849
AC,2007-09-01,-19,-0.17303687320601746
AC,2007-10-01,-18,-0.17320571229072268
AC,2007-11-01,-17,-0.17568744696566085
AC,2007-12-01,-16,-0.19023712178561603
AC,2008-01-01,-15,-0.19249488440291973
AC,2008-02-01,-14,-0.18685087817872148
AC,2008-03-01,-13,-0.19073875863588707
AC,2008-04-01,-12,-0.2064767685821538
AC,2008-05-01,-11,-0.2057738977821133
AC,2008-06-01,-10,-0.20451858494224506
AC,2008-07-01,-9,-0.2099846909174179
AC,2008-08-01,-8,-0.2127114212521679
AC,2008-09-01,-7,-0.20641630338936157
AC,2008-10-01,-6,-0.19193998878902452
AC,2008-11-01,-5,-0.18384880609649823
AC,2008-12-01,-4,-0.17719449167614876
AC,2009-01-01,-3,-0.16929582487305694
AC,2009-02-01,-2,-0.188999453418095
AC,2009-03-01,-1,-0.19207499735107447
AC,2009-04-01,0,-0.2085048541004504
AC,2009-05-01,1,-0.2259414191581195
AC,2009-06-01,2,-0.2414786705555576
AC,2009-07-01,3,-0.24815103371836678
AC,2009-08-01,4,-0.22019447032003558
AC,2009-09-01,5,-0.23427890168597632
AC,2009-10-01,6,-0.23746376582759687
AC,2009-11-01,7,-0.24788484937792
AC,2009-12-01,8,-0.24837117963630106
AC,2010-01-01,9,-0.27076986541853376
AC,2010-02-01,10,-0.312453458996683
AC,2010-03-01,11,-0.31824754157225144
AC,2010-04-01,12,-0.32368198761988687
AC,2010-05-01,13,-0.3215546006850616
AC,2010-06-01,14,-0.3222498057801291
AC,2010-07-01,15,-0.31274844155125336
AC,2010-08-01,16,-0.2969445461730347
AC,2010-09-01,17,-0.2842613269015901
AC,2010-10-01,18,-0.27604312059592306
AC,2010-11-01,19,-0.2931123937838116
AC,2010-12-01,20,-0.3123399004480154
AC,2011-01-01,21,-0.31685541879960155
AC,2011-02-01,22,-0.32865060233962584
AC,2011-03-01,23,-0.3259592175826258
AL,2006-09-01,-31,-0.1662971450360624
AL,2006-10-01,-30,-0.17605152307477567
AL,2006-11-01,-29,-0.1925066345372537
AL,2006-12-01,-28,-0.1797549479686511
AL,2007-01-01,-27,-0.18832297756766092
AL,2007-02-01,-26,-0.18966248427090004
AL,2007-03-01,-25,-0.1871466486100184
AL,2007-04-01,-24,-0.18412551279638478
AL,2007-05-01,-23,-0.15260471546068377
AL,2007-06-01,-22,-0.14688894206252012
AL,2007-07-01,-21,-0.14899121086340283
AL,2007-08-01,-20,-0.15201577048330783
AL,2007-09-01,-19,-0.17303687320763306
AL,2007-10-01,-18,-0.17320571229233028
AL,2007-11-01,-17,-0.17568744696724625
AL,2007-12-01,-16,-0.19023712178719343
AL,2008-01-01,-15,-0.19249488440449092
AL,2008-02-01,-14,-0.18685087818030155
AL,2008-03-01,-13,-0.1907387586375382
AL,2008-04-01,-12,-0.20647676858382447
AL,2008-05-01,-11,-0.2057738977838035
AL,2008-06-01,-10,-0.20451858494398945
AL,2008-07-01,-9,-0.20998469091918182
AL,2008-08-01,-8,-0.21271142125390075
AL,2008-09-01,-7,-0.20641630339101535
AL,2008-10-01,-6,-0.19193998879065965
AL,2008-11-01,-5,-0.1838488060981298
AL,2008-12-01,-4,-0.17719449167768175
AL,2009-01-01,-3,-0.16929582487456862
AL,2009-02-01,-2,-0.1889994534195445
AL,2009-03-01,-1,-0.19207499735250444
AL,2009-04-01,0,-0.20850485410187325
AL,2009-05-01,1,-0.22594141915953614
AL,2009-06-01,2,-0.24147867055698757
AL,2009-07-01,3,-0.24815103371976477
AL,2009-08-01,4,-0.22019447032149841
AL,2009-09-01,5,-0.2342789016873681
AL,2009-10-01,6,-0.237463765828954
AL,2009-11-01,7,-0.24788484937926025
AL,2009-12-01,8,-0.248371179637636
AL,2010-01-01,9,-0.2707698654198927
AL,2010-02-01,10,-0.3124534589979664
AL,2010-03-01,11,-0.318247541573621
AL,2010-04-01,12,-0.3236819876213364
AL,2010-05-01,13,-0.3215546006865768
AL,2010-06-01,14,-0.3222498057816887
AL,2010-07-01,15,-0.3127484415528734
AL,2010-08-01,16,-0.29694454617490074
AL,2010-09-01,17,-0.2842613269034775
AL,2010-10-01,18,-0.2760431205977527
AL,2010-11-01,19,-0.2931123937855755
AL,2010-12-01,20,-0.3123399004496932
AL,2011-01-01,21,-0.3168554188012571
AL,2011-02-01,22,-0.32865060234113574
AL,2011-03-01,23,-0.32595921758414814
AM,2006-09-01,-31,-0.16629714503290494
AM,2006-10-01,-30,-0.17605152307160932
AM,2006-11-01,-29,-0.19250663453419214
AM,2006-12-01,-28,-0.17975494796557356
AM,2007-01-01,-27,-0.18832297756460825
AM,2007-02-01,-26,-0.18966248426783405
AM,2007-03-01,-25,-0.18714664860689023
AM,2007-04-01,-24,-0.18412551279322464
AM,2007-05-01,-23,-0.15260471545743215
AM,2007-06-01,-22,-0.14688894205926672
AM,2007-07-01,-21,-0.14899121086012546
AM,2007-08-01,-20,-0.15201577048004644
AM,2007-09-01,-19,-0.17303687320442585
AM,2007-10-01,-18,-0.1732057122891426
AM,2007-11-01,-17,-0.17568744696408434
AM,2007-12-01,-16,-0.19023712178404306
AM,2008-01-01,-15,-0.19249488440140272
AM,2008-02-01,-14,-0.18685087817721335
AM,2008-03-01,-13,-0.1907387586343683
AM,2008-04-01,-12,-0.20647676858063324
AM,2008-05-01,-11,-0.20577389778056165
AM,2008-06-01,-10,-0.20451858494068986
AM,2008-07-01,-9,-0.20998469091580851
AM,2008-08-01,-8,-0.21271142125052833
AM,2008-09-01,-7,-0.20641630338771844
AM,2008-10-01,-6,-0.19193998878740715
AM,2008-11-01,-5,-0.1838488060949297
AM,2008-12-01,-4,-0.17719449167459977
AM,2009-01-01,-3,-0.16929582487154704
AM,2009-02-01,-2,-0.18899945341662594
AM,2009-03-01,-1,-0.19207499734962408
AM,2009-04-01,0,-0.20850485409900354
AM,2009-05-01,1,-0.22594141915665844
AM,2009-06-01,2,-0.24147867055407257
AM,2009-07-01,3,-0.24815103371686398
AM,2009-08-01,4,-0.22019447031851413
AM,2009-09-01,5,-0.23427890168445753
AM,2009-10-01,6,-0.2374637658260772
AM,2009-11-01,7,-0.2478848493764385
AM,2009-12-01,8,-0.248371179634856
AM,2010-01-01,9,-0.27076986541712866
AM,2010-02-01,10,-0.3124534589953045
AM,2010-03-01,11,-0.318247541570881
AM,2010-04-01,12,-0.32368198761853595
AM,2010-05-01,13,-0.321554600683708
AM,2010-06-01,14,-0.32224980577878526
AM,2010-07-01,15,-0.3127484415499122
AM,2010-08-01,16,-0.29694454617172994
AM,2010-09-01,17,-0.284261326900344
AM,2010-10-01,18,-0.27604312059470715
AM,2010-11-01,19,-0.2931123937826001
AM,2010-12-01,20,-0.312339900446835
AM,2011-01-01,21,-0.31685541879843093
AM,2011-02-01,22,-0.32865060233846943
AM,2011-03-01,23,-0.32595921758142676
AP,2006-09-01,-31,-0.16629714503366788
AP,2006-10-01,-30,-0.1760515230723536
AP,2006-11-01,-29,-0.19250663453492844
AP,2006-12-01,-28,-0.17975494796633207
AP,2007-01-01,-27,-0.18832297756532856
AP,2007-02-01,-26,-0.18966248426853927
AP,2007-03-01,-25,-0.18714664860762653
AP,2007-04-01,-24,-0.18412551279399025
AP,2007-05-01,-23,-0.1526047154582093
AP,2007-06-01,-22,-0.14688894206004655
AP,2007-07-01,-21,-0.14899121086094524
AP,2007-08-01,-20,-0.15201577048086623
AP,2007-09-01,-19,-0.17303687320522076
AP,2007-10-01,-18,-0.1732057122899313
AP,2007-11-01,-17,-0.1756874469648615
AP,2007-12-01,-16,-0.19023712178481578
AP,2008-01-01,-15,-0.19249488440212748
AP,2008-02-01,-14,-0.18685087817792212
AP,2008-03-01,-13,-0.19073875863510192
AP,2008-04-01,-12,-0.20647676858136066
AP,2008-05-01,-11,-0.20577389778132993
AP,2008-06-01,-10,-0.20451858494145725
AP,2008-07-01,-9,-0.2099846909166425
AP,2008-08-01,-8,-0.2127114212513881
AP,2008-09-01,-7,-0.2064163033885693
AP,2008-10-01,-6,-0.19193998878825358
AP,2008-11-01,-5,-0.18384880609574328
AP,2008-12-01,-4,-0.17719449167540446
AP,2009-01-01,-3,-0.16929582487230466
AP,2009-02-01,-2,-0.18899945341737023
AP,2009-03-01,-1,-0.19207499735036837
AP,2009-04-01,0,-0.20850485409973452
AP,2009-05-01,1,-0.22594141915738586
AP,2009-06-01,2,-0.2414786705548364
AP,2009-07-01,3,-0.248151033717674
AP,2009-08-01,4,-0.2201944703193499
AP,2009-09-01,5,-0.23427890168530396
AP,2009-10-01,6,-0.2374637658269556
AP,2009-11-01,7,-0.2478848493773036
AP,2009-12-01,8,-0.24837117963567934
AP,2010-01-01,9,-0.2707698654179058
AP,2010-02-01,10,-0.31245345899604615
AP,2010-03-01,11,-0.3182475415715924
AP,2010-04-01,12,-0.32368198761921363
AP,2010-05-01,13,-0.32155460068438657
AP,2010-06-01,14,-0.32224980577947093
AP,2010-07-01,15,-0.31274844155061476
AP,2010-08-01,16,-0.2969445461723872
AP,2010-09-01,17,-0.2842613269009808
AP,2010-10-01,18,-0.27604312059530933
AP,2010-11-01,19,-0.2931123937832032
AP,2010-12-01,20,-0.31233990044740256
AP,2011-01-01,21,-0.31685541879896295
AP,2011-02-01,22,-0.32865060233899257
AP,2011-03-01,23,-0.32595921758195967
BA,2006-09-01,-31,-0.1662971450321269
BA,2006-10-01,-30,-0.17605152307083216
BA,2006-11-01,-29,-0.19250663453344163
BA,2006-12-01,-28,-0.1797549479648337
BA,2007-01-01,-27,-0.18832297756385685
BA,2007-02-01,-26,-0.18966248426707732
BA,2007-03-01,-25,-0.18714664860614683
BA,2007-04-01,-24,-0.18412551279250344
BA,2007-05-01,-23,-0.15260471545669052
BA,2007-06-01,-22,-0.14688894205852154
BA,2007-07-01,-21,-0.1489912108593927
BA,2007-08-01,-20,-0.1520157704793066
BA,2007-09-01,-19,-0.173036873203686
BA,2007-10-01,-18,-0.1732057122884072
BA,2007-11-01,-17,-0.17568744696334182
BA,2007-12-01,-16,-0.19023712178329522
BA,2008-01-01,-15,-0.19249488440065043
BA,2008-02-01,-14,-0.18685087817646284
BA,2008-03-01,-13,-0.19073875863361334
BA,2008-04-01,-12,-0.20647676857986408
BA,2008-05-01,-11,-0.20577389777979693
BA,2008-06-01,-10,-0.20451858493991892
BA,2008-07-01,-9,-0.20998469091504557
