dropped_donor,period_date,event_time,loo_gap
AC,2006-09-01,-31,-0.12717785192142772
AC,2006-10-01,-30,-0.12401065859383564
AC,2006-11-01,-29,-0.12457908315687671
AC,2006-12-01,-28,-0.12456730460326204
AC,2007-01-01,-27,-0.12213047480945916
AC,2007-02-01,-26,-0.12009041280903121
AC,2007-03-01,-25,-0.10954885011669013
AC,2007-04-01,-24,-0.10592413406081436
AC,2007-05-01,-23,-0.10339509730965846
AC,2007-06-01,-22,-0.10057589848327231
AC,2007-07-01,-21,-0.09902972775587271
AC,2007-08-01,-20,-0.09778710396487034
AC,2007-09-01,-19,-0.09655461304857971
AC,2007-10-01,-18,-0.09476084014224329
AC,2007-11-01,-17,-0.09109432241547166
AC,2007-12-01,-16,-0.07765598904928739
AC,2008-01-01,-15,-0.07523235374753234
AC,2008-02-01,-14,-0.07468197073665905
AC,2008-03-01,-13,-0.0736153731779563
AC,2008-04-01,-12,-0.0672561537498142
AC,2008-05-01,-11,-0.06836902069339956
AC,2008-06-01,-10,-0.08057390876623227
AC,2008-07-01,-9,-0.07556793013183416
AC,2008-08-01,-8,-0.07051972174650434
AC,2008-09-01,-7,-0.06640676380682553
AC,2008-10-01,-6,-0.06762674231871557
AC,2008-11-01,-5,-0.06157616603548188
AC,2008-12-01,-4,-0.05769949636241556
AC,2009-01-01,-3,-0.058085547699112894
AC,2009-02-01,-2,-0.05621485581533392
AC,2009-03-01,-1,-0.0646602355748307
AC,2009-04-01,0,-0.06923027832988726
AC,2009-05-01,1,-0.07756615037304027
AC,2009-06-01,2,-0.07721405476332421
AC,2009-07-01,3,-0.08247326318790282
AC,2009-08-01,4,-0.08619437665801133
AC,2009-09-01,5,-0.08702277310287876
AC,2009-10-01,6,-0.09162624792281271
AC,2009-11-01,7,-0.09338621842305095
AC,2009-12-01,8,-0.10225463128699275
AC,2010-01-01,9,-0.09603884375691951
AC,2010-02-01,10,-0.09870478945815364
AC,2010-03-01,11,-0.09445146577462005
AC,2010-04-01,12,-0.09098588725624612
AC,2010-05-01,13,-0.08092713547644337
AC,2010-06-01,14,-0.06544083564417225
AC,2010-07-01,15,-0.05904927969147966
AC,2010-08-01,16,-0.049165704607158744
AC,2010-09-01,17,-0.041191319025303486
AC,2010-10-01,18,-0.034465875909081234
AC,2010-11-01,19,-0.03139893192379706
AC,2010-12-01,20,-0.03596784499757444
AC,2011-01-01,21,-0.04364871060781894
AC,2011-02-01,22,-0.0424906818451678
AC,2011-03-01,23,-0.0386889281799947
AL,2006-09-01,-31,-0.12878054510888015
AL,2006-10-01,-30,-0.12059286879156295
AL,2006-11-01,-29,-0.11685541166796698
AL,2006-12-01,-28,-0.11245631382403731
AL,2007-01-01,-27,-0.1076489615827394
AL,2007-02-01,-26,-0.10585992048695747
AL,2007-03-01,-25,-0.0952621583521176
AL,2007-04-01,-24,-0.09319816240912449
AL,2007-05-01,-23,-0.091466782633149
AL,2007-06-01,-22,-0.09029727996644032
AL,2007-07-01,-21,-0.08888635963957947
AL,2007-08-01,-20,-0.08772747181449647
AL,2007-09-01,-19,-0.08635330336760427
AL,2007-10-01,-18,-0.08586119737493059
AL,2007-11-01,-17,-0.08258312340898799
AL,2007-12-01,-16,-0.06888148892636936
AL,2008-01-01,-15,-0.06802025565081493
AL,2008-02-01,-14,-0.06744428653499579
AL,2008-03-01,-13,-0.06587609799208138
AL,2008-04-01,-12,-0.05887879360922188
AL,2008-05-01,-11,-0.05966305100989722
AL,2008-06-01,-10,-0.07180097800789031
AL,2008-07-01,-9,-0.06635244600106738
AL,2008-08-01,-8,-0.06146318575558052
AL,2008-09-01,-7,-0.058535361698920596
