dropped_donor,period_date,event_time,loo_gap
AC,2006-07-01,-31,-0.024607811331306628
AC,2006-08-01,-30,-0.04985292191268975
AC,2006-09-01,-29,-0.018916635978198926
AC,2006-10-01,-28,-0.036193920351014874
AC,2006-11-01,-27,-0.06445635467624378
AC,2006-12-01,-26,-0.05074449149095095
AC,2007-01-01,-25,-0.059920428789941305
AC,2007-02-01,-24,-0.0601247323716505
AC,2007-03-01,-23,-0.05737569960174049
AC,2007-04-01,-22,-0.060028774072615754
AC,2007-05-01,-21,-0.036343067735978174
AC,2007-06-01,-20,-0.044255185105564365
AC,2007-07-01,-19,-0.032204248186267215
AC,2007-08-01,-18,-0.0401642313319206
AC,2007-09-01,-17,-0.05041038771312323
AC,2007-10-01,-16,-0.040111416242193165
AC,2007-11-01,-15,-0.05267292293760484
AC,2007-12-01,-14,-0.04243650604836002
AC,2008-01-01,-13,-0.05281295461590929
AC,2008-02-01,-12,-0.04923774319259433
AC,2008-03-01,-11,-0.039020093268288925
AC,2008-04-01,-10,-0.042417854628744145
AC,2008-05-01,-9,-0.03055984009342083
AC,2008-06-01,-8,-0.04457525156928188
AC,2008-07-01,-7,-0.04953915140583032
AC,2008-08-01,-6,-0.05948454722421204
AC,2008-09-01,-5,-0.07968950909845685
AC,2008-10-01,-4,-0.09004280361680106
AC,2008-11-01,-3,-0.09876400103985716
AC,2008-12-01,-2,-0.09906534761730423
AC,2009-01-01,-1,-0.09188935008077603
AC,2009-02-01,0,-0.0974422456690478
AC,2009-03-01,1,-0.07992272479311247
AC,2009-04-01,2,-0.08826357224803782
AC,2009-05-01,3,-0.08972084017171955
AC,2009-06-01,4,-0.091543662025102
AC,2009-07-01,5,-0.08987392587715437
AC,2009-08-01,6,-0.08385427613007579
AC,2009-09-01,7,-0.10504016780830128
AC,2009-10-01,8,-0.10040162522237583
AC,2009-11-01,9,-0.09236132151039644
AC,2009-12-01,10,-0.09683068988227284
AC,2010-01-01,11,-0.10314127202036794
AC,2010-02-01,12,-0.1068150108080621
AC,2010-03-01,13,-0.0936942752149239
AC,2010-04-01,14,-0.08104006316500634
AC,2010-05-01,15,-0.0888657961987338
AC,2010-06-01,16,-0.07789293871743741
AC,2010-07-01,17,-0.0689657347319157
AC,2010-08-01,18,-0.07162781668075802
AC,2010-09-01,19,-0.07927527549886992
AC,2010-10-01,20,-0.0931675120853308
AC,2010-11-01,21,-0.0911834189435865
AC,2010-12-01,22,-0.12123303460700097
AC,2011-01-01,23,-0.11887053286835592
AL,2006-07-01,-31,-0.021695109515342814
AL,2006-08-01,-30,-0.04044739417376597
AL,2006-09-01,-29,-0.009284990390710846
