dropped_donor,period_date,event_time,loo_gap
AC,2006-07-01,-31,-0.06309490358908798
AC,2006-08-01,-30,-0.06634160363430164
AC,2006-09-01,-29,-0.07562953336314315
AC,2006-10-01,-28,-0.07271065356527018
AC,2006-11-01,-27,-0.07269613655683038
AC,2006-12-01,-26,-0.07024711813140438
AC,2007-01-01,-25,-0.06640267566093705
AC,2007-02-01,-24,-0.06070028941266692
AC,2007-03-01,-23,-0.060282922918206694
AC,2007-04-01,-22,-0.06364295212617677
AC,2007-05-01,-21,-0.0638954054316212
AC,2007-06-01,-20,-0.067275829197464
AC,2007-07-01,-19,-0.07196894171312973
AC,2007-08-01,-18,-0.0733410394421421
AC,2007-09-01,-17,-0.073390135697049
AC,2007-10-01,-16,-0.0724652191841546
AC,2007-11-01,-15,-0.06924188270639409
AC,2007-12-01,-14,-0.06341615607148476
AC,2008-01-01,-13,-0.049274765924955055
AC,2008-02-01,-12,-0.049538357621383255
AC,2008-03-01,-11,-0.04993564423466612
AC,2008-04-01,-10,-0.04963609292021509
AC,2008-05-01,-9,-0.0517115220777038
AC,2008-06-01,-8,-0.05748884729591186
AC,2008-07-01,-7,-0.0684288066889831
AC,2008-08-01,-6,-0.05260871216813534
AC,2008-09-01,-5,-0.030855938858225684
AC,2008-10-01,-4,-0.0341009210828247
AC,2008-11-01,-3,-0.03526584399768673
AC,2008-12-01,-2,-0.035145853199275656
AC,2009-01-01,-1,-0.04305687212851961
AC,2009-02-01,0,-0.0642346023688285
AC,2009-03-01,1,-0.08969234664720904
AC,2009-04-01,2,-0.09085109175100925
AC,2009-05-01,3,-0.09519536382749205
AC,2009-06-01,4,-0.10115862544665344
AC,2009-07-01,5,-0.10603093024284327
AC,2009-08-01,6,-0.11514969932476848
AC,2009-09-01,7,-0.12338629888779007
AC,2009-10-01,8,-0.12919546333074194
AC,2009-11-01,9,-0.13674856751576225
AC,2009-12-01,10,-0.14187916240405585
AC,2010-01-01,11,-0.13621928308113596
AC,2010-02-01,12,-0.12484535010286812
AC,2010-03-01,13,-0.11547749956640185
AC,2010-04-01,14,-0.10875003926327675
AC,2010-05-01,15,-0.09113445512705098
AC,2010-06-01,16,-0.0708788356831409
AC,2010-07-01,17,-0.054151188203539036
AC,2010-08-01,18,-0.030052221149238
AC,2010-09-01,19,-0.017163273719281946
AC,2010-10-01,20,-0.010257226433027178
AC,2010-11-01,21,-0.007619604606415642
AC,2010-12-01,22,-0.012704746221563035
AC,2011-01-01,23,-0.01431538578342817
AL,2006-07-01,-31,-0.06374262532100472
AL,2006-08-01,-30,-0.06433452682229257
AL,2006-09-01,-29,-0.07495032960906123
AL,2006-10-01,-28,-0.07016132947132192
AL,2006-11-01,-27,-0.06877758806077328
AL,2006-12-01,-26,-0.06573986045160751
AL,2007-01-01,-25,-0.06386535178130437
AL,2007-02-01,-24,-0.05953711290776109
AL,2007-03-01,-23,-0.05998873136125571
AL,2007-04-01,-22,-0.06343517314290992
AL,2007-05-01,-21,-0.06446545226285405
AL,2007-06-01,-20,-0.06904410601266431
AL,2007-07-01,-19,-0.07293336981946386
AL,2007-08-01,-18,-0.07507217608169281
AL,2007-09-01,-17,-0.07293581299761076
AL,2007-10-01,-16,-0.07425810636416053
AL,2007-11-01,-15,-0.07153075442552304
AL,2007-12-01,-14,-0.06440401310751653
AL,2008-01-01,-13,-0.050202342662598376
AL,2008-02-01,-12,-0.04866451928105242
AL,2008-03-01,-11,-0.048798133558441315
AL,2008-04-01,-10,-0.047306079699981574
AL,2008-05-01,-9,-0.05029826528333725
AL,2008-06-01,-8,-0.056405944860093093
AL,2008-07-01,-7,-0.06799350091188039
AL,2008-08-01,-6,-0.05466733492580467
AL,2008-09-01,-5,-0.035102051840503634
AL,2008-10-01,-4,-0.037713823502086186
AL,2008-11-01,-3,-0.03601510626549853
AL,2008-12-01,-2,-0.03727708634709437
AL,2009-01-01,-1,-0.04458231181576533
AL,2009-02-01,0,-0.06327059744406416
AL,2009-03-01,1,-0.0863037826412052
AL,2009-04-01,2,-0.08665566577067452
AL,2009-05-01,3,-0.09266529398973233
AL,2009-06-01,4,-0.09606405040855392
AL,2009-07-01,5,-0.09788288053233707
AL,2009-08-01,6,-0.10559174503418589
AL,2009-09-01,7,-0.113761442126326
AL,2009-10-01,8,-0.12162348018644398
AL,2009-11-01,9,-0.12662101350698052
AL,2009-12-01,10,-0.13205625379005337
AL,2010-01-01,11,-0.1302789894497307
AL,2010-02-01,12,-0.12330290783616249
AL,2010-03-01,13,-0.11622617896105503
AL,2010-04-01,14,-0.11060898416833354
AL,2010-05-01,15,-0.09728078714588939
AL,2010-06-01,16,-0.08155219246416223
AL,2010-07-01,17,-0.06660730989829045
AL,2010-08-01,18,-0.04242455030548342
AL,2010-09-01,19,-0.030558040715501278
AL,2010-10-01,20,-0.024880134218767225
AL,2010-11-01,21,-0.02484995309023308
AL,2010-12-01,22,-0.029954196117489396
AL,2011-01-01,23,-0.03364945779983053
AM,2006-07-01,-31,-0.0628406307431919
AM,2006-08-01,-30,-0.06580827406256828
AM,2006-09-01,-29,-0.07479750650476369
AM,2006-10-01,-28,-0.07177924599777974
AM,2006-11-01,-27,-0.07163874749307997
AM,2006-12-01,-26,-0.06912428935058657
AM,2007-01-01,-25,-0.06553589329143517
AM,2007-02-01,-24,-0.06002362429609498
AM,2007-03-01,-23,-0.059868991202371546
AM,2007-04-01,-22,-0.06349931491309313
AM,2007-05-01,-21,-0.06418048452791503
AM,2007-06-01,-20,-0.06815603673863002
AM,2007-07-01,-19,-0.07320272574051234
AM,2007-08-01,-18,-0.0750260688941724
AM,2007-09-01,-17,-0.07554418514991657
AM,2007-10-01,-16,-0.07493595618881255
AM,2007-11-01,-15,-0.07186499047442396
AM,2007-12-01,-14,-0.066284541414392
AM,2008-01-01,-13,-0.052199557042610145
AM,2008-02-01,-12,-0.05231245063621692
AM,2008-03-01,-11,-0.05266832377890651
AM,2008-04-01,-10,-0.05246689220517542
AM,2008-05-01,-9,-0.054278481741324214
AM,2008-06-01,-8,-0.059703650397624486
AM,2008-07-01,-7,-0.07055633377661152
AM,2008-08-01,-6,-0.05467336762042585
AM,2008-09-01,-5,-0.03278372652225592
AM,2008-10-01,-4,-0.03570064696728359
AM,2008-11-01,-3,-0.03650769516472163
AM,2008-12-01,-2,-0.03633226472196416
AM,2009-01-01,-1,-0.04391462377838007
AM,2009-02-01,0,-0.06474130580256698
AM,2009-03-01,1,-0.08978340141576258
AM,2009-04-01,2,-0.09038014646521741
AM,2009-05-01,3,-0.09447070980922412
AM,2009-06-01,4,-0.09976830036050721
AM,2009-07-01,5,-0.10407786260440588
AM,2009-08-01,6,-0.1129802002180682
AM,2009-09-01,7,-0.12129676092649433
AM,2009-10-01,8,-0.1272728474970446
AM,2009-11-01,9,-0.13494623568701591
AM,2009-12-01,10,-0.14007642792086195
AM,2010-01-01,11,-0.1348776007415209
AM,2010-02-01,12,-0.12375603102492416
AM,2010-03-01,13,-0.11441647443805714
