dropped_donor,period_date,event_time,loo_gap
AC,1999-06-01,-29,-0.06516003692787553
AC,1999-07-01,-28,-0.06277797167943344
AC,1999-08-01,-27,-0.06931954604815527
AC,1999-09-01,-26,-0.0419032465851954
AC,1999-10-01,-25,-0.07537999524471406
AC,1999-11-01,-24,-0.06656292260980745
AC,1999-12-01,-23,-0.08691730257557762
AC,2000-01-01,-22,-0.08264286572928459
AC,2000-02-01,-21,-0.09071152766691881
AC,2000-03-01,-20,-0.11346136294681308
AC,2000-04-01,-19,-0.10526170469868745
AC,2000-05-01,-18,-0.10148315208878689
AC,2000-06-01,-17,-0.10365764794412158
AC,2000-07-01,-16,-0.13347951099372857
AC,2000-08-01,-15,-0.13214695341435068
AC,2000-09-01,-14,-0.11933658164785932
AC,2000-10-01,-13,-0.11631638662406107
AC,2000-11-01,-12,-0.12420310069214313
AC,2000-12-01,-11,-0.11010651922022863
AC,2001-01-01,-10,-0.10286829662535446
AC,2001-02-01,-9,-0.12162114895399156
AC,2001-03-01,-8,-0.14557601863773773
AC,2001-04-01,-7,-0.14431715932280564
AC,2001-05-01,-6,-0.14497413712900187
AC,2001-06-01,-5,-0.17273186687925968
AC,2001-07-01,-4,-0.1711257735008056
AC,2001-08-01,-3,-0.1805549300494418
AC,2001-09-01,-2,-0.1553074873491811
AC,2001-10-01,-1,-0.18769900362681557
AC,2001-11-01,0,-0.19942479984675643
AC,2001-12-01,1,-0.22109700256942677
AC,2002-01-01,2,-0.20973737614771348
AC,2002-02-01,3,-0.18711313413871888
AC,2002-03-01,4,-0.1826711856958907
AC,2002-04-01,5,-0.16568107611608163
AC,2002-05-01,6,-0.1703849471941652
AC,2002-06-01,7,-0.14226432202354555
AC,2002-07-01,8,-0.1471903795179541
AC,2002-08-01,9,-0.16577922165647774
AC,2002-09-01,10,-0.1921295910457772
AC,2002-10-01,11,-0.20465246924883385
AC,2002-11-01,12,-0.2047463554999931
AC,2002-12-01,13,-0.21194241476604248
AC,2003-01-01,14,-0.20439666198407203
AC,2003-02-01,15,-0.2122498931116672
AC,2003-03-01,16,-0.20048362790884866
AC,2003-04-01,17,-0.1988655363915557
AC,2003-05-01,18,-0.194715394578858
AC,2003-06-01,19,-0.17788237972056642
AC,2003-07-01,20,-0.1968447056826701
AC,2003-08-01,21,-0.1933326472092194
AC,2003-09-01,22,-0.20619866501609163
AC,2003-10-01,23,-0.1840119190031606
AL,1999-06-01,-29,-0.027963894467773365
AL,1999-07-01,-28,-0.02923784229034254
AL,1999-08-01,-27,-0.04279351859629177
AL,1999-09-01,-26,-0.011027468409231744
AL,1999-10-01,-25,-0.05605271408602075
AL,1999-11-01,-24,-0.04554775479733841
AL,1999-12-01,-23,-0.07408222564062417
AL,2000-01-01,-22,-0.06728064735757933
AL,2000-02-01,-21,-0.07330177138004235
AL,2000-03-01,-20,-0.0991633447239062
AL,2000-04-01,-19,-0.07871775291087424
AL,2000-05-01,-18,-0.07238265776861397
AL,2000-06-01,-17,-0.06951617791482256
AL,2000-07-01,-16,-0.08855061796297115
AL,2000-08-01,-15,-0.09243708240919712
AL,2000-09-01,-14,-0.07718027418487683
AL,2000-10-01,-13,-0.08148305175320036
AL,2000-11-01,-12,-0.09506158076439508
AL,2000-12-01,-11,-0.08068700916378191
AL,2001-01-01,-10,-0.08504124127780344
AL,2001-02-01,-9,-0.09836997274281245
AL,2001-03-01,-8,-0.12256963963509815
AL,2001-04-01,-7,-0.12041977673277593
AL,2001-05-01,-6,-0.11663186546791149
AL,2001-06-01,-5,-0.14944257070976796
AL,2001-07-01,-4,-0.1489198803760079
AL,2001-08-01,-3,-0.16267900888960707
AL,2001-09-01,-2,-0.13721115455509914
AL,2001-10-01,-1,-0.17137791869838104
AL,2001-11-01,0,-0.18020948702159778
AL,2001-12-01,1,-0.20013724149232726
AL,2002-01-01,2,-0.18524291362612288
AL,2002-02-01,3,-0.15721693496456712
AL,2002-03-01,4,-0.15223884113012875
AL,2002-04-01,5,-0.13317554675885823
AL,2002-05-01,6,-0.140146696608058
AL,2002-06-01,7,-0.10573503668683504
AL,2002-07-01,8,-0.10932290935890254
AL,2002-08-01,9,-0.1343138644124373
AL,2002-09-01,10,-0.15978380093854572
AL,2002-10-01,11,-0.17873252582200383
AL,2002-11-01,12,-0.18316088701703137
AL,2002-12-01,13,-0.19546924529942356
AL,2003-01-01,14,-0.18563353275450378
AL,2003-02-01,15,-0.1899289400180173
AL,2003-03-01,16,-0.17084793723248737
AL,2003-04-01,17,-0.15997216237134548
AL,2003-05-01,18,-0.1475598772418154
AL,2003-06-01,19,-0.1228681864724619
AL,2003-07-01,20,-0.14619302988840932
AL,2003-08-01,21,-0.14571337882980107
AL,2003-09-01,22,-0.16285195106928363
AL,2003-10-01,23,-0.14040830019785755
AM,1999-06-01,-29,-0.04376197259269343
AM,1999-07-01,-28,-0.041340532833087806
AM,1999-08-01,-27,-0.048321509579730026
AM,1999-09-01,-26,-0.018875852778902136
AM,1999-10-01,-25,-0.05458531951355994
AM,1999-11-01,-24,-0.04498327420280823
AM,1999-12-01,-23,-0.06587117310296531
AM,2000-01-01,-22,-0.061568980299708365
AM,2000-02-01,-21,-0.07028258303498269
AM,2000-03-01,-20,-0.09450688803007967
AM,2000-04-01,-19,-0.08412386529422378
AM,2000-05-01,-18,-0.08030558367131224
AM,2000-06-01,-17,-0.08278082069742787
AM,2000-07-01,-16,-0.11204846306104077
AM,2000-08-01,-15,-0.11106028941017776
AM,2000-09-01,-14,-0.09765228325799402
AM,2000-10-01,-13,-0.09560017078800165
AM,2000-11-01,-12,-0.10423118064621217
AM,2000-12-01,-11,-0.08965397092029104
AM,2001-01-01,-10,-0.084116553893125
AM,2001-02-01,-9,-0.10226937066162911
AM,2001-03-01,-8,-0.12664510604050427
AM,2001-04-01,-7,-0.12554687017148503
AM,2001-05-01,-6,-0.12583632532435285
AM,2001-06-01,-5,-0.154668014249423
AM,2001-07-01,-4,-0.15212430785363562
AM,2001-08-01,-3,-0.16211596501808057
AM,2001-09-01,-2,-0.13625271116449156
AM,2001-10-01,-1,-0.16922489513587546
AM,2001-11-01,0,-0.18043396637838427
AM,2001-12-01,1,-0.20162159111974187
AM,2002-01-01,2,-0.19043441613154144
AM,2002-02-01,3,-0.16703812193106327
AM,2002-03-01,4,-0.1631100498430662
AM,2002-04-01,5,-0.14549243013330404
AM,2002-05-01,6,-0.15052098071244568
AM,2002-06-01,7,-0.12125224350838959
AM,2002-07-01,8,-0.12505905927213767
AM,2002-08-01,9,-0.14487421312199622
AM,2002-09-01,10,-0.17054344576640545
AM,2002-10-01,11,-0.1849307048963862
AM,2002-11-01,12,-0.1853757822827804
AM,2002-12-01,13,-0.1928819054392772
AM,2003-01-01,14,-0.18482629367956793
AM,2003-02-01,15,-0.1923090177611293
AM,2003-03-01,16,-0.17957200152368724
AM,2003-04-01,17,-0.17604973468775054
AM,2003-05-01,18,-0.17080250868643088
AM,2003-06-01,19,-0.15271920203394007
AM,2003-07-01,20,-0.17284354167358895
AM,2003-08-01,21,-0.16847107324409638
AM,2003-09-01,22,-0.18177497648734153
AM,2003-10-01,23,-0.15901486559778988
AP,1999-06-01,-29,-0.04414265527847849
AP,1999-07-01,-28,-0.041678192806106296
AP,1999-08-01,-27,-0.04858129978037251
AP,1999-09-01,-26,-0.01919157785379877
AP,1999-10-01,-25,-0.054748146549734145
AP,1999-11-01,-24,-0.0451722419393219
AP,1999-12-01,-23,-0.065927088791498
AP,2000-01-01,-22,-0.06166169577256131
AP,2000-02-01,-21,-0.07040356373503176
AP,2000-03-01,-20,-0.09459543674273352
AP,2000-04-01,-19,-0.08437789423908981
AP,2000-05-01,-18,-0.08059824188192621
AP,2000-06-01,-17,-0.08316564286800876
AP,2000-07-01,-16,-0.11259438747084793
AP,2000-08-01,-15,-0.1115394012803641
AP,2000-09-01,-14,-0.098177453472303
AP,2000-10-01,-13,-0.09602836305271367
AP,2000-11-01,-12,-0.10458386299623434
AP,2000-12-01,-11,-0.09000226422354629
AP,2001-01-01,-10,-0.08429724525924964
