dropped_donor,period_date,event_time,loo_gap
AC,2000-06-01,-17,-0.0057494169595662115
AC,2000-07-01,-16,-2.0828992652033307e-4
AC,2000-08-01,-15,-0.004864247637182295
AC,2000-09-01,-14,4.2370341550590496e-4
AC,2000-10-01,-13,-0.0037663569280770304
AC,2000-11-01,-12,-0.006195714940779862
AC,2000-12-01,-11,-0.0065489764102188985
AC,2001-01-01,-10,-0.004821016045362114
AC,2001-02-01,-9,0.0025697534868456273
AC,2001-03-01,-8,0.007308776459984401
AC,2001-04-01,-7,0.0022757288012513754
AC,2001-05-01,-6,8.084360721154482e-4
AC,2001-06-01,-5,0.0050791195168296
AC,2001-07-01,-4,3.6401871278046727e-4
AC,2001-08-01,-3,0.0013231192432021643
AC,2001-09-01,-2,1.9750245329497318e-4
AC,2001-10-01,-1,0.007932648075381632
AC,2001-11-01,0,0.018814488159552667
AC,2001-12-01,1,0.021847119469608156
AC,2002-01-01,2,0.03794684335509624
AC,2002-02-01,3,0.047374372684275023
AC,2002-03-01,4,0.062359951938602
AC,2002-04-01,5,0.07194399379214955
AC,2002-05-01,6,0.08186922211623138
AC,2002-06-01,7,0.09320018095752935
AC,2002-07-01,8,0.09208543014238035
AC,2002-08-01,9,0.09921404728837802
AC,2002-09-01,10,0.10035233955325262
AC,2002-10-01,11,0.09667647619696451
AC,2002-11-01,12,0.11041187011147757
AC,2002-12-01,13,0.13173674860105322
AC,2003-01-01,14,0.16005970607029996
AC,2003-02-01,15,0.17766114673013034
AC,2003-03-01,16,0.18428626412958593
AC,2003-04-01,17,0.20340689680630497
AC,2003-05-01,18,0.20285142123188926
AC,2003-06-01,19,0.1894866758498055
AC,2003-07-01,20,0.17231286916699995
AC,2003-08-01,21,0.17035016502055056
AC,2003-09-01,22,0.18454575777927928
AC,2003-10-01,23,0.1882558600873936
AL,2000-06-01,-17,-8.700217620254413e-4
AL,2000-07-01,-16,0.005315936397712218
AL,2000-08-01,-15,0.001125531519327705
AL,2000-09-01,-14,0.00708014992948236
AL,2000-10-01,-13,0.0029319011467747735
AL,2000-11-01,-12,8.524305473063265e-4
AL,2000-12-01,-11,9.768939101961749e-4
AL,2001-01-01,-10,0.001594117386823246
AL,2001-02-01,-9,0.008027489493596995
AL,2001-03-01,-8,0.011763198205281267
AL,2001-04-01,-7,0.005685509901525609
AL,2001-05-01,-6,0.003894146978856927
AL,2001-06-01,-5,0.007826355876640712
AL,2001-07-01,-4,0.0025998171794090474
AL,2001-08-01,-3,0.0035814191539889073
AL,2001-09-01,-2,0.0021420892841939043
AL,2001-10-01,-1,0.009927129525342249
AL,2001-11-01,0,0.020552802510199086
AL,2001-12-01,1,0.023161504708921754
AL,2002-01-01,2,0.04012867674858933
