dropped_donor,period_date,event_time,loo_gap
AC,2018-01-01,-31,-0.058675022521953224
AC,2018-02-01,-30,-0.04641546376971206
AC,2018-03-01,-29,-0.040872314634618157
AC,2018-04-01,-28,-0.0408559498878045
AC,2018-05-01,-27,-0.027682080459050518
AC,2018-06-01,-26,-0.02853886779363979
AC,2018-07-01,-25,-0.0011354067558961844
AC,2018-08-01,-24,0.006973926068849501
AC,2018-09-01,-23,-0.02666548904889776
AC,2018-10-01,-22,-0.044410213049209446
AC,2018-11-01,-21,0.020754984671879306
AC,2018-12-01,-20,-0.021389119188603978
AC,2019-01-01,-19,-0.015157129913723644
AC,2019-02-01,-18,-0.015190567147339351
AC,2019-03-01,-17,0.0026127963511521912
AC,2019-04-01,-16,0.0266608353134421
AC,2019-05-01,-15,-0.04474244504404368
AC,2019-06-01,-14,-0.020426273432005537
AC,2019-07-01,-13,-0.060464514207852815
AC,2019-08-01,-12,-0.08187700505215112
AC,2019-09-01,-11,-0.07267112070693216
AC,2019-10-01,-10,-0.07740278441868753
AC,2019-11-01,-9,-0.09133177586087804
AC,2019-12-01,-8,-0.09524516972196295
AC,2020-01-01,-7,-0.07195705501052352
AC,2020-02-01,-6,-0.051236512375011145
AC,2020-03-01,-5,-0.046952039340322216
AC,2020-04-01,-4,-0.04312155897215142
AC,2020-05-01,-3,-0.033976265744683154
AC,2020-06-01,-2,-0.025716708809520483
AC,2020-07-01,-1,-0.05036762564114472
AC,2020-08-01,0,-0.07232656752404942
AC,2020-09-01,1,-0.08665150338441752
AC,2020-10-01,2,-0.03911833112776719
AC,2020-11-01,3,-0.0399227018142172
AC,2020-12-01,4,-0.02460690275772226
AC,2021-01-01,5,-0.019851024809729445
AC,2021-02-01,6,-0.013585051204260346
AC,2021-03-01,7,-0.013445751684324492
AC,2021-04-01,8,-0.0299748313756103
AC,2021-05-01,9,-0.012190303137524339
AC,2021-06-01,10,-0.030010406447773974
AC,2021-07-01,11,-0.05740141163319912
AC,2021-08-01,12,-0.06494449333320951
AC,2021-09-01,13,-0.05849952640338785
AC,2021-10-01,14,-0.0780295959744084
AC,2021-11-01,15,-0.09558961965075774
AC,2021-12-01,16,-0.10390246829550431
AC,2022-01-01,17,-0.07603627699339022
AC,2022-02-01,18,-0.07664449793435946
