pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,0.12163622188037518,0.889323850268981,7.311340623055513
AL,0.01874272766523533,0.0529099322289757,2.82295795862813
AM,0.02117363593121451,0.0326856853464674,1.5436973343950646
AP,0.10666524361589903,0.5040856915741557,4.725866406768502
BA,0.019833024032842046,0.08767948271936828,4.4208831983553
CE,0.014330298091278813,0.06266341377702464,4.372792064608941
DF,0.028485184358485377,0.16688101128447053,5.858519614416987
ES,0.014390289047805472,0.1813353350157088,12.601229510630473
GO,0.015209583460984758,0.10884985211576055,7.15666227119102
MA,0.013823098273662142,0.05230295947179504,3.7837363546384206
MG,0.014622935045458347,0.054426524943235875,3.721997312717319
MS,0.011807938686708801,0.12185047013846644,10.3193684665405
MT,0.025548422676924414,0.10767069245851207,4.214377295227752
PA,0.016651721286620774,0.045411913722047795,2.727160330177703
PB,0.019336329295252506,0.03704131952608926,1.915633466957129
PE,0.01696889209625297,0.02575293387024915,1.5176555855367746
PR,0.015852174809518584,0.0602413481906262,3.800194542041874
RJ,0.02685905326483549,0.12897810806977802,4.802034784995167
RN,0.009464078066780209,0.05288458221142884,5.587927512671163
RO,0.06763027327941637,0.1760514409471894,2.6031454910706624
RS,0.027674328512596817,0.07796371436660962,2.8171854045572253
SC,0.017347086908461214,0.06685787489710311,3.8541269349663847
SE,0.01714440533646643,0.03939576062777585,2.29787851223865
SP,0.018372851176881772,0.18493898605255654,10.065883856135619
TO,0.03192872733438776,0.0763394804634707,2.3909340220163373
