dropped_donor,period_date,event_time,loo_gap
AC,2002-04-01,-31,-0.08523808600588367
AC,2002-05-01,-30,-0.1075691939229757
AC,2002-06-01,-29,-0.13113340526951012
AC,2002-07-01,-28,-0.11894023334533577
AC,2002-08-01,-27,-0.12389473560814768
AC,2002-09-01,-26,-0.12833440025513232
AC,2002-10-01,-25,-0.11934963508216478
AC,2002-11-01,-24,-0.10898028962985284
AC,2002-12-01,-23,-0.10480131504231904
AC,2003-01-01,-22,-0.12182750267007858
AC,2003-02-01,-21,-0.12664057052545497
AC,2003-03-01,-20,-0.12688983874548887
AC,2003-04-01,-19,-0.14145846647267746
AC,2003-05-01,-18,-0.1319598375216371
AC,2003-06-01,-17,-0.126658887591383
AC,2003-07-01,-16,-0.15722755145031941
AC,2003-08-01,-15,-0.17304056232149145
AC,2003-09-01,-14,-0.1891345844940564
AC,2003-10-01,-13,-0.19518144207886667
AC,2003-11-01,-12,-0.23421940936103747
AC,2003-12-01,-11,-0.2556130768631171
AC,2004-01-01,-10,-0.2666872430811318
AC,2004-02-01,-9,-0.2799280042675383
AC,2004-03-01,-8,-0.2966844280457779
AC,2004-04-01,-7,-0.3136206051414874
AC,2004-05-01,-6,-0.3192753151073391
AC,2004-06-01,-5,-0.3266549504112173
AC,2004-07-01,-4,-0.3129951320773108
AC,2004-08-01,-3,-0.2927049360843421
AC,2004-09-01,-2,-0.2909686173250927
AC,2004-10-01,-1,-0.3025007508099087
AC,2004-11-01,0,-0.30437144815577444
AC,2004-12-01,1,-0.32395066971898423
AC,2005-01-01,2,-0.34809689177853054
AC,2005-02-01,3,-0.3933202875123185
AC,2005-03-01,4,-0.4136214630454229
AC,2005-04-01,5,-0.41899964638506493
AC,2005-05-01,6,-0.43987897233696716
AC,2005-06-01,7,-0.4594325184612482
AC,2005-07-01,8,-0.4834987847408385
AC,2005-08-01,9,-0.49013443593461137
AC,2005-09-01,10,-0.49375806161263514
AC,2005-10-01,11,-0.48829944879974896
AC,2005-11-01,12,-0.47983285644097773
AC,2005-12-01,13,-0.4507774952541377
AC,2006-01-01,14,-0.4320426623570124
AC,2006-02-01,15,-0.40680656581464936
