pseudo_treated_state,period_date,event_time,augmented_gap
AC,2016-05-01,-31,-0.013200168969939696
AC,2016-06-01,-30,-0.035294478814082986
AC,2016-07-01,-29,0.026196011460506874
AC,2016-08-01,-28,-0.05382300596000089
AC,2016-09-01,-27,-0.07615916752878515
AC,2016-10-01,-26,-0.052770528974414255
AC,2016-11-01,-25,-0.01948935584825584
AC,2016-12-01,-24,0.07149926931463124
AC,2017-01-01,-23,0.0827178285888186
AC,2017-02-01,-22,-0.07343843443642406
AC,2017-03-01,-21,0.03644833020804494
AC,2017-04-01,-20,0.10228167369715813
AC,2017-05-01,-19,0.051787786608660014
AC,2017-06-01,-18,0.001714958674948086
AC,2017-07-01,-17,0.060722955840947
AC,2017-08-01,-16,0.09521932828491941
AC,2017-09-01,-15,-0.04569232802968326
AC,2017-10-01,-14,-0.013921312339894243
AC,2017-11-01,-13,-0.011155777775766929
AC,2017-12-01,-12,0.00934885285479048
AC,2018-01-01,-11,0.022694226702552278
AC,2018-02-01,-10,-0.04180711192891007
AC,2018-03-01,-9,-0.012768375235393314
AC,2018-04-01,-8,0.020191501167644788
AC,2018-05-01,-7,0.003634924647368365
AC,2018-06-01,-6,-0.0075652811144610865
AC,2018-07-01,-5,0.007810017202093178
AC,2018-08-01,-4,-0.004685125402508206
AC,2018-09-01,-3,-0.008931539217743811
AC,2018-10-01,-2,0.0013554822558123902
AC,2018-11-01,-1,-6.052900569439856e-4
AC,2018-12-01,0,0.15147790287217067
AC,2019-01-01,1,0.19446990724986524
AC,2019-02-01,2,0.18842609124659493
AC,2019-03-01,3,0.18879796962643258
AC,2019-04-01,4,0.20046694471326099
AC,2019-05-01,5,0.1909681816295432
AC,2019-06-01,6,0.005686052364207939
AC,2019-07-01,7,0.0765602325130681
AC,2019-08-01,8,0.04260755245033021
AC,2019-09-01,9,-0.14443572902214363
AC,2019-10-01,10,0.01988934034187917
AC,2019-11-01,11,-0.22182943841913794
AC,2019-12-01,12,0.031608571160592014
AC,2020-01-01,13,-0.07016773808766619
AC,2020-02-01,14,-0.07696346804823406
AC,2020-03-01,15,-0.054826255320169714
AC,2020-04-01,16,-0.04164950078877894
AC,2020-05-01,17,-0.030897870007262185
AC,2020-06-01,18,-0.09305007937960585
AC,2020-07-01,19,-0.10467832108848185
AC,2020-08-01,20,-0.1214040115649535
AC,2020-09-01,21,-0.13975316597418352
AC,2020-10-01,22,-0.19547940154726096
AC,2020-11-01,23,-0.2210798223818502
AL,2016-05-01,-31,0.023549980259876868
AL,2016-06-01,-30,-0.009163747862676708
AL,2016-07-01,-29,0.002453046681215376
AL,2016-08-01,-28,0.002108250089711383
AL,2016-09-01,-27,-0.0014734771025644022
AL,2016-10-01,-26,0.019613830081811834
AL,2016-11-01,-25,-0.01381497737354831
AL,2016-12-01,-24,0.00850145500642352
AL,2017-01-01,-23,-0.009099951245310045
AL,2017-02-01,-22,-0.04640049962457571
AL,2017-03-01,-21,-0.0026836657523352514
AL,2017-04-01,-20,-0.008530536017064883
AL,2017-05-01,-19,0.0250484506486206
AL,2017-06-01,-18,-0.02254269609031745
AL,2017-07-01,-17,-2.6478256889905794e-4
AL,2017-08-01,-16,-0.016760533969366165
AL,2017-09-01,-15,-0.013998099400555297
AL,2017-10-01,-14,-0.007688240076639374
AL,2017-11-01,-13,-0.014965833359079639
AL,2017-12-01,-12,0.00459872315702281
AL,2018-01-01,-11,0.01827907063866263
AL,2018-02-01,-10,0.026290849911788428
AL,2018-03-01,-9,0.02634886291252858
AL,2018-04-01,-8,0.00433521971099271
AL,2018-05-01,-7,0.011463170242170584
AL,2018-06-01,-6,0.0041105909030214605
AL,2018-07-01,-5,0.016125792369772185
AL,2018-08-01,-4,-0.008944471484164218
AL,2018-09-01,-3,0.00442715155437412
AL,2018-10-01,-2,-0.0023406827387946194
AL,2018-11-01,-1,0.01309703359660297
AL,2018-12-01,0,0.11463329527640909
AL,2019-01-01,1,0.09499889936918393
AL,2019-02-01,2,0.111169712577456
AL,2019-03-01,3,0.12925094648888802
AL,2019-04-01,4,0.09725966143890119
AL,2019-05-01,5,0.006978808925990343
AL,2019-06-01,6,-0.04245964324321161
AL,2019-07-01,7,-0.037087248275248896
AL,2019-08-01,8,-0.065317890050685
AL,2019-09-01,9,-0.07923299400919515
AL,2019-10-01,10,-0.05807045313564174
AL,2019-11-01,11,-0.07228916213181424
AL,2019-12-01,12,-0.011059029961728584
AL,2020-01-01,13,0.001191462791991782
AL,2020-02-01,14,0.03909744602054399
AL,2020-03-01,15,0.05954233774709916
AL,2020-04-01,16,0.051188943268381415
AL,2020-05-01,17,0.06182866670234688
AL,2020-06-01,18,0.03924389742321566
AL,2020-07-01,19,0.04566592577255335
AL,2020-08-01,20,0.009252171671593423
AL,2020-09-01,21,-0.04073274650660519
AL,2020-10-01,22,-0.02943216796464032
AL,2020-11-01,23,-0.02054863966990883
AP,2016-05-01,-31,-0.015395047897013292
AP,2016-06-01,-30,0.014950875414822207
AP,2016-07-01,-29,-0.011131699307790122
AP,2016-08-01,-28,-0.0066528008178368125
AP,2016-09-01,-27,-0.010267829072398094
AP,2016-10-01,-26,0.008174220957406497
AP,2016-11-01,-25,0.0049589571033532565
AP,2016-12-01,-24,-0.04060570362201421
AP,2017-01-01,-23,0.00695665934385481
AP,2017-02-01,-22,0.04361194263852841
AP,2017-03-01,-21,-0.0181165926045459
AP,2017-04-01,-20,0.004378316147345629
AP,2017-05-01,-19,-0.02930128633447815
AP,2017-06-01,-18,0.013951210619058685
AP,2017-07-01,-17,0.024064759318081386
AP,2017-08-01,-16,-0.06721729198221738
AP,2017-09-01,-15,0.03156604030035659
AP,2017-10-01,-14,0.010442378863343649
AP,2017-11-01,-13,0.019580924410250056
AP,2017-12-01,-12,0.0039210528815916135
AP,2018-01-01,-11,-0.017471132260160616
AP,2018-02-01,-10,-0.0028210840243447777
