dropped_donor,period_date,event_time,loo_gap
AC,2016-05-01,-31,3.2551556408106412
AC,2016-06-01,-30,2.17283035232552
AC,2016-07-01,-29,2.602965230804976
AC,2016-08-01,-28,2.2542474270542785
AC,2016-09-01,-27,2.312777221179797
AC,2016-10-01,-26,1.808590670314
AC,2016-11-01,-25,1.0289302000031184
AC,2016-12-01,-24,1.548525144737082
AC,2017-01-01,-23,1.6350151576341758
AC,2017-02-01,-22,1.435407512084723
AC,2017-03-01,-21,0.38172116960684177
AC,2017-04-01,-20,1.1605477523273744
AC,2017-05-01,-19,1.5693875825037131
AC,2017-06-01,-18,1.4183445474096161
AC,2017-07-01,-17,0.6344945400370153
AC,2017-08-01,-16,1.3722078501462227
AC,2017-09-01,-15,2.6468927785438376
AC,2017-10-01,-14,2.3611192046926894
AC,2017-11-01,-13,2.1966278517637323
AC,2017-12-01,-12,2.7924551647785196
AC,2018-01-01,-11,2.266513697568426
AC,2018-02-01,-10,1.05346579375911
AC,2018-03-01,-9,-0.016057021357700246
AC,2018-04-01,-8,-0.2123806465633541
AC,2018-05-01,-7,-1.117100606120808
AC,2018-06-01,-6,-1.7040029413661777
AC,2018-07-01,-5,-1.819627605094173
AC,2018-08-01,-4,-1.6435559333180731
AC,2018-09-01,-3,-1.1949874183951241
AC,2018-10-01,-2,-1.0913314290558151
AC,2018-11-01,-1,-0.4406893595952832
AC,2018-12-01,0,0.058090260090409185
AC,2019-01-01,1,0.2431134559756537
AC,2019-02-01,2,-0.3000963599468346
AC,2019-03-01,3,-0.5976193917754764
AC,2019-04-01,4,-0.4570771737904439
AC,2019-05-01,5,-0.09944300771638759
AC,2019-06-01,6,-0.24563771164275439
AC,2019-07-01,7,0.6424902614642044
AC,2019-08-01,8,1.8190562794835896
AC,2019-09-01,9,2.4172928827665117
AC,2019-10-01,10,2.243336607008811
AC,2019-11-01,11,2.3606955596991015
AC,2019-12-01,12,2.55717839357319
AC,2020-01-01,13,2.2332483071379023
AC,2020-02-01,14,2.5467452281653014
