dropped_donor,period_date,event_time,loo_gap
AC,2018-03-01,-31,-0.059049765607878335
AC,2018-04-01,-30,-0.049213255557368996
AC,2018-05-01,-29,-0.04875508675591078
AC,2018-06-01,-28,-0.04405656511757261
AC,2018-07-01,-27,-0.044439698595508226
AC,2018-08-01,-26,-0.04881325200052089
AC,2018-09-01,-25,-0.053216513908670215
AC,2018-10-01,-24,-0.05769272388813107
AC,2018-11-01,-23,-0.0544562057991147
AC,2018-12-01,-22,-0.0516055217169793
AC,2019-01-01,-21,-0.04517105518438669
AC,2019-02-01,-20,-0.035605716784052
AC,2019-03-01,-19,-0.022320718176003673
AC,2019-04-01,-18,-0.0119724531616896
AC,2019-05-01,-17,-0.0011677591803946896
AC,2019-06-01,-16,0.008223830447592562
AC,2019-07-01,-15,0.010603024562006347
AC,2019-08-01,-14,0.015898918903862302
AC,2019-09-01,-13,0.015709642132595292
AC,2019-10-01,-12,0.021195291721562093
AC,2019-11-01,-11,0.022880351648396413
AC,2019-12-01,-10,0.024971217085385078
AC,2020-01-01,-9,0.0216180417047811
AC,2020-02-01,-8,0.019363324521304293
AC,2020-03-01,-7,0.015683773728306427
AC,2020-04-01,-6,0.02043503881094999
AC,2020-05-01,-5,0.029769624688576357
AC,2020-06-01,-4,0.03990168003910011
AC,2020-07-01,-3,0.05689563667157138
AC,2020-08-01,-2,0.06485294604349345
AC,2020-09-01,-1,0.07232442108530357
AC,2020-10-01,0,0.06842419378211684
AC,2020-11-01,1,0.06344379163622627
AC,2020-12-01,2,0.06038597555974157
AC,2021-01-01,3,0.05194801408312344
AC,2021-02-01,4,0.049702704475098614
AC,2021-03-01,5,0.05221241254972764
AC,2021-04-01,6,0.05042890262924615
AC,2021-05-01,7,0.04599419851691078
AC,2021-06-01,8,0.043721356447139925
AC,2021-07-01,9,0.055688810425414736
AC,2021-08-01,10,0.0584123244644692
AC,2021-09-01,11,0.05339616629810884
AC,2021-10-01,12,0.050920249127235806
AC,2021-11-01,13,0.048255657055344514
AC,2021-12-01,14,0.044281776617219215
AC,2022-01-01,15,0.028890156255713784
AC,2022-02-01,16,0.022071451295313516
AC,2022-03-01,17,0.01612379797957253
AC,2022-04-01,18,0.01154937979747217
AC,2022-05-01,19,0.007228389146294312
AC,2022-06-01,20,0.00452279830849367
AC,2022-07-01,21,0.0027849031348852193
AC,2022-08-01,22,-0.00232085252940184
AC,2022-09-01,23,-0.003084315428171891
AL,2018-03-01,-31,-0.05873326926214251
AL,2018-04-01,-30,-0.04905558323271997
AL,2018-05-01,-29,-0.048262558838573
AL,2018-06-01,-28,-0.04368334987279976
AL,2018-07-01,-27,-0.04461290364042014
AL,2018-08-01,-26,-0.04872643990899306
AL,2018-09-01,-25,-0.05249768882196815
AL,2018-10-01,-24,-0.05691997199860843
AL,2018-11-01,-23,-0.053849094189427404
AL,2018-12-01,-22,-0.050842769270185606
AL,2019-01-01,-21,-0.04398386107579366
AL,2019-02-01,-20,-0.03431769739078394
AL,2019-03-01,-19,-0.02120388916896765
AL,2019-04-01,-18,-0.010537935589201908
AL,2019-05-01,-17,5.586089238587277e-4
AL,2019-06-01,-16,0.010228264630766759
AL,2019-07-01,-15,0.012457636318334409
AL,2019-08-01,-14,0.017333504940336475
AL,2019-09-01,-13,0.016728562681272763
AL,2019-10-01,-12,0.02157996023114439
AL,2019-11-01,-11,0.022793648073560213
AL,2019-12-01,-10,0.02523309422486264
AL,2020-01-01,-9,0.021919131422183824
AL,2020-02-01,-8,0.019749393219059996
AL,2020-03-01,-7,0.016046322122511114
AL,2020-04-01,-6,0.02036464942929772
AL,2020-05-01,-5,0.028198275300348463
AL,2020-06-01,-4,0.037239737004470364
AL,2020-07-01,-3,0.05470861210889133
AL,2020-08-01,-2,0.0626722887290816
AL,2020-09-01,-1,0.07046293647828783
AL,2020-10-01,0,0.06706997675156234
AL,2020-11-01,1,0.06322558493075014
AL,2020-12-01,2,0.06033404332040959
AL,2021-01-01,3,0.05132567432573687
AL,2021-02-01,4,0.04860854596323261
AL,2021-03-01,5,0.05078705247185056
AL,2021-04-01,6,0.04967744113520478
AL,2021-05-01,7,0.046502537481952544
AL,2021-06-01,8,0.044731787693922165
AL,2021-07-01,9,0.05581335070974802
AL,2021-08-01,10,0.05904010366787471
AL,2021-09-01,11,0.054292339599537165
AL,2021-10-01,12,0.05164230983347107
AL,2021-11-01,13,0.04792730064903683
AL,2021-12-01,14,0.04384261459047867
AL,2022-01-01,15,0.02942514532410545
AL,2022-02-01,16,0.022446064921880726
AL,2022-03-01,17,0.016692104357620252
AL,2022-04-01,18,0.012291266356696084
AL,2022-05-01,19,0.00873196336841442
AL,2022-06-01,20,0.0062488481555655895
AL,2022-07-01,21,0.003958409022454923
AL,2022-08-01,22,-0.0014025309499947625
AL,2022-09-01,23,-0.0023872880138133823
AP,2018-03-01,-31,-0.05370115774509365
AP,2018-04-01,-30,-0.04511996128044249
AP,2018-05-01,-29,-0.044579448028514435
AP,2018-06-01,-28,-0.040118399433059615
AP,2018-07-01,-27,-0.04171139035512095
AP,2018-08-01,-26,-0.04487574187987331
AP,2018-09-01,-25,-0.050077153260808416
AP,2018-10-01,-24,-0.05232255202684488
AP,2018-11-01,-23,-0.049278056039987916
AP,2018-12-01,-22,-0.0432744448268334
AP,2019-01-01,-21,-0.0359892680196463
AP,2019-02-01,-20,-0.028612325630791524
AP,2019-03-01,-19,-0.016318304111543114
AP,2019-04-01,-18,-0.008215783192135007
AP,2019-05-01,-17,0.001184155006665577
AP,2019-06-01,-16,0.007011290206376586
AP,2019-07-01,-15,0.00787356194626021
AP,2019-08-01,-14,0.010955654633771239
AP,2019-09-01,-13,0.0062149639343047625
AP,2019-10-01,-12,0.008156057956649754
AP,2019-11-01,-11,0.00885058609371292
AP,2019-12-01,-10,0.010725860301351808
AP,2020-01-01,-9,0.0072968794719674435
AP,2020-02-01,-8,0.005013184640492163
AP,2020-03-01,-7,0.001255756823045573
AP,2020-04-01,-6,0.007388171068130056
AP,2020-05-01,-5,0.018700226866412706
AP,2020-06-01,-4,0.02737382142951983
AP,2020-07-01,-3,0.04232951993420642
AP,2020-08-01,-2,0.0473200033281449
AP,2020-09-01,-1,0.055807043133202505
AP,2020-10-01,0,0.053275459226989064
AP,2020-11-01,1,0.045039082791175744
AP,2020-12-01,2,0.03970676053320421
AP,2021-01-01,3,0.0333383012169044
AP,2021-02-01,4,0.03310861350977845
AP,2021-03-01,5,0.03685423671666399
AP,2021-04-01,6,0.03678039604239469
AP,2021-05-01,7,0.03706826549222075
AP,2021-06-01,8,0.03677366416345329
AP,2021-07-01,9,0.04812362246227231
AP,2021-08-01,10,0.05376996114613686
AP,2021-09-01,11,0.049516416517951356
AP,2021-10-01,12,0.047159130480224576
AP,2021-11-01,13,0.041482605142237006
AP,2021-12-01,14,0.04026756307011148
AP,2022-01-01,15,0.02499242805006663
AP,2022-02-01,16,0.018105826456210394
AP,2022-03-01,17,0.012480383099022774
AP,2022-04-01,18,0.0070121771953788326
AP,2022-05-01,19,0.006423525251272544
AP,2022-06-01,20,0.004816267397734997
AP,2022-07-01,21,0.004692096733504236
AP,2022-08-01,22,-2.457262143007455e-4
AP,2022-09-01,23,-6.501206664841774e-4
BA,2018-03-01,-31,-0.059356726212102195
BA,2018-04-01,-30,-0.04981295218366455
BA,2018-05-01,-29,-0.04911109214942755
BA,2018-06-01,-28,-0.044767010633491644
BA,2018-07-01,-27,-0.04630222467754841
BA,2018-08-01,-26,-0.05030954907216678
BA,2018-09-01,-25,-0.05368975180094537
BA,2018-10-01,-24,-0.05801354601836639
BA,2018-11-01,-23,-0.05484665114613918
BA,2018-12-01,-22,-0.051873155198763676
BA,2019-01-01,-21,-0.04423641546207957
BA,2019-02-01,-20,-0.03426898366948805
BA,2019-03-01,-19,-0.02115209600549406
BA,2019-04-01,-18,-0.010252113479878311
BA,2019-05-01,-17,0.0011448944365817226
BA,2019-06-01,-16,0.011090216109185036
BA,2019-07-01,-15,0.013211846513832448
BA,2019-08-01,-14,0.017652851045073525
BA,2019-09-01,-13,0.016975590021423237
BA,2019-10-01,-12,0.021392872434373267
BA,2019-11-01,-11,0.022130004786232504
BA,2019-12-01,-10,0.025207208555877436
BA,2020-01-01,-9,0.021860930668571754
BA,2020-02-01,-8,0.019982474011682072
BA,2020-03-01,-7,0.016013062157813174
BA,2020-04-01,-6,0.020115632372841752
BA,2020-05-01,-5,0.027673901894159414
BA,2020-06-01,-4,0.03536476174075265
BA,2020-07-01,-3,0.05227508786976376
BA,2020-08-01,-2,0.05971941352576415
BA,2020-09-01,-1,0.06732089887642978
BA,2020-10-01,0,0.06364898643805894
BA,2020-11-01,1,0.059525466048918396
BA,2020-12-01,2,0.05664124536194137
BA,2021-01-01,3,0.04710062003960225
BA,2021-02-01,4,0.04381857421426183
BA,2021-03-01,5,0.04556850370922838
BA,2021-04-01,6,0.044968052887140786
BA,2021-05-01,7,0.04304302645904734
BA,2021-06-01,8,0.0417806630756683
BA,2021-07-01,9,0.05295073328630817
BA,2021-08-01,10,0.05644922133715369
BA,2021-09-01,11,0.05228976269155439
BA,2021-10-01,12,0.04980210408335495
BA,2021-11-01,13,0.045379816631138326
BA,2021-12-01,14,0.04118955396607671
BA,2022-01-01,15,0.02741059524762246
BA,2022-02-01,16,0.020587416946590054
BA,2022-03-01,17,0.015272342170828068
BA,2022-04-01,18,0.011384549998505022
BA,2022-05-01,19,0.008711950854775274
BA,2022-06-01,20,0.006745679117559966
BA,2022-07-01,21,0.004413527634745229
BA,2022-08-01,22,-5.47198242133895e-4
BA,2022-09-01,23,-0.0014680050371209674
CE,2018-03-01,-31,-0.05865670928805766
CE,2018-04-01,-30,-0.048926959295315875
CE,2018-05-01,-29,-0.048310101077088774
CE,2018-06-01,-28,-0.043736236716926946
CE,2018-07-01,-27,-0.044742564146328156
CE,2018-08-01,-26,-0.04892961591099443
CE,2018-09-01,-25,-0.05293913671580075
CE,2018-10-01,-24,-0.05725938319921742
CE,2018-11-01,-23,-0.05406978070294688
CE,2018-12-01,-22,-0.050974569392095326
CE,2019-01-01,-21,-0.044038138699801443
CE,2019-02-01,-20,-0.034431542190147546
CE,2019-03-01,-19,-0.021233842966614347
CE,2019-04-01,-18,-0.01075215575751809
CE,2019-05-01,-17,2.3315205013130225e-4
CE,2019-06-01,-16,0.009643944725564069
CE,2019-07-01,-15,0.011803778033847578
CE,2019-08-01,-14,0.016585464163428654
CE,2019-09-01,-13,0.01587241051217081
CE,2019-10-01,-12,0.0207380676813127
CE,2019-11-01,-11,0.021992417128673836
CE,2019-12-01,-10,0.02448972331633037
CE,2020-01-01,-9,0.021219131205677755
CE,2020-02-01,-8,0.019131272791645948
CE,2020-03-01,-7,0.01528255326582073
CE,2020-04-01,-6,0.019728282914829087
CE,2020-05-01,-5,0.02817583858360173
CE,2020-06-01,-4,0.03737506855812445
CE,2020-07-01,-3,0.05448887958889248
CE,2020-08-01,-2,0.06240757106611561
CE,2020-09-01,-1,0.07023175832106343
CE,2020-10-01,0,0.06668314588007451
CE,2020-11-01,1,0.06222783806664278
CE,2020-12-01,2,0.05912481584240581
CE,2021-01-01,3,0.050212913729082764
CE,2021-02-01,4,0.04739485921607223
CE,2021-03-01,5,0.04950332111179989
CE,2021-04-01,6,0.04823815045193314
CE,2021-05-01,7,0.044954195421049725
CE,2021-06-01,8,0.04309181456634015
CE,2021-07-01,9,0.054500111663990936
CE,2021-08-01,10,0.05768706587092165
CE,2021-09-01,11,0.0530364462728663
CE,2021-10-01,12,0.05047074190723677
CE,2021-11-01,13,0.046845662033545565
CE,2021-12-01,14,0.04291327668147993
CE,2022-01-01,15,0.028308647647481422
CE,2022-02-01,16,0.021481981136382444
CE,2022-03-01,17,0.0158358304959183
CE,2022-04-01,18,0.011527532288245546
CE,2022-05-01,19,0.008077563655021436
CE,2022-06-01,20,0.005675197529930287
CE,2022-07-01,21,0.0036335045915771857
CE,2022-08-01,22,-0.0015039378362038391
CE,2022-09-01,23,-0.002385590271559046
DF,2018-03-01,-31,-0.057799728709263754
DF,2018-04-01,-30,-0.04795671229456655
DF,2018-05-01,-29,-0.04760349456498858
DF,2018-06-01,-28,-0.04303180177481103
DF,2018-07-01,-27,-0.0437550191405256
DF,2018-08-01,-26,-0.04809271215423916
DF,2018-09-01,-25,-0.05243387325592419
DF,2018-10-01,-24,-0.05686236545845169
DF,2018-11-01,-23,-0.05357455547258816
DF,2018-12-01,-22,-0.05060078605641305
DF,2019-01-01,-21,-0.0438625585461887
DF,2019-02-01,-20,-0.03429964106594863
DF,2019-03-01,-19,-0.021041330258706026
DF,2019-04-01,-18,-0.010697834952336116
DF,2019-05-01,-17,1.6387114891447396e-4
DF,2019-06-01,-16,0.009496948611528389
DF,2019-07-01,-15,0.011800502853391848
DF,2019-08-01,-14,0.01685793220370524
DF,2019-09-01,-13,0.01653568767825586
DF,2019-10-01,-12,0.021835966389671668
DF,2019-11-01,-11,0.02334732937859041
DF,2019-12-01,-10,0.025717335572721822
DF,2020-01-01,-9,0.02235626243306399
DF,2020-02-01,-8,0.02021209931328727
DF,2020-03-01,-7,0.016336557026043863
DF,2020-04-01,-6,0.020950122692974915
DF,2020-05-01,-5,0.03026873882984127
DF,2020-06-01,-4,0.03984037498389359
DF,2020-07-01,-3,0.05652726706999012
DF,2020-08-01,-2,0.06426706314917663
DF,2020-09-01,-1,0.07173368822692705
DF,2020-10-01,0,0.06775624831734195
DF,2020-11-01,1,0.0624574771836901
DF,2020-12-01,2,0.05929990612754832
DF,2021-01-01,3,0.050661752651955716
DF,2021-02-01,4,0.04812049697794407
DF,2021-03-01,5,0.05033398869293393
DF,2021-04-01,6,0.048695285630451224
DF,2021-05-01,7,0.044811699878526845
DF,2021-06-01,8,0.04269161371598962
DF,2021-07-01,9,0.05470168674238263
DF,2021-08-01,10,0.05752127409863128
DF,2021-09-01,11,0.05277375832060205
DF,2021-10-01,12,0.05029644723818194
DF,2021-11-01,13,0.04721009460595571
DF,2021-12-01,14,0.04324329796128801
DF,2022-01-01,15,0.02805856788179817
DF,2022-02-01,16,0.02133138257074041
DF,2022-03-01,17,0.015575030639256582
DF,2022-04-01,18,0.01122223287138624
DF,2022-05-01,19,0.00733970420572394
DF,2022-06-01,20,0.004812005780513218
DF,2022-07-01,21,0.00301790376440092
DF,2022-08-01,22,-0.001975896941775801
DF,2022-09-01,23,-0.0027607827149687125
ES,2018-03-01,-31,-0.05932467458954793
ES,2018-04-01,-30,-0.04967163581547762
ES,2018-05-01,-29,-0.048890641809697044
ES,2018-06-01,-28,-0.04426642215863463
ES,2018-07-01,-27,-0.04517243137979854
ES,2018-08-01,-26,-0.04920315049512247
ES,2018-09-01,-25,-0.053149386862679115
ES,2018-10-01,-24,-0.057390163063708144
ES,2018-11-01,-23,-0.054318877147981226
ES,2018-12-01,-22,-0.051053452594366
ES,2019-01-01,-21,-0.04421648960268598
ES,2019-02-01,-20,-0.03476024968044822
ES,2019-03-01,-19,-0.021685486462462933
ES,2019-04-01,-18,-0.011271559448932322
ES,2019-05-01,-17,-3.4688100804025623e-4
ES,2019-06-01,-16,0.008985371339684356
ES,2019-07-01,-15,0.011138717050350522
ES,2019-08-01,-14,0.015875658587793495
ES,2019-09-01,-13,0.014963653926938214
ES,2019-10-01,-12,0.019677219733813978
ES,2019-11-01,-11,0.020970627322916435
ES,2019-12-01,-10,0.02334461205800853
ES,2020-01-01,-9,0.020035553593186428
ES,2020-02-01,-8,0.01789875848054212
ES,2020-03-01,-7,0.014130345681199863
ES,2020-04-01,-6,0.018579570944075918
ES,2020-05-01,-5,0.026758991839142432
ES,2020-06-01,-4,0.035930629758834876
ES,2020-07-01,-3,0.053154796993778675
ES,2020-08-01,-2,0.0608133749206754
ES,2020-09-01,-1,0.0687085271731922
ES,2020-10-01,0,0.06540304970570787
ES,2020-11-01,1,0.06116808974492649
ES,2020-12-01,2,0.058054124787476624
ES,2021-01-01,3,0.04939777600669881
ES,2021-02-01,4,0.0470303968435104
ES,2021-03-01,5,0.0493264292027078
ES,2021-04-01,6,0.048296547961823144
ES,2021-05-01,7,0.04535172180386837
ES,2021-06-01,8,0.04370794439726744
ES,2021-07-01,9,0.05493963606041952
ES,2021-08-01,10,0.05836837362965497
ES,2021-09-01,11,0.05377014743941633
ES,2021-10-01,12,0.05119946688084376
ES,2021-11-01,13,0.04743265363356208
ES,2021-12-01,14,0.043637789650329495
ES,2022-01-01,15,0.0290722991290826
ES,2022-02-01,16,0.02216587630064737
ES,2022-03-01,17,0.016410038355019196
ES,2022-04-01,18,0.011892126210612197
ES,2022-05-01,19,0.008527727376914207
ES,2022-06-01,20,0.006069717334654889
ES,2022-07-01,21,0.004001716339528727
ES,2022-08-01,22,-0.001346955292366836
ES,2022-09-01,23,-0.0023012435923002172
GO,2018-03-01,-31,-0.05960630605523942
GO,2018-04-01,-30,-0.04996031765701314
GO,2018-05-01,-29,-0.04921326780656443
GO,2018-06-01,-28,-0.0446290181152893
GO,2018-07-01,-27,-0.0456869364880772
GO,2018-08-01,-26,-0.049764516839894135
GO,2018-09-01,-25,-0.053627202843753885
GO,2018-10-01,-24,-0.057874763741818214
GO,2018-11-01,-23,-0.054746285568634256
GO,2018-12-01,-22,-0.051582733637540734
GO,2019-01-01,-21,-0.04456881556487957
GO,2019-02-01,-20,-0.03496238902594495
GO,2019-03-01,-19,-0.021818760156534722
GO,2019-04-01,-18,-0.011300586891650255
GO,2019-05-01,-17,-2.7748178002440227e-4
GO,2019-06-01,-16,0.009169334842720644
GO,2019-07-01,-15,0.011288757573319153
GO,2019-08-01,-14,0.01596092727281828
GO,2019-09-01,-13,0.01508699681486192
GO,2019-10-01,-12,0.019753393777507178
GO,2019-11-01,-11,0.020922707707451416
GO,2019-12-01,-10,0.023448649719859382
GO,2020-01-01,-9,0.020179936237822993
GO,2020-02-01,-8,0.018116475260449683
GO,2020-03-01,-7,0.014299639584901769
GO,2020-04-01,-6,0.018712380534360307
GO,2020-05-01,-5,0.026838268038367197
GO,2020-06-01,-4,0.03583673080695782
GO,2020-07-01,-3,0.05304297561057414
GO,2020-08-01,-2,0.06083928720643961
GO,2020-09-01,-1,0.06874079414832757
GO,2020-10-01,0,0.06535070338466209
GO,2020-11-01,1,0.06117053475481171
GO,2020-12-01,2,0.05808935648620839
GO,2021-01-01,3,0.04918468581505664
GO,2021-02-01,4,0.04646579889629532
GO,2021-03-01,5,0.04862437619167981
GO,2021-04-01,6,0.04759794104929771
GO,2021-05-01,7,0.0446894845217205
GO,2021-06-01,8,0.04303482251969637
GO,2021-07-01,9,0.0542588174067129
GO,2021-08-01,10,0.05766012589962699
GO,2021-09-01,11,0.05310522539464824
GO,2021-10-01,12,0.050556202171677
GO,2021-11-01,13,0.04672823052515529
GO,2021-12-01,14,0.042851871533571284
GO,2022-01-01,15,0.028452380534634614
GO,2022-02-01,16,0.021584799070201832
GO,2022-03-01,17,0.01595717698957788
GO,2022-04-01,18,0.011614218051360758
GO,2022-05-01,19,0.008363444309264167
GO,2022-06-01,20,0.006024187758209898
GO,2022-07-01,21,0.003939367433299701
GO,2022-08-01,22,-0.0012595052066233237
GO,2022-09-01,23,-0.0021694869381114756
MA,2018-03-01,-31,-0.057096882252916537
MA,2018-04-01,-30,-0.0476119628372178
MA,2018-05-01,-29,-0.047169362861379405
MA,2018-06-01,-28,-0.04298185517764441
MA,2018-07-01,-27,-0.045042672682241935
MA,2018-08-01,-26,-0.0492677662776444
MA,2018-09-01,-25,-0.052762182117072065
MA,2018-10-01,-24,-0.05694131517905898
MA,2018-11-01,-23,-0.053585940011927846
MA,2018-12-01,-22,-0.050552435269132445
MA,2019-01-01,-21,-0.0425720021637197
MA,2019-02-01,-20,-0.03253455062922317
MA,2019-03-01,-19,-0.019351985181734754
MA,2019-04-01,-18,-0.00856687893762409
MA,2019-05-01,-17,0.0027624940325665648
MA,2019-06-01,-16,0.012461806120427354
MA,2019-07-01,-15,0.014362262243597712
MA,2019-08-01,-14,0.018598161251847323
MA,2019-09-01,-13,0.017714935115607844
MA,2019-10-01,-12,0.021952263987314424
MA,2019-11-01,-11,0.022508435017067896
MA,2019-12-01,-10,0.025865314462126143
MA,2020-01-01,-9,0.022645786522428324
MA,2020-02-01,-8,0.020883401695932946
MA,2020-03-01,-7,0.016751026417000325
MA,2020-04-01,-6,0.02094852948239634
MA,2020-05-01,-5,0.028782002713603205
MA,2020-06-01,-4,0.03634015817184455
MA,2020-07-01,-3,0.05308480438968477
MA,2020-08-01,-2,0.06092274958739541
MA,2020-09-01,-1,0.06868488780486359
MA,2020-10-01,0,0.06483202166331292
MA,2020-11-01,1,0.06046088402927019
MA,2020-12-01,2,0.057318091486784795
MA,2021-01-01,3,0.04734349263533222
MA,2021-02-01,4,0.04316581507657524
MA,2021-03-01,5,0.0445820759800446
MA,2021-04-01,6,0.043827817454833884
MA,2021-05-01,7,0.041775176851735374
MA,2021-06-01,8,0.040306558837738926
MA,2021-07-01,9,0.051512238556447265
MA,2021-08-01,10,0.054918981378366816
MA,2021-09-01,11,0.05069013040936188
MA,2021-10-01,12,0.04812088758309674
MA,2021-11-01,13,0.043513492509513974
MA,2021-12-01,14,0.039327558595231515
MA,2022-01-01,15,0.02563357870951677
MA,2022-02-01,16,0.018908925545398247
MA,2022-03-01,17,0.013915377710691956
MA,2022-04-01,18,0.010336110960932565
MA,2022-05-01,19,0.007933857376012377
MA,2022-06-01,20,0.0062332325081202455
MA,2022-07-01,21,0.004010994148770486
MA,2022-08-01,22,-5.540627615632232e-4
MA,2022-09-01,23,-0.001325880858040307
MG,2018-03-01,-31,-0.0623784747165379
MG,2018-04-01,-30,-0.05268289496933498
MG,2018-05-01,-29,-0.05231433643767858
MG,2018-06-01,-28,-0.04771722443396964
MG,2018-07-01,-27,-0.04847172162555413
MG,2018-08-01,-26,-0.05291457627286622
MG,2018-09-01,-25,-0.05703343084956547
MG,2018-10-01,-24,-0.061410507061167685
MG,2018-11-01,-23,-0.057984900597490174
MG,2018-12-01,-22,-0.0554730486357391
MG,2019-01-01,-21,-0.04837707406494918
MG,2019-02-01,-20,-0.038285982648396555
MG,2019-03-01,-19,-0.024785639782429314
MG,2019-04-01,-18,-0.014146013575759397
MG,2019-05-01,-17,-0.003040956158463004
MG,2019-06-01,-16,0.006741341080895857
