donor_state,scm_weight
PI,0.2320012070743544
BA,0.19691054798431853
AP,0.17330175818682167
GO,0.16292209900771182
SE,0.08474646436475645
AC,0.05993683494833877
MS,0.05945078210156221
AL,0.03073030632671159
PE,4.349952707698897e-12
ES,5.220902099029443e-13
RN,4.2636061900247054e-13
MA,6.415422045035246e-14
MG,5.832000630102898e-14
PA,3.014422225224309e-15
CE,2.5663028959952134e-16
PB,2.117542558479901e-16
DF,7.10651399708217e-17
RJ,3.6270629812124307e-17
MT,6.083683445829965e-18
PR,0
RO,0
RS,0
SC,0
SP,0
