pseudo_treated_state,period_date,event_time,augmented_gap
AC,2015-08-01,-31,0.6384136077028795
AC,2015-09-01,-30,0.6317523792290343
AC,2015-10-01,-29,0.44274830909490737
AC,2015-11-01,-28,-0.3500478123894152
AC,2015-12-01,-27,-1.2167528234875322
AC,2016-01-01,-26,-0.8041408173129567
AC,2016-02-01,-25,0.9184984647156345
AC,2016-03-01,-24,-1.6826594052344368
AC,2016-04-01,-23,0.46205899489412783
AC,2016-05-01,-22,2.6711395904385946
AC,2016-06-01,-21,3.540308872602719
AC,2016-07-01,-20,2.7178066252536555
AC,2016-08-01,-19,-0.4386063441745755
AC,2016-09-01,-18,0.5467084790187747
AC,2016-10-01,-17,1.6828818801555483
AC,2016-11-01,-16,-1.7848047687650084
AC,2016-12-01,-15,-1.7186294590241593
AC,2017-01-01,-14,1.5663387433039881
AC,2017-02-01,-13,1.0554136429287677
AC,2017-03-01,-12,-1.641884765482692
AC,2017-04-01,-11,-1.8570185517667512
AC,2017-05-01,-10,0.6039256207511425
AC,2017-06-01,-9,1.2235737097815231
AC,2017-07-01,-8,-1.7398546721352695
AC,2017-08-01,-7,-0.9413286370532217
AC,2017-09-01,-6,0.19021442922142784
AC,2017-10-01,-5,0.7329430197088753
AC,2017-11-01,-4,-0.9440266209217507
AC,2017-12-01,-3,-0.6879771490269272
AC,2018-01-01,-2,-0.2467767874023704
AC,2018-02-01,-1,1.6603311433897192
AC,2018-03-01,0,0.6162349474367326
AC,2018-04-01,1,-0.4942556602797952
AC,2018-05-01,2,0.525551323860844
AC,2018-06-01,3,1.4565649413667123
AC,2018-07-01,4,0.979359501913026
AC,2018-08-01,5,-1.1692543454602644
AC,2018-09-01,6,-0.2249935048167928
AC,2018-10-01,7,3.264165520993509
AC,2018-11-01,8,-0.22500354609364048
AC,2018-12-01,9,-0.926263475270809
AC,2019-01-01,10,-0.6066816446791403
AC,2019-02-01,11,2.035127730481621
AC,2019-03-01,12,0.5145253842504611
AC,2019-04-01,13,0.4140408545810037
AC,2019-05-01,14,1.3076783281575461
AC,2019-06-01,15,1.6487736428347162
AC,2019-07-01,16,0.9408239694090899
AC,2019-08-01,17,-0.5673678244895226
AC,2019-09-01,18,0.1535813155176493
AC,2019-10-01,19,-0.6596622833848875
AC,2019-11-01,20,-1.7014575118950535
AC,2019-12-01,21,-2.3556043685417505
AC,2020-01-01,22,-0.38948719274658206
AC,2020-02-01,23,1.6860619863083244
AL,2015-08-01,-31,1.3095244345322596
AL,2015-09-01,-30,-0.507278877443464
AL,2015-10-01,-29,-0.5288393614169546
AL,2015-11-01,-28,-0.0948618091168747
AL,2015-12-01,-27,1.9922624421677035
AL,2016-01-01,-26,0.9959233300676278
AL,2016-02-01,-25,-1.889963176369028
AL,2016-03-01,-24,0.4179512827731875
AL,2016-04-01,-23,-0.38032632373364095
AL,2016-05-01,-22,-0.28445571650011736
AL,2016-06-01,-21,-0.2607254531552936
AL,2016-07-01,-20,-1.6729167675716514
AL,2016-08-01,-19,0.7167729789949915
AL,2016-09-01,-18,0.559723255002784
AL,2016-10-01,-17,0.4172363766053504
AL,2016-11-01,-16,-1.2113432943398887
AL,2016-12-01,-15,0.820918067677197
AL,2017-01-01,-14,0.15483813358225262
AL,2017-02-01,-13,0.7449453914696882
AL,2017-03-01,-12,-1.380245036326956
AL,2017-04-01,-11,-1.1833690071987384
AL,2017-05-01,-10,1.8085377710135209
AL,2017-06-01,-9,-1.6002117357372718
AL,2017-07-01,-8,0.9805368330299897
AL,2017-08-01,-7,-0.48254449115070486
AL,2017-09-01,-6,-0.08722478975258074
AL,2017-10-01,-5,0.97250653361173
AL,2017-11-01,-4,-0.8120763438372327
AL,2017-12-01,-3,0.8044222840084503
AL,2018-01-01,-2,0.8294160060575866
AL,2018-02-01,-1,0.04431066188925037
AL,2018-03-01,0,0.3996913412660903
AL,2018-04-01,1,-0.5577615235209352
AL,2018-05-01,2,0.5316541752238333
AL,2018-06-01,3,-0.36481664887395304
AL,2018-07-01,4,0.029085494563227954
AL,2018-08-01,5,1.6708243320293663
AL,2018-09-01,6,2.8281993692256884
AL,2018-10-01,7,1.5111058037297251
AL,2018-11-01,8,-0.10922711635674531
AL,2018-12-01,9,2.0707243435860523
AL,2019-01-01,10,0.6380374902905261
AL,2019-02-01,11,2.827927760394729
AL,2019-03-01,12,-0.37492405759517666
AL,2019-04-01,13,-1.137084503108814
AL,2019-05-01,14,-0.6958112788997015
AL,2019-06-01,15,-1.2991894715800756
AL,2019-07-01,16,-0.7188740063571588
AL,2019-08-01,17,-1.8647734497962853
AL,2019-09-01,18,1.5694468734565232
AL,2019-10-01,19,1.159397153009742
AL,2019-11-01,20,0.10506348828480494
AL,2019-12-01,21,0.12015740433855715
AL,2020-01-01,22,-2.0125769551729684
AL,2020-02-01,23,-3.1966685118562586
AP,2015-08-01,-31,-1.968161109468745
AP,2015-09-01,-30,-0.19088839662818025
AP,2015-10-01,-29,-1.0976550518042534
AP,2015-11-01,-28,0.41728385208439156
AP,2015-12-01,-27,1.4451449771921436
AP,2016-01-01,-26,1.087811750028189
AP,2016-02-01,-25,-1.7758933320740562
AP,2016-03-01,-24,1.008570827232437
AP,2016-04-01,-23,0.9281859981902283
AP,2016-05-01,-22,-3.1623510520562412
AP,2016-06-01,-21,-3.6682453884609916
AP,2016-07-01,-20,-1.8466428858813229
AP,2016-08-01,-19,1.833814143772769
AP,2016-09-01,-18,0.6427767019642152
AP,2016-10-01,-17,-2.6163911163174465
AP,2016-11-01,-16,1.6580397236460032
AP,2016-12-01,-15,2.736005582121729
AP,2017-01-01,-14,-1.357656281564953
AP,2017-02-01,-13,-0.5247422063833849
