dropped_donor,period_date,event_time,loo_gap
AC,2015-08-01,-31,-0.009246989859788002
AC,2015-09-01,-30,-0.01261025192037124
AC,2015-10-01,-29,-0.010526949020364107
AC,2015-11-01,-28,-0.016599364316912002
AC,2015-12-01,-27,-0.008349484385578698
AC,2016-01-01,-26,-0.014952197566755032
AC,2016-02-01,-25,-0.029807721430695544
AC,2016-03-01,-24,-0.003882396875781957
AC,2016-04-01,-23,0.007072121580323554
AC,2016-05-01,-22,0.01803738505022512
AC,2016-06-01,-21,0.03962392294170858
AC,2016-07-01,-20,0.05644144077168178
AC,2016-08-01,-19,0.06948687212398763
AC,2016-09-01,-18,0.06133344153710407
AC,2016-10-01,-17,0.07641679534294266
AC,2016-11-01,-16,0.08353828596534818
AC,2016-12-01,-15,0.061198810643159796
AC,2017-01-01,-14,0.06252904069524057
AC,2017-02-01,-13,0.04623934595778323
AC,2017-03-01,-12,0.03490468276806169
AC,2017-04-01,-11,0.029455670593362626
AC,2017-05-01,-10,0.013460656619264988
AC,2017-06-01,-9,0.025562958228986687
AC,2017-07-01,-8,0.01752410445086028
AC,2017-08-01,-7,0.03478399234247309
AC,2017-09-01,-6,0.05128193254213809
AC,2017-10-01,-5,0.048193379345583764
AC,2017-11-01,-4,0.056527502889124115
AC,2017-12-01,-3,0.029902612340160672
AC,2018-01-01,-2,0.04280698013205697
AC,2018-02-01,-1,0.054971170596919805
AC,2018-03-01,0,0.05452592056929273
AC,2018-04-01,1,0.047696184809937314
AC,2018-05-01,2,0.044657435427334136
AC,2018-06-01,3,0.05781571926496465
AC,2018-07-01,4,0.052257007160076974
AC,2018-08-01,5,0.032815470644849576
AC,2018-09-01,6,0.02865331797833548
AC,2018-10-01,7,0.010963847827540896
AC,2018-11-01,8,0.02199868900447477
AC,2018-12-01,9,0.017229512622051857
AC,2019-01-01,10,0.007426418581665928
AC,2019-02-01,11,0.015999817596459742
AC,2019-03-01,12,0.02076942414533267
AC,2019-04-01,13,0.024488554000003937
AC,2019-05-01,14,0.020056206633244145
AC,2019-06-01,15,0.04416553254041489
AC,2019-07-01,16,0.041080910528421555
AC,2019-08-01,17,0.039704348002683965
AC,2019-09-01,18,0.03708621033074877
AC,2019-10-01,19,0.044535018225780654
AC,2019-11-01,20,0.030992631751484367
AC,2019-12-01,21,0.020480425086057963
AC,2020-01-01,22,0.021948387668524028
AC,2020-02-01,23,0.005704649593057276
AL,2015-08-01,-31,-0.015434868668107171
AL,2015-09-01,-30,-0.018919377973303675
AL,2015-10-01,-29,-0.017108531676182537
AL,2015-11-01,-28,-0.02166368808008201
AL,2015-12-01,-27,-0.012701084529298967
AL,2016-01-01,-26,-0.019658277175413907
AL,2016-02-01,-25,-0.03703345372890432
AL,2016-03-01,-24,-0.013249271650504824
AL,2016-04-01,-23,-0.0022997502896586752
AL,2016-05-01,-22,0.005305913751899816
AL,2016-06-01,-21,0.025542243649535834
AL,2016-07-01,-20,0.04027855030003824
AL,2016-08-01,-19,0.055083957417545015
AL,2016-09-01,-18,0.04582038239354347
AL,2016-10-01,-17,0.05850611163989594
AL,2016-11-01,-16,0.06748257812942704
AL,2016-12-01,-15,0.04419929751155571
AL,2017-01-01,-14,0.0473284893511714
AL,2017-02-01,-13,0.031201288405136474
AL,2017-03-01,-12,0.018803572792438494
AL,2017-04-01,-11,0.017357507772718606
AL,2017-05-01,-10,4.2728134938929685e-4
AL,2017-06-01,-9,0.014184841148217053
AL,2017-07-01,-8,0.00593333361045989
AL,2017-08-01,-7,0.020832165551189163
AL,2017-09-01,-6,0.03873015174395178
AL,2017-10-01,-5,0.032496020025313044
AL,2017-11-01,-4,0.04194594471311497
AL,2017-12-01,-3,0.016589708574975326
AL,2018-01-01,-2,0.027921351717845155
AL,2018-02-01,-1,0.043000828731026175
AL,2018-03-01,0,0.04414741025553859
AL,2018-04-01,1,0.03747838300061623
AL,2018-05-01,2,0.03457027521253053
AL,2018-06-01,3,0.045046823502824296
AL,2018-07-01,4,0.040048766725360174
AL,2018-08-01,5,0.0196914267326731
AL,2018-09-01,6,0.01229880917740278
AL,2018-10-01,7,-0.0033859255118979803
AL,2018-11-01,8,0.005803230349176403
AL,2018-12-01,9,0.0027086626869907704
AL,2019-01-01,10,-0.007541583472221447
AL,2019-02-01,11,9.015438826693867e-4
AL,2019-03-01,12,0.007096378761568545
AL,2019-04-01,13,0.009871497155349296
AL,2019-05-01,14,0.0041022053442461015
AL,2019-06-01,15,0.02579218776506753
AL,2019-07-01,16,0.021838763173883002
AL,2019-08-01,17,0.020852322314462768
AL,2019-09-01,18,0.016665510239067594
AL,2019-10-01,19,0.023838104634539725
AL,2019-11-01,20,0.01367700354713719
AL,2019-12-01,21,0.0038446116705435074
AL,2020-01-01,22,0.005257069187525332
AL,2020-02-01,23,-0.01059610423558599
AP,2015-08-01,-31,-0.0055676865680052146
AP,2015-09-01,-30,-0.010100251170527486
AP,2015-10-01,-29,-0.008331122626226595
AP,2015-11-01,-28,-0.012393300402930407
AP,2015-12-01,-27,-0.002323576392348592
AP,2016-01-01,-26,-0.00956413058746719
AP,2016-02-01,-25,-0.027417763424534947
AP,2016-03-01,-24,-0.002924099475017705
AP,2016-04-01,-23,0.007933306914439164
AP,2016-05-01,-22,0.015404123234262102
AP,2016-06-01,-21,0.035423956928285705
AP,2016-07-01,-20,0.05078702334813734
AP,2016-08-01,-19,0.06603833000711212
AP,2016-09-01,-18,0.05721323748875662
