pseudo_treated_state,period_date,event_time,augmented_gap
AC,2019-03-01,-31,0.012043477444436235
AC,2019-04-01,-30,0.006242641757834733
AC,2019-05-01,-29,-0.004551374333579439
AC,2019-06-01,-28,-0.005854229496494057
AC,2019-07-01,-27,0.0014608420518289478
AC,2019-08-01,-26,0.0036329769997207606
AC,2019-09-01,-25,-0.0013835406429869579
AC,2019-10-01,-24,-3.2687699973443785e-4
AC,2019-11-01,-23,0.001711332795403031
AC,2019-12-01,-22,-0.0043436340334563894
AC,2020-01-01,-21,-0.004095936521189003
AC,2020-02-01,-20,-9.72458131069942e-5
AC,2020-03-01,-19,0.0016719248040981682
AC,2020-04-01,-18,0.006954392798208531
AC,2020-05-01,-17,-0.0048039113411562084
AC,2020-06-01,-16,-0.004012053623802636
AC,2020-07-01,-15,0.0066667540307943085
AC,2020-08-01,-14,0.0028240283705036617
AC,2020-09-01,-13,1.892008883128682e-4
AC,2020-10-01,-12,-0.0068107939141643925
AC,2020-11-01,-11,0.013259157180606884
AC,2020-12-01,-10,0.004893383717841537
AC,2021-01-01,-9,0.015519831598600042
AC,2021-02-01,-8,-0.00845919552258323
AC,2021-03-01,-7,0.004360051681219446
AC,2021-04-01,-6,0.0027568960940174136
AC,2021-05-01,-5,-0.004448716788177265
AC,2021-06-01,-4,0.002298050464572654
AC,2021-07-01,-3,-0.018125426047244098
AC,2021-08-01,-2,0.0015172773472134082
AC,2021-09-01,-1,0.003585146890568325
AC,2021-10-01,0,0.019784633020626607
AC,2021-11-01,1,0.03496810805654249
AC,2021-12-01,2,0.04045881973324228
AC,2022-01-01,3,0.051163856794666174
AC,2022-02-01,4,0.05047341508238912
AC,2022-03-01,5,0.049004198056668
AC,2022-04-01,6,0.044709962157009286
AC,2022-05-01,7,0.027455678215818402
AC,2022-06-01,8,0.017136208845367484
AC,2022-07-01,9,0.01375855379262525
AC,2022-08-01,10,0.003325683358838205
AC,2022-09-01,11,-0.002912812994877001
AC,2022-10-01,12,-0.01621740537108529
AC,2022-11-01,13,-0.024801340713493936
AC,2022-12-01,14,-0.013429781525278628
AC,2023-01-01,15,-0.018976801445069746
AC,2023-02-01,16,-0.008314242579787745
AC,2023-03-01,17,0.015600367674326598
AC,2023-04-01,18,0.024246797655253616
AC,2023-05-01,19,0.036800249241988325
AC,2023-06-01,20,0.04043083710485984
AC,2023-07-01,21,0.04554072525526909
AC,2023-08-01,22,0.04758330780004538
AC,2023-09-01,23,0.04736177606406056
AM,2019-03-01,-31,-0.00291157003682585
AM,2019-04-01,-30,-0.005595858282797295
AM,2019-05-01,-29,0.00650642827022363
AM,2019-06-01,-28,6.680129654803579e-4
AM,2019-07-01,-27,-0.014050416399348009
AM,2019-08-01,-26,-2.5222943171332446e-4
AM,2019-09-01,-25,-0.0032794450067976655
AM,2019-10-01,-24,-0.0010329707675271749
AM,2019-11-01,-23,0.005172966204883167
AM,2019-12-01,-22,-0.0069379950286956316
AM,2020-01-01,-21,-0.004151106031870633
AM,2020-02-01,-20,-0.00130182435592463
AM,2020-03-01,-19,0.0037191881766824864
AM,2020-04-01,-18,-0.00720485395517656
AM,2020-05-01,-17,-0.0038335976007592976
AM,2020-06-01,-16,0.019566666356059415
AM,2020-07-01,-15,0.012824550425016845
AM,2020-08-01,-14,-0.008579762086744935
AM,2020-09-01,-13,-0.005963070559170447
AM,2020-10-01,-12,0.0062498596248756755
AM,2020-11-01,-11,-0.00477523551263026
AM,2020-12-01,-10,-0.005155615547389303
AM,2021-01-01,-9,-0.026183498740593336
AM,2021-02-01,-8,-0.008889361059667422
AM,2021-03-01,-7,0.01846102566047758
AM,2021-04-01,-6,9.389019223373651e-4
AM,2021-05-01,-5,1.0628238999998985e-4
AM,2021-06-01,-4,-0.0051941995366791005
AM,2021-07-01,-3,0.022135135150737284
AM,2021-08-01,-2,0.01812585255061805
AM,2021-09-01,-1,-0.019393432022348556
AM,2021-10-01,0,-0.006631338817562948
AM,2021-11-01,1,-0.014832857675247446
AM,2021-12-01,2,-0.015269531848385753
AM,2022-01-01,3,0.032467764466379556
AM,2022-02-01,4,0.034558508542166244
AM,2022-03-01,5,0.023742543159717577
AM,2022-04-01,6,0.018737400734741172
AM,2022-05-01,7,0.017165277990542904
AM,2022-06-01,8,0.003450223014149323
AM,2022-07-01,9,0.0076253693969956515
AM,2022-08-01,10,-0.0017068099626706967
AM,2022-09-01,11,0.00289483000381896
AM,2022-10-01,12,-0.008430993105327467
AM,2022-11-01,13,-0.006174537243492928
AM,2022-12-01,14,-0.004139100986406241
AM,2023-01-01,15,-0.021624922800781654
AM,2023-02-01,16,0.006631795291613507
AM,2023-03-01,17,0.005734507772144681
AM,2023-04-01,18,-3.2982556870564395e-5
AM,2023-05-01,19,-0.027619916435333458
AM,2023-06-01,20,-0.043249193602784786
AM,2023-07-01,21,-0.05471828994597594
AM,2023-08-01,22,-0.06734821085487841
AM,2023-09-01,23,-0.0903959783138788
AP,2019-03-01,-31,-0.013712150327559236
AP,2019-04-01,-30,0.0024408725235716133
AP,2019-05-01,-29,0.015324633991178338
AP,2019-06-01,-28,0.03236191886579842
AP,2019-07-01,-27,0.010875382663438238
AP,2019-08-01,-26,-0.010628318223267819
AP,2019-09-01,-25,0.011925523661226123
AP,2019-10-01,-24,-9.88956146231068e-4
AP,2019-11-01,-23,-0.020160436880556354
AP,2019-12-01,-22,-0.0025154183510167627
AP,2020-01-01,-21,0.016157300611448377
AP,2020-02-01,-20,0.0011442432750889964
AP,2020-03-01,-19,-0.008961070688449091
AP,2020-04-01,-18,-0.00680124860659248
AP,2020-05-01,-17,0.014403776830874016
AP,2020-06-01,-16,-0.008900156453061747
AP,2020-07-01,-15,-0.03390170864237607
AP,2020-08-01,-14,0.011006857620676769
AP,2020-09-01,-13,0.0073640366207516905
AP,2020-10-01,-12,0.0019453776167184245
AP,2020-11-01,-11,-0.02079937587349523
AP,2020-12-01,-10,-0.017251017878583852
AP,2021-01-01,-9,0.005654412740264014
AP,2021-02-01,-8,0.016658665396913186
AP,2021-03-01,-7,-0.015991134665140905
AP,2021-04-01,-6,-0.01299125550163005
AP,2021-05-01,-5,0.017352396363135014
AP,2021-06-01,-4,0.020764647859363272
AP,2021-07-01,-3,0.0025547294624681527
AP,2021-08-01,-2,-0.026048686404812393
AP,2021-09-01,-1,0.009578410073809884
AP,2021-10-01,0,-0.014703210075924567
AP,2021-11-01,1,-0.05927697884456418
AP,2021-12-01,2,-0.06212898611964768
AP,2022-01-01,3,-0.06979357138334574
AP,2022-02-01,4,-0.07224707365739835
AP,2022-03-01,5,-0.06372494146883234
AP,2022-04-01,6,-0.056881079720644045
AP,2022-05-01,7,-0.04320545167287548
AP,2022-06-01,8,-0.02843992173797716
AP,2022-07-01,9,-0.016689518955169902
AP,2022-08-01,10,-0.007854484068104739
AP,2022-09-01,11,5.84601166525367e-4
AP,2022-10-01,12,0.027195280963830726
AP,2022-11-01,13,0.03859741525881866
AP,2022-12-01,14,0.02696728523073766
AP,2023-01-01,15,0.02502770941514676
AP,2023-02-01,16,0.013521990430757747
AP,2023-03-01,17,0.00643052562783808
AP,2023-04-01,18,-0.01852222928282732
AP,2023-05-01,19,-0.0037986690869376005
AP,2023-06-01,20,-0.04096420824121694
