pseudo_treated_state,outcome,short_label,channel_slug,period_date,analysis_period,augmented_gap
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2014-10-01,pre,-0.014028076559075231
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2014-11-01,pre,0.0678449586800085
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2014-12-01,pre,-0.26552620368779856
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-01-01,pre,0.08860666610799228
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-02-01,pre,0.21118966179854226
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-03-01,pre,-0.0018516165824138398
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-04-01,pre,-0.13274729979960398
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-05-01,pre,0.10658277565610064
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-06-01,pre,-0.05653123323802589
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-07-01,pre,-0.06238433959975609
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-08-01,pre,0.11305217991117189
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-09-01,pre,0.0022722361059166474
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-10-01,pre,-0.10063985715750334
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-11-01,pre,-0.014851019241866936
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2015-12-01,pre,0.147006215693267
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2016-06-01,crisis,9.159885052635005
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2016-07-01,crisis,30.337533396932464
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2016-08-01,crisis,30.046742261928603
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2016-09-01,crisis,60.408492909127744
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2016-10-01,crisis,84.10408565383395
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2016-11-01,crisis,53.29680192715287
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2016-12-01,crisis,39.30870455724342
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2017-01-01,crisis,43.58184018425651
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2017-02-01,crisis,19.99297327458028
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2017-03-01,crisis,-17.89521672621278
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2017-04-01,crisis,-27.931195327261364
AC,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6",labor_market,2017-10-01,post,-2.3248412010780832
