dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
AC,2014-10-01,-15,-15,pre,-25.298019942562696
AC,2014-11-01,-14,-14,pre,-16.040535967739338
AC,2014-12-01,-13,-13,pre,3.164231454202696
AC,2015-01-01,-12,-12,pre,-0.5214179027227672
AC,2015-02-01,-11,-11,pre,4.0075416250288285
AC,2015-03-01,-10,-10,pre,4.785081301854078
AC,2015-04-01,-9,-9,pre,1.5344459447153156
AC,2015-05-01,-8,-8,pre,-5.134517241078257
AC,2015-06-01,-7,-7,pre,-26.410397071228672
AC,2015-07-01,-6,-6,pre,-21.218617104183124
AC,2015-08-01,-5,-5,pre,-17.029997958745312
AC,2015-09-01,-4,-4,pre,-18.219524631971964
AC,2015-10-01,-3,-3,pre,-18.955705050866143
AC,2015-11-01,-2,-2,pre,-19.442559775817045
AC,2015-12-01,-1,-1,pre,-25.21779212912149
AC,2016-06-01,5,5,crisis,-23.384976084083647
AC,2016-07-01,6,6,crisis,9.147945983198866
AC,2016-08-01,7,7,crisis,17.03287027565642
AC,2016-09-01,8,8,crisis,32.433303691362184
AC,2016-10-01,9,9,crisis,43.84895903581756
AC,2016-11-01,10,10,crisis,32.0211976391174
AC,2016-12-01,11,11,crisis,31.670791282360597
AC,2017-01-01,12,12,crisis,18.97717028650092
AC,2017-02-01,13,13,crisis,2.9246933081071944
AC,2017-03-01,14,14,crisis,-6.126380564926542
AC,2017-04-01,15,15,crisis,-15.446992809516217
AC,2017-10-01,21,21,post,21.057911140859268
AC,2017-11-01,22,22,post,14.714017253565043
AC,2017-12-01,23,23,post,26.28133230986509
AC,2018-01-01,24,24,post,3.535125118576514
AC,2018-02-01,25,25,post,-9.125084312365317
AC,2018-03-01,26,26,post,-4.108511306050285
AC,2018-04-01,27,27,post,-13.439497170052405
AC,2018-05-01,28,28,post,-14.689971034128943
AC,2018-06-01,29,29,post,-17.24624050095296
AC,2018-07-01,30,30,post,2.406839491864387
AC,2018-08-01,31,31,post,13.622851803654864
AC,2018-09-01,32,32,post,8.408369558597833
AC,2018-10-01,33,33,post,14.282826761241672
AC,2018-11-01,34,34,post,10.667082406210085
AC,2018-12-01,35,35,post,16.348405440348486
AC,2019-01-01,36,36,post,7.385258389598123
AC,2019-02-01,37,37,post,-0.05036617512005037
AC,2019-03-01,38,38,post,10.189256451795288
AC,2019-04-01,39,39,post,16.7669360097037
AC,2019-05-01,40,40,post,33.96921479958825
AC,2019-06-01,41,41,post,27.02961258314064
AC,2019-07-01,42,42,post,42.793410153944514
AC,2019-08-01,43,43,post,50.011209114788414
AC,2019-09-01,44,44,post,42.67901312579209
AC,2019-10-01,45,45,post,27.860268319630034
AC,2019-11-01,46,46,post,14.54043067894569
AC,2019-12-01,47,47,post,1.6368506172077915
