dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
AC,2015-08-01,-11,-11,pre,73.01288984275288
AC,2015-10-01,-10,-10,pre,32.9624423832571
AC,2015-12-01,-9,-9,pre,-8.895471771421398
AC,2016-02-01,-8,-8,pre,38.070009349456996
AC,2016-04-01,-7,-7,pre,-12.283411012920055
AC,2016-06-01,-6,-6,pre,-7.860974927976031
AC,2016-08-01,-5,-5,pre,15.048414783625844
AC,2016-10-01,-4,-4,pre,-53.097160077556055
AC,2016-12-01,-3,-3,pre,-15.317353941644
AC,2017-02-01,-2,-2,pre,-0.2614758291679209
AC,2017-04-01,-1,-1,pre,2.2956319207024762
AC,2018-02-01,4,1,post,40.177427603446176
AC,2018-04-01,5,2,post,16.166027557884263
AC,2018-06-01,6,3,post,-16.785334086507646
AC,2018-08-01,7,4,post,50.85617775196317
AC,2018-10-01,8,5,post,58.85136583082476
AC,2018-12-01,9,6,post,82.30206788594478
AC,2019-02-01,10,7,post,141.04868146711658
AC,2019-04-01,11,8,post,92.853002765945
AC,2019-06-01,12,9,post,89.89514613378685
AC,2019-08-01,13,10,post,113.02033717059703
AC,2019-10-01,14,11,post,87.49502697822129
AC,2019-12-01,15,12,post,75.52539989453066
AL,2015-08-01,-11,-11,pre,87.67942090982012
AL,2015-10-01,-10,-10,pre,40.83712224321607
AL,2015-12-01,-9,-9,pre,-19.213054072589102
AL,2016-02-01,-8,-8,pre,14.985066737797752
AL,2016-04-01,-7,-7,pre,-32.66506859080289
AL,2016-06-01,-6,-6,pre,-22.28894739811085
AL,2016-08-01,-5,-5,pre,18.127198037503945
AL,2016-10-01,-4,-4,pre,-45.6463979440515
AL,2016-12-01,-3,-3,pre,-15.763896795293135
AL,2017-02-01,-2,-2,pre,-9.050388087780675
AL,2017-04-01,-1,-1,pre,-10.951112083200542
AL,2018-02-01,4,1,post,12.049740872694656
AL,2018-04-01,5,2,post,-10.064885942825185
AL,2018-06-01,6,3,post,-34.03269278318692
AL,2018-08-01,7,4,post,39.71653758012576
AL,2018-10-01,8,5,post,45.5348208893796
AL,2018-12-01,9,6,post,63.73587291064109
AL,2019-02-01,10,7,post,116.92574373717196
AL,2019-04-01,11,8,post,70.19586312143565
AL,2019-06-01,12,9,post,71.7709227553205
AL,2019-08-01,13,10,post,90.4196354562315
AL,2019-10-01,14,11,post,63.96367034154457
AL,2019-12-01,15,12,post,65.17561846992544
AP,2015-08-01,-11,-11,pre,116.0193041437501
AP,2015-10-01,-10,-10,pre,52.82017964007787
AP,2015-12-01,-9,-9,pre,-32.203433097650304
AP,2016-02-01,-8,-8,pre,-37.16460526880678
AP,2016-04-01,-7,-7,pre,-80.5536194622731
AP,2016-06-01,-6,-6,pre,-57.42333078934962
AP,2016-08-01,-5,-5,pre,22.425613825935216
AP,2016-10-01,-4,-4,pre,-25.047950477426753
AP,2016-12-01,-3,-3,pre,0.7104053503995829
AP,2017-02-01,-2,-2,pre,-14.49972219230574
AP,2017-04-01,-1,-1,pre,-23.09606210381412
AP,2018-02-01,4,1,post,-28.714023430314683
AP,2018-04-01,5,2,post,-58.34684512992533
AP,2018-06-01,6,3,post,-55.19904011784308
AP,2018-08-01,7,4,post,28.436982161498918
AP,2018-10-01,8,5,post,28.63817669223556
AP,2018-12-01,9,6,post,61.176078912399134
AP,2019-02-01,10,7,post,76.49730935003083
AP,2019-04-01,11,8,post,32.84764024560752
AP,2019-06-01,12,9,post,48.56932879320641
AP,2019-08-01,13,10,post,36.60830663423644
AP,2019-10-01,14,11,post,32.290456714418724
AP,2019-12-01,15,12,post,85.82368483615346
BA,2015-08-01,-11,-11,pre,78.23911945164002
BA,2015-10-01,-10,-10,pre,41.08263692024639
BA,2015-12-01,-9,-9,pre,-2.775200707167869
BA,2016-02-01,-8,-8,pre,44.850757253531015
BA,2016-04-01,-7,-7,pre,4.826984635394979
BA,2016-06-01,-6,-6,pre,1.0929589619643139
BA,2016-08-01,-5,-5,pre,21.56023973863421
BA,2016-10-01,-4,-4,pre,-46.843285295399255
BA,2016-12-01,-3,-3,pre,-39.86302243867567
BA,2017-02-01,-2,-2,pre,-26.987622084249892
BA,2017-04-01,-1,-1,pre,-33.762295287811526
BA,2018-02-01,4,1,post,7.684077978217374
BA,2018-04-01,5,2,post,-9.772081856160185
BA,2018-06-01,6,3,post,-45.59920259240516
BA,2018-08-01,7,4,post,36.200595213827
BA,2018-10-01,8,5,post,47.83631192600285
BA,2018-12-01,9,6,post,64.24940765940983
BA,2019-02-01,10,7,post,134.5057962300873
BA,2019-04-01,11,8,post,105.02813300408536
BA,2019-06-01,12,9,post,78.18636038724298
BA,2019-08-01,13,10,post,115.2107548490693
BA,2019-10-01,14,11,post,91.61280122140636
BA,2019-12-01,15,12,post,49.66892969322225
CE,2015-08-01,-11,-11,pre,87.6333018539816
CE,2015-10-01,-10,-10,pre,40.90072538165691
CE,2015-12-01,-9,-9,pre,-18.97050627954377
CE,2016-02-01,-8,-8,pre,15.29631332335191
CE,2016-04-01,-7,-7,pre,-32.30583057276294
CE,2016-06-01,-6,-6,pre,-21.968741432018305
CE,2016-08-01,-5,-5,pre,18.236418353601266
CE,2016-10-01,-4,-4,pre,-45.53185630810731
CE,2016-12-01,-3,-3,pre,-15.866002237628663
CE,2017-02-01,-2,-2,pre,-9.136419634412846
CE,2017-04-01,-1,-1,pre,-11.131930281340374
CE,2018-02-01,4,1,post,11.986552347893507
CE,2018-04-01,5,2,post,-10.007339524156691
CE,2018-06-01,6,3,post,-34.0835488554485
CE,2018-08-01,7,4,post,39.7088677175866
CE,2018-10-01,8,5,post,45.58777246299098
CE,2018-12-01,9,6,post,63.63934777509235
CE,2019-02-01,10,7,post,116.82846916159917
CE,2019-04-01,11,8,post,70.22229507823988
CE,2019-06-01,12,9,post,71.74313535366866
CE,2019-08-01,13,10,post,90.56533912038037
CE,2019-10-01,14,11,post,64.173873495355
CE,2019-12-01,15,12,post,64.9196112437644
DF,2015-08-01,-11,-11,pre,91.86389735857767
DF,2015-10-01,-10,-10,pre,41.25057317743381
DF,2015-12-01,-9,-9,pre,-2.193110186803324
DF,2016-02-01,-8,-8,pre,23.24931659169704
DF,2016-04-01,-7,-7,pre,-19.728426822200845
DF,2016-06-01,-6,-6,pre,-18.669637904977776
DF,2016-08-01,-5,-5,pre,7.9469833456035985
DF,2016-10-01,-4,-4,pre,-53.493787700257826
DF,2016-12-01,-3,-3,pre,-29.694194922905467
DF,2017-02-01,-2,-2,pre,-28.71587736430854
DF,2017-04-01,-1,-1,pre,-58.00588339586591
DF,2018-02-01,4,1,post,-21.11151980421255
DF,2018-04-01,5,2,post,-50.06407471037028
DF,2018-06-01,6,3,post,-81.59797214415391
DF,2018-08-01,7,4,post,0.12548678732730423
DF,2018-10-01,8,5,post,18.967158497361197
DF,2018-12-01,9,6,post,55.447623375998774
DF,2019-02-01,10,7,post,95.297990880018
DF,2019-04-01,11,8,post,46.62218393383364
DF,2019-06-01,12,9,post,33.11183633927976
DF,2019-08-01,13,10,post,50.57107559614542
DF,2019-10-01,14,11,post,26.094835555492637
DF,2019-12-01,15,12,post,5.876422497601652
ES,2015-08-01,-11,-11,pre,88.03108924270418
ES,2015-10-01,-10,-10,pre,41.186125361401196
ES,2015-12-01,-9,-9,pre,-19.002645741718652
ES,2016-02-01,-8,-8,pre,15.002143469336033
ES,2016-04-01,-7,-7,pre,-32.59380845463659
ES,2016-06-01,-6,-6,pre,-22.153582612015157
ES,2016-08-01,-5,-5,pre,18.37976825103567
ES,2016-10-01,-4,-4,pre,-45.28978454538117
ES,2016-12-01,-3,-3,pre,-15.578013016796717
ES,2017-02-01,-2,-2,pre,-8.999568351427342
ES,2017-04-01,-1,-1,pre,-10.994165536828632
ES,2018-02-01,4,1,post,11.858655587865996
ES,2018-04-01,5,2,post,-10.192337288116619
ES,2018-06-01,6,3,post,-34.07687991355351
ES,2018-08-01,7,4,post,39.75015558689927
ES,2018-10-01,8,5,post,45.57928270493187
ES,2018-12-01,9,6,post,63.68980211780968
ES,2019-02-01,10,7,post,116.76024983090429
ES,2019-04-01,11,8,post,70.10274537695352
ES,2019-06-01,12,9,post,71.73172393633843
ES,2019-08-01,13,10,post,90.3525549961978
ES,2019-10-01,14,11,post,63.93946853156899
ES,2019-12-01,15,12,post,65.19576758527205
GO,2015-08-01,-11,-11,pre,87.72299901748352
GO,2015-10-01,-10,-10,pre,40.93072927159744
GO,2015-12-01,-9,-9,pre,-19.082604422707846
GO,2016-02-01,-8,-8,pre,15.096687642696338
GO,2016-04-01,-7,-7,pre,-32.523243542893965
GO,2016-06-01,-6,-6,pre,-22.145650372142995
GO,2016-08-01,-5,-5,pre,18.21680946069455
GO,2016-10-01,-4,-4,pre,-45.527258297682806
GO,2016-12-01,-3,-3,pre,-15.76976634890218
GO,2017-02-01,-2,-2,pre,-9.078189453107598
GO,2017-04-01,-1,-1,pre,-11.02994136185589
GO,2018-02-01,4,1,post,11.992132977867414
GO,2018-04-01,5,2,post,-10.064348590795476
GO,2018-06-01,6,3,post,-34.05478398408695
GO,2018-08-01,7,4,post,39.7264732151516
GO,2018-10-01,8,5,post,45.56851072708537
GO,2018-12-01,9,6,post,63.694635711697174
GO,2019-02-01,10,7,post,116.8524259269874
GO,2019-04-01,11,8,post,70.19393934570189
GO,2019-06-01,12,9,post,71.76320214882367
GO,2019-08-01,13,10,post,90.46881538329194
GO,2019-10-01,14,11,post,64.04937062329418
GO,2019-12-01,15,12,post,65.09397711214342
MA,2015-08-01,-11,-11,pre,87.71533695668722
MA,2015-10-01,-10,-10,pre,41.218645792897405
MA,2015-12-01,-9,-9,pre,-18.501670712558052
MA,2016-02-01,-8,-8,pre,15.692705220785683
MA,2016-04-01,-7,-7,pre,-31.796809503618192
MA,2016-06-01,-6,-6,pre,-21.448850216696428
MA,2016-08-01,-5,-5,pre,18.54182795537065
MA,2016-10-01,-4,-4,pre,-45.096765604632424
MA,2016-12-01,-3,-3,pre,-15.921942274845605
MA,2017-02-01,-2,-2,pre,-9.261592470272149
MA,2017-04-01,-1,-1,pre,-11.421561486379801
MA,2018-02-01,4,1,post,11.830136750606698
MA,2018-04-01,5,2,post,-9.95244437752774
MA,2018-06-01,6,3,post,-34.120520822951676
MA,2018-08-01,7,4,post,39.78159066661385
