dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
AC,2015-02-01,-6,-6,pre,86.33842521468193
AC,2015-04-01,-5,-5,pre,6.177931417860918
AC,2015-06-01,-4,-4,pre,35.41891511572567
AC,2015-08-01,-3,-3,pre,68.77145999600316
AC,2015-10-01,-2,-2,pre,-18.12102489285894
AC,2015-12-01,-1,-1,pre,-210.1041626514616
AC,2016-02-01,0,0,crisis,156.51302987436713
AC,2016-04-01,1,1,crisis,-96.75378034796631
AC,2016-06-01,2,2,crisis,50.65639771482313
AC,2016-08-01,3,3,crisis,-80.14231701971755
AC,2016-10-01,4,4,crisis,-52.0725967251542
AC,2016-12-01,5,5,crisis,-11.626205782316902
AC,2017-02-01,6,6,crisis,76.68724270014513
AC,2017-04-01,7,7,crisis,-35.01302812608503
AC,2017-06-01,8,8,post,55.24740829799532
AC,2017-08-01,9,9,post,79.73733393491091
AC,2017-10-01,10,10,post,92.74375051180607
AC,2017-12-01,11,11,post,-143.28061852680207
AC,2018-02-01,12,12,post,126.82762533445168
AC,2018-04-01,13,13,post,-17.08007550628008
AC,2018-06-01,14,14,post,-8.902666693160427
AC,2018-08-01,15,15,post,135.00804154487435
AC,2018-10-01,16,16,post,120.48247617489744
AC,2018-12-01,17,17,post,76.31157679191438
AC,2019-02-01,18,18,post,129.82922277422995
AC,2019-04-01,19,19,post,51.00983333823706
AC,2019-06-01,20,20,post,165.18615334250308
AC,2019-08-01,21,21,post,114.83539154113066
AC,2019-10-01,22,22,post,82.62375324769437
AC,2019-12-01,23,23,post,74.4164603357724
AL,2015-02-01,-6,-6,pre,79.94017924612001
AL,2015-04-01,-5,-5,pre,1.1629013300162114
AL,2015-06-01,-4,-4,pre,35.8853232358897
AL,2015-08-01,-3,-3,pre,69.71945121365945
AL,2015-10-01,-2,-2,pre,-20.234470675031275
AL,2015-12-01,-1,-1,pre,-225.507151852815
AL,2016-02-01,0,0,crisis,148.7560414056651
AL,2016-04-01,1,1,crisis,-100.55389842160844
AL,2016-06-01,2,2,crisis,46.11098799911838
AL,2016-08-01,3,3,crisis,-81.82052045036619
AL,2016-10-01,4,4,crisis,-56.69211002711813
AL,2016-12-01,5,5,crisis,-16.179610621987194
