dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
AC,2014-10-01,-15,-15,pre,0.01201600002158898
AC,2014-11-01,-14,-14,pre,-0.26481568053144144
AC,2014-12-01,-13,-13,pre,-0.41913015895036665
AC,2015-01-01,-12,-12,pre,-0.26423538626723087
AC,2015-02-01,-11,-11,pre,-0.25830512388451154
AC,2015-03-01,-10,-10,pre,-0.902846514715705
AC,2015-04-01,-9,-9,pre,-0.8955620229395862
AC,2015-05-01,-8,-8,pre,-0.8663326178368607
AC,2015-06-01,-7,-7,pre,-0.8356014234165912
AC,2015-07-01,-6,-6,pre,-1.3342852428938983
AC,2015-08-01,-5,-5,pre,-0.700939830606444
AC,2015-09-01,-4,-4,pre,0.25748133352372804
AC,2015-10-01,-3,-3,pre,0.8093151707569888
AC,2015-11-01,-2,-2,pre,1.043166993289958
AC,2015-12-01,-1,-1,pre,1.3334240407359772
AC,2016-06-01,5,5,crisis,-3.996875597923605
AC,2016-07-01,6,6,crisis,-3.5292967643217708
AC,2016-08-01,7,7,crisis,-2.431016178100009
AC,2016-09-01,8,8,crisis,-1.6417354789170133
AC,2016-10-01,9,9,crisis,-0.831428014519048
AC,2016-11-01,10,10,crisis,-1.1780676321660195
AC,2016-12-01,11,11,crisis,0.14153074734483084
AC,2017-01-01,12,12,crisis,0.6023664225043035
AC,2017-02-01,13,13,crisis,0.36295682864538037
AC,2017-03-01,14,14,crisis,0.24939974784669516
AC,2017-04-01,15,15,crisis,0.8430199526384285
AC,2017-10-01,21,21,post,4.846285987566262
AC,2017-11-01,22,22,post,5.787600903207263
AC,2017-12-01,23,23,post,7.106378465038219
AC,2018-01-01,24,24,post,7.232199855622156
AC,2018-02-01,25,25,post,7.586256898788548
AC,2018-03-01,26,26,post,7.426732335324033
AC,2018-04-01,27,27,post,6.380504862522287
AC,2018-05-01,28,28,post,6.401399607151305
AC,2018-06-01,29,29,post,5.084996327449886
AC,2018-07-01,30,30,post,4.466669652690896
AC,2018-08-01,31,31,post,3.6241072723603622
