period,period_date,analysis_period,icms_revenue_cumulative_nominal,icms_revenue_nominal,icms_revenue_real,resident_population_annual,icms_revenue_real_pc,icms_revenue_real_pc_ma4_v5
2015B1,2015-02-01,pre,1062698496.73,1062698496.73,1940310989.973364,3938336,492.6727912431453,
2015B2,2015-04-01,pre,2069342052.74,1006643556.01,1801227989.647578,3938336,457.3576225206732,
2015B3,2015-06-01,pre,3149903355.47,1080561302.7299998,1904245533.7114096,3938336,483.5152545926528,
2015B4,2015-08-01,pre,4184930391.3,1035027035.8300004,1808785735.3589337,3938336,459.2766425614609,473.205577729483
2015B5,2015-10-01,pre,5280319255.67,1095388864.37,1888508130.7668748,3938336,479.51930225528616,469.9172054825183
2015B6,2015-12-01,pre,6269263180.83,988943925.1599998,1671894689.154566,3938336,424.518042430754,461.70731046003846
2016B1,2016-02-01,pre,976578837.91,976578837.91,1615746005.3536935,4001667,403.7682309281841,441.77055454392126
2016B2,2016-04-01,pre,1957957763.99,981378926.08,1606933024.349172,4001667,401.56590349701065,427.34286977780874
2016B3,2016-06-01,pre,2909443416.28,951485652.2900002,1540537567.9681191,4001667,384.97395409666,403.7065327381522
2016B4,2016-08-01,pre,3869798996.4,960355580.12,1540077652.2658472,4001667,384.85902306859793,393.7917778976132
2016B5,2016-10-01,pre,4968177932.68,1098378936.2800002,1755445195.963514,4001667,438.6784797344492,402.51934009917943
2016B6,2016-12-01,pre,5995901756.54,1027723823.8599997,1634667726.445276,4001667,408.496690615505,404.25203687880304
2017B1,2017-02-01,pre,1025494356.39,1025494356.39,1619601225.3710785,4063614,398.56177908902725,407.6489931268948
2017B2,2017-04-01,pre,2033528927.56,1008034571.17,1585837522.2056658,4063614,390.25299209168634,408.9974853826669
2017B3,2017-06-01,event,3180842492.06,1147313564.5,1803520311.1918008,4063614,443.82175846224584,
2017B4,2017-08-01,post,4371429242.46,1190586750.4,1863522287.71601,4063614,458.587426787094,
2017B5,2017-10-01,post,5632470617.3,1261041374.8400002,1962403846.7622793,4063614,482.9208302664277,
2017B6,2017-12-01,post,6872918796.08,1240448178.7799995,1916532628.425527,4063614,471.63254886549936,
2018B1,2018-02-01,post,1298715305.04,1298715305.04,1994371442.729464,4080611,488.7433383700294,475.4710360722626
2018B2,2018-04-01,post,2587226081.92,1288510776.88,1972583522.876675,4080611,483.4039615333769,481.67516975883336
2018B3,2018-06-01,post,3838421882.55,1251195800.63,1884085890.1066787,4080611,461.7166130529665,476.374115455468
2018B4,2018-08-01,post,5119983814.86,1281561932.3099997,1925194159.3495705,4080611,471.7906606019467,476.4136433895799
2018B5,2018-10-01,post,6465206750.46,1345222935.6000004,2002165979.6895597,4080611,490.6534780427636,476.8911783077634
2018B6,2018-12-01,post,7884878254.19,1419671503.7299995,2114247612.1029472,4080611,518.1203530801998,485.5702761944691
2019B1,2019-02-01,post,1378790371.36,1378790371.36,2038053787.847661,4144597,491.73750496071415,493.0754991714061
2019B2,2019-04-01,post,2631154600.82,1252364229.4600005,1826984432.388604,4144597,440.8111168320114,485.33061322892223
2019B3,2019-06-01,post,3982484929.27,1351330328.4499998,1968602852.2949057,4144597,474.9805233886203,481.4123745653864
2019B4,2019-08-01,post,5375155743.05,1392670813.7800002,2022752281.9322865,4144597,488.0455884932326,473.8936834186446
2019B5,2019-10-01,post,6866858049.91,1491702306.8599997,2165288248.7939534,4144597,522.4363789275419,481.5684019103515
2019B6,2019-12-01,post,8563121878.99,1696263829.08,2421873541.550923,4144597,584.3447605523343,517.4518128404322
