period,period_date,analysis_period,liquidated_expenditure_total_nominal,liquidated_expenditure_total_real,resident_population_annual,liquidated_expenditure_total_real_pc,liquidated_expenditure_total_real_pc_ma4_v5,original_liquidated_expenditure_total_missing,liquidated_expenditure_total_recovered_from_raw,liquidated_expenditure_total_imputed_adjacent_mean,liquidated_expenditure_total_imputation_method
2015B1,2015-02-01,pre,1952873836.69,3565623343.799435,3938336,905.36291057935,,FALSE,FALSE,FALSE,
2015B2,2015-04-01,pre,2297539152.46,4111079640.86646,3938336,1043.8620881678098,,FALSE,FALSE,FALSE,
2015B3,2015-06-01,pre,2405340432.86,4238869895.448791,3938336,1076.3098667682978,,FALSE,FALSE,FALSE,
2015B4,2015-08-01,pre,2434206033.9699993,4253953760.385394,3938336,1080.1398764314151,1026.4186854867182,FALSE,FALSE,FALSE,
2015B5,2015-10-01,pre,2137590427.8999996,3685318551.837154,3938336,935.7552407507012,1034.016768029556,FALSE,FALSE,FALSE,
2015B6,2015-12-01,pre,2508634205.8900013,4241061701.431055,3938336,1076.8663977454069,1042.2678454239554,FALSE,FALSE,FALSE,
2016B1,2016-02-01,crisis,1935840084.32,3202840120.862677,4001667,800.376473320413,,FALSE,FALSE,FALSE,
2016B2,2016-04-01,crisis,2205237143.49,3610907365.3642344,4001667,902.350786650722,,FALSE,FALSE,FALSE,
2016B3,2016-06-01,crisis,2383891479.74,3859726495.780368,4001667,964.529656210866,,FALSE,FALSE,FALSE,
2016B4,2016-08-01,crisis,2253865517.0299997,3614419477.373977,4001667,903.2284488874204,892.6213412673553,FALSE,FALSE,FALSE,
2016B5,2016-10-01,crisis,2013689762.3999996,3218308274.8637695,4001667,804.2419009037408,893.5876981631873,FALSE,FALSE,FALSE,
2016B6,2016-12-01,crisis,3144621204.17,5001743342.920136,4001667,1249.9149336814223,980.4787349208624,FALSE,FALSE,FALSE,
2017B1,2017-02-01,crisis,1777222740.64,2806833709.578432,4063614,690.7235061151064,912.0271973969224,FALSE,FALSE,FALSE,
2017B2,2017-04-01,crisis,2157570277.96,3394284284.9262247,4063614,835.2870831053896,895.0418559514147,FALSE,FALSE,FALSE,
2017B3,2017-06-01,post,2465129605.43,3875062102.181949,4063614,953.5999487603766,,FALSE,FALSE,FALSE,
2017B4,2017-08-01,post,2468841788.5600004,3864264150.663959,4063614,950.9427201166152,,FALSE,FALSE,FALSE,
2017B5,2017-10-01,post,2440486164.99,3797828948.1216664,4063614,934.5939225826238,,FALSE,FALSE,FALSE,
2017B6,2017-12-01,post,2754732364.58,4256150760.356535,4063614,1047.3806715786825,971.6293157595744,FALSE,FALSE,FALSE,
2018B1,2018-02-01,post,2077663669.6,3190563069.6476016,4080611,781.8836614535426,928.700243932866,FALSE,FALSE,FALSE,
2018B2,2018-04-01,post,2313000432.18,3540976624.171311,4080611,867.7564767068733,907.9036830804304,FALSE,FALSE,FALSE,
2018B3,2018-06-01,post,2501466044.4400005,3766778050.675442,4080611,923.0916768776642,905.0281216541906,FALSE,FALSE,FALSE,
2018B4,2018-08-01,post,3004627679.96,4513626313.83141,4080611,1106.1153130821365,919.711782030054,FALSE,FALSE,FALSE,
2018B5,2018-10-01,post,2770791934.2199993,4123915226.749508,4080611,1010.6121918383076,976.8939146262454,FALSE,FALSE,FALSE,
2018B6,2018-12-01,post,3657875485.040001,5447495768.772265,4080611,1334.970613168534,1093.6974487416603,FALSE,FALSE,FALSE,
2019B1,2019-02-01,post,2229463918.52,3295473683.5937805,4144597,795.1252398227814,1061.70583947794,FALSE,FALSE,FALSE,
2019B2,2019-04-01,post,2465813489.19,3597198604.0087094,4144597,867.9248197131614,1002.158216135696,FALSE,FALSE,FALSE,
2019B3,2019-06-01,post,2964891924.9399996,4319221272.031842,4144597,1042.1329919487569,1010.0384161633084,FALSE,FALSE,FALSE,
2019B4,2019-08-01,post,2886339562.6400013,4192196661.9771376,4144597,1011.484750381554,929.1669504665634,FALSE,FALSE,FALSE,
2019B5,2019-10-01,post,2889727021.49,4194598300.934246,4144597,1012.0642129824072,983.40169375647,FALSE,FALSE,FALSE,
2019B6,2019-12-01,post,4104585241.3399982,5860401091.281489,4144597,1413.9857485013597,1119.9169259535197,FALSE,FALSE,FALSE,
