outcome,label,channel,subblock,family,specification,preferred,mean_gap_crisis,mean_gap_post,mean_gap_pre,augmented_rmspe_pre,augmented_rmspe_post,donor_count
formal_hiring_balance_per_100k_wap,Formal hiring balance per 100k working-age population,Formal labor market,,monthly,raw,FALSE,-31.673117172093768,7.959853464808343,-11.243613962853106,31.303816519040794,45.01221359036678,24
formal_hiring_balance_construction_per_100k_wap,Construction hiring balance per 100k working-age population,Formal labor market,,monthly,raw,FALSE,-8.30931473040227,0.5028054551959449,-0.01587907219992451,11.073961362876489,8.5080122030477,24
retail_volume_index,Retail volume index,Household consumption,,monthly,raw,FALSE,2.120090685727959,10.60790627074878,0.07222823255952132,2.2576065694438556,11.838092118802848,24
services_volume_index,Services volume index,Household consumption,,monthly,raw,FALSE,1.9717638081968687,5.982931784097632,-0.21913417626658888,2.1952843008979457,7.613265687680805,24
formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring balance per 100k working-age population, MA6 V5",Formal labor market,,monthly,ma6_v5,TRUE,,4.257436201739653,0.52588116833584575,4.790098283180125,18.3740976574688,24
formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring balance per 100k working-age population, MA6 V5",Formal labor market,,monthly,ma6_v5,TRUE,,0.9929196933803732,-0.06082350471223322,1.6571983310623593,4.995607911715919,24
retail_volume_index_ma6_v5,"Retail volume index, MA6 V5",Household consumption,,monthly,ma6_v5,TRUE,,15.342812142121906,0.00800476646350951,0.4122338170037687,16.01020999024513,24
services_volume_index_ma6_v5,"Services volume index, MA6 V5",Household consumption,,monthly,ma6_v5,TRUE,,4.440291826210129,-0.00965253368520512,0.21439968058818143,4.681362801146478,24
formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring balance per 100k working-age population, MA6 V5",Formal labor market,,monthly,ma6_v5_instability,TRUE,,1.702715161965505,-3.764947484321648,34.08080062731352,36.008689594922274,24
formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring balance per 100k working-age population, MA6 V5",Formal labor market,,monthly,ma6_v5_instability,TRUE,,0.7590486991241189,8.916417378975225,15.495476249161676,4.899184968312498,24
retail_volume_index_ma6_v5,"Retail volume index, MA6 V5",Household consumption,,monthly,ma6_v5_instability,TRUE,,13.08795287517583,0.6111234555177313,2.65827566017004,13.677406166645412,24
services_volume_index_ma6_v5,"Services volume index, MA6 V5",Household consumption,,monthly,ma6_v5_instability,TRUE,,3.0418643359772988,-0.1278102037620665,0.9341681625134368,4.411601042866219,24
state_tax_revenue_real_pc,"Own tax revenue, real per capita",State public finances,revenues,bimonthly_fiscal,raw,FALSE,9.762334476549483,32.46626176341341,0.00241168562799235,0.21190098304084343,60.85180456327233,24
icms_revenue_real_pc,"ICMS revenue, real per capita",State public finances,revenues,bimonthly_fiscal,raw,FALSE,34.18141920536715,42.23766446352624,0.01163936630751598,0.13485248629964774,51.021374991808024,24
public_investment_liquidated_real_pc,"Public investment, liquidated, real per capita",State public finances,expenditures,bimonthly_fiscal,raw,FALSE,-4.422208684116676,13.420458855943831,1.2157486739765896e-4,0.00946888750802412,32.470278363469006,24
liquidated_expenditure_total_real_pc,"Total liquidated expenditure, real per capita",State public finances,expenditures,bimonthly_fiscal,raw,FALSE,-91.33777650555488,20.150158699374256,-0.00734843811635853,0.11157422865697444,100.58961330199864,24
state_tax_revenue_real_pc_ma4_v5,"Own tax revenue, real per capita, MA4 V5",State public finances,revenues,bimonthly_fiscal,ma4_v5,TRUE,,35.1563342868332,4.046731297493848e-4,0.17496649173733042,36.78307846157462,24
icms_revenue_real_pc_ma4_v5,"ICMS revenue, real per capita, MA4 V5",State public finances,revenues,bimonthly_fiscal,ma4_v5,TRUE,,43.19444869063605,5.722030604974035e-4,0.08387642810376089,44.75372887880049,24
public_investment_liquidated_real_pc_ma4_v5,"Public investment, liquidated, real per capita, MA4 V5",State public finances,expenditures,bimonthly_fiscal,ma4_v5,TRUE,,6.798052980184282,-9.155713950225288e-7,0.00347913750321426,15.830602059876776,24
liquidated_expenditure_total_real_pc_ma4_v5,"Total liquidated expenditure, real per capita, MA4 V5",State public finances,expenditures,bimonthly_fiscal,ma4_v5,TRUE,,49.82415493018609,-0.00454106793218174,0.1401910905860753,63.7870551554944,24
