state_abbrev,period,period_date,year,bimester,uf,state_name,macroregion,total_revenue_nominal,total_revenue_real,state_tax_revenue_nominal,state_tax_revenue_real,federal_current_transfers_nominal,federal_capital_transfers_nominal,federal_transfers_nominal,federal_transfers_real,transfer_dependency_ratio,own_revenue_ratio,liquidated_expenditure_total_nominal,liquidated_expenditure_total_real,liquidated_expenditure_health_nominal,liquidated_expenditure_health_real,liquidated_expenditure_education_nominal,liquidated_expenditure_education_real,liquidated_expenditure_public_security_nominal,liquidated_expenditure_public_security_real,public_investment_liquidated_cumulative_nominal,public_investment_liquidated_nominal,public_investment_liquidated_real,public_investment_flow_is_derived,public_investment_negative_flow_flag,ipca_month_code,deflator_base_month,source_system,source_frequency,fiscal_series_version,original_public_investment_missing,investment_recovered_from_raw,public_investment_imputed_adjacent_mean,public_investment_imputation_method,original_liquidated_expenditure_total_missing,liquidated_expenditure_total_recovered_from_raw,liquidated_expenditure_total_flow_is_derived,liquidated_expenditure_total_negative_flow_flag,liquidated_expenditure_total_imputed_adjacent_mean,liquidated_expenditure_total_imputation_method,quarter,icms_revenue_cumulative_nominal,icms_revenue_nominal,icms_revenue_flow_is_derived,icms_revenue_negative_flow_flag,icms_rs_2018_seasonal_imputed,icms_revenue_negative_flow_imputed,resident_population_annual,pnadc_population,fiscal_deflator_factor,icms_revenue_real,icms_revenue_real_pc,state_tax_revenue_real_pc,public_investment_liquidated_real_pc,liquidated_expenditure_total_real_pc,liquidated_expenditure_health_real_pc,liquidated_expenditure_education_real_pc,liquidated_expenditure_public_security_real_pc,original_liquidated_expenditure_health_real_pc_missing,liquidated_expenditure_health_real_pc_imputed_adjacent_mean,original_liquidated_expenditure_education_real_pc_missing,liquidated_expenditure_education_real_pc_imputed_adjacent_mean,original_liquidated_expenditure_public_security_real_pc_missing,liquidated_expenditure_public_security_real_pc_imputed_adjacent_mean,icms_revenue_real_pc_sa,state_tax_revenue_real_pc_sa,public_investment_liquidated_real_pc_sa,liquidated_expenditure_total_real_pc_sa,liquidated_expenditure_health_real_pc_sa,liquidated_expenditure_education_real_pc_sa,liquidated_expenditure_public_security_real_pc_sa,transfer_dependency_ratio_sa,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,pre_instability_clean,instability_start_date,removal_date
AC,2015B1,2015-02-01,2015,1,12,Acre,North,816467799.02,1490734623.4821749,186453327.33,340432814.4329886,,,0,0,0,0.2283658064087751,549535893.16,1003361288.4220386,80867425.4,147650490.4422922,101184913.86,184746850.57538745,65328459,119278918.0993164,24439497.69,24439497.69,44622464.51204279,TRUE,FALSE,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,1,145024367.43,145024367.43,TRUE,FALSE,FALSE,FALSE,803513,568000,1.8258339462640072,264790413.08915827,329.5409197973876,423.68053090987775,55.53421601398209,1248.7181768335279,183.7561936674232,229.92390985010505,148.44678069840364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,320.71648037048357,439.41356256391134,119.87752131075788,1782.491191719807,268.16540846074355,363.41823307449033,178.82649827134813,-0.041563467999226354,FALSE,TRUE,FALSE,,pre,TRUE,2016-01-25,2017-05-04
AC,2015B2,2015-04-01,2015,2,12,Acre,North,835031264.38,1494155181.9928613,181348808.6,324494750.887092,,,0,0,0,0.21717607032911415,672801209.33,1203870389.3534849,124294390.42,222404975.071895,133623478.17,239097888.73816141,63620826.94,113839316.33464336,54984647.7,30545150.01,54655671.133556075,TRUE,FALSE,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,2,280562339.68,135537972.25,TRUE,FALSE,FALSE,FALSE,803513,567000,1.789340406436461,242523570.3533888,301.82905609914064,403.8450540154198,68.0208921741852,1498.258757921135,276.7907614088322,297.56567564950586,141.677006264545,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,312.83300688302467,428.8490129876247,102.57450739191135,1758.2143044318434,293.014589246323,348.740675771461,160.8304820761707,9.835427032156934e-4,FALSE,TRUE,FALSE,,pre,TRUE,2016-01-25,2017-05-04
AC,2015B3,2015-06-01,2015,3,12,Acre,North,755050416.24,1330606027.8296168,158758329.62,279775741.8802442,,,0,0,0,0.21026189272311735,716541243.03,1262742297.2788432,120741340.22,212779374.26352137,160472027.98,282795748.6488689,66322470.96,116878393.47125116,92832610.33,37847962.629999995,66698496.06511631,TRUE,FALSE,201506,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,2,395585748.81,115023409.13,TRUE,FALSE,FALSE,FALSE,803513,567000,1.7622744113641688,202702810.61767071,252.27072943147243,348.190685004778,83.00860852919158,1571.5269040810083,264.8113649231828,351.94918893517456,145.45924393413816,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,285.6814558053523,370.1752453252693,92.07080336719494,1654.1496565829925,269.1199419443446,362.5127262884072,152.1729474013139,-0.021839993587153335,FALSE,TRUE,FALSE,,pre,TRUE,2016-01-25,2017-05-04
AC,2015B4,2015-08-01,2015,4,12,Acre,North,695472488.93,1215389235.0284204,176414778.85,308297778.16817474,,,0,0,0,0.25366176471109314,742423641.1300001,1297439820.5862403,122199661.14,213552879.57138088,163148498.78,285113979.7540106,66977748.46,117048532.84702504,176787328.22,83954717.89,146717033.3514431,TRUE,FALSE,201508,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,3,525518696.31,129932947.5,TRUE,FALSE,FALSE,FALSE,803513,572000,1.7475734186097343,227067365.2526141,282.5932688738255,383.6873556098965,182.5944737066396,1614.7091840284354,265.77401930196635,354.83430853515824,145.6709883312716,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,287.96938658630086,390.7147997810945,160.93677982685114,1552.0801370157346,248.4622054947922,324.6534878143305,144.5642107849183,0.026670946020690152,FALSE,TRUE,FALSE,,pre,TRUE,2016-01-25,2017-05-04
AC,2015B5,2015-10-01,2015,5,12,Acre,North,672868876.72,1160061404.637825,171855527.01,296287985.6025127,,,0,0,0,0.25540715725734775,862130560.3199997,1486358521.5313716,123513856.49,212944397.94939208,152126286.64,262273735.44485015,68059625.13,117338380.56576714,256700336.73,79913008.50999999,137774238.2035034,TRUE,FALSE,201510,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,4,654819892.25,129301195.94,TRUE,FALSE,FALSE,FALSE,803513,575000,1.7240527014605251,222922076.16243368,277.4343117814319,368.7407491882679,171.4648527198731,1849.8251074112945,265.01674266551015,326.4088265464904,146.03171394335516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,276.8191708602717,377.80146303325176,165.60044074434816,1908.859729047595,269.1879269030439,343.9954408779161,156.03206947343958,0.02965097592056762,FALSE,TRUE,FALSE,,pre,TRUE,2016-01-25,2017-05-04
AC,2015B6,2015-12-01,2015,6,12,Acre,North,866025450.25,1464090444.4722817,223198263.51,377335844.7300404,,,0,0,0,0.2577271412122683,1270157522.8800006,2147310441.8425171,169972251.26,287352697.1099632,239330178.2,404608232.789598,92480533.86,156346289.69048744,362537770.08,105837433.35,178927276.08695006,TRUE,FALSE,201512,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,4,817890500.51,163070608.26,TRUE,FALSE,FALSE,FALSE,803513,575000,1.6905859337616869,275684876.5343183,343.09946016345515,469.6076413574396,222.68124608680887,2672.402863229988,357.6204704963867,503.54908108468436,194.5784196279182,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,302.7482710453503,390.7979022519375,142.24426333589884,1799.6458688807897,265.81944162847816,320.9104028191347,129.43789750897523,0.006098003610806784,FALSE,TRUE,FALSE,,pre,TRUE,2016-01-25,2017-05-04
AC,2016B1,2016-02-01,2016,1,12,Acre,North,806219976.99,1333887912.2608936,179559474.74,297080473.96916837,,,0,0,0,0.22271771956132907,570513513.65,943912457.342476,87155301.16,144198117.16997904,110429045.8,182704439.92849812,58318092.44,96487064.06687596,10169268.83,10169268.83,16825016.938319713,TRUE,FALSE,201602,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,1,134352291.12,134352291.12,TRUE,FALSE,FALSE,FALSE,816687,574000,1.6544962297274335,222285359.11328256,272.17937730523755,363.7629519867077,20.601548620609503,1155.7823956331813,176.56472696391523,223.71415233559262,118.14448383147517,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,263.35493787833354,379.4959836407413,84.9448539173853,1689.55541051946,260.9739417572356,357.2084755599779,148.52420140441964,-0.041563467999226354,FALSE,TRUE,FALSE,,crisis,FALSE,2016-01-25,2017-05-04
AC,2016B2,2016-04-01,2016,2,12,Acre,North,738998185.4,1210053076.8444154,190524208.01,311968836.555476,,,0,0,0,0.2578141756963508,736223956.8100001,1205510489.450399,115628164.05,189332285.8470084,144341564.36,236348285.45054537,66484929.23,108863992.85946706,40035651.6,29866382.770000003,48903920.3059612,TRUE,FALSE,201604,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,2,275362799.36,141010508.24,TRUE,FALSE,FALSE,FALSE,816687,582000,1.637423610437482,230893935.51196513,282.72022881711734,381.99314615694385,59.88086048383432,1476.0985413633362,231.8296799716518,289.39885837603066,133.2995295131024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,293.72417960100137,406.99710512914874,94.43447570156047,1736.0540878740446,248.05350780914256,340.5738584979858,152.4530053247281,9.835427032156934e-4,FALSE,TRUE,FALSE,,crisis,FALSE,2016-01-25,2017-05-04
AC,2016B3,2016-06-01,2016,3,12,Acre,North,821849230.22,1330644987.9852755,177577958.89,287514074.7048953,,,0,0,0,0.21607121155599832,785362104.3199999,1271569175.269814,121663517.09,196983757.2192323,160408067.55,259714535.54890335,70723961.36,114508210.5740447,76819804.4,36784152.8,59556724.95732832,TRUE,FALSE,201606,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,2,403978085.82,128615286.45999998,TRUE,FALSE,FALSE,FALSE,816687,582000,1.6190864930652507,208239273.10910398,254.98051653706253,352.0492853503182,72.92478631021226,1556.984714180358,241.19859532382944,318.0098808342772,140.2106444378871,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,288.39124291094237,374.0338456708095,81.98698114821562,1639.6074666823422,245.5071723449912,328.57341818750984,146.92434790506286,-0.021839993587153335,FALSE,TRUE,FALSE,,crisis,FALSE,2016-01-25,2017-05-04
AC,2016B4,2016-08-01,2016,4,12,Acre,North,722930064.77,1159329377.525207,186874593.3,299682108.24748605,,,0,0,0,0.25849608752881803,714258789.51,1145423656.0184886,126840689.35,203408523.9984972,164604614.99,263968778.07930964,64604670.9,103603510.97522368,133785460.48,56965656.08,91353177.60584858,TRUE,FALSE,201608,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,3,536877276.88,132899191.06,TRUE,FALSE,FALSE,FALSE,816687,588000,1.6036535676435693,213124261.88031334,260.9619865141888,366.9485472983971,111.85824876096788,1402.5246587964405,249.06546081729866,323.2190277049955,126.85828349811332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,266.3381042266642,373.9759914695951,90.2005548811794,1339.8956117837397,231.7536470101245,293.03820698416774,125.75150595176002,0.026670946020690152,FALSE,TRUE,FALSE,,crisis,FALSE,2016-01-25,2017-05-04
