donor_state,scm_weight
PB,0.6880651640321086
AP,0.26502857789087103
MA,0.046906258077017565
PR,8.237589490250422e-16
SP,7.846813431196602e-16
MS,2.893740587277648e-16
SC,2.5562142590474496e-16
AL,1.7244287034363952e-16
RO,1.13818804152302e-16
PA,8.478752544854938e-17
RR,6.279808205381994e-17
GO,5.8909549897692e-17
MG,4.4668380879603454e-17
RS,3.9473258191040245e-17
PE,3.859911994508107e-17
SE,3.4465866485050666e-17
DF,1.1858354006526845e-17
AC,1.0906521006147e-17
PI,5.8775154146338e-18
MT,4.7419793641601534e-18
CE,1.069512620808047e-18
BA,0
ES,0
RN,0
