state_abbrev,period_date,formal_hiring_balance,formal_hiring_balance_sa,formal_hiring_balance_construction_sa,retail_volume_index_sa,services_volume_index_sa,state_name,macroregion,uf,year,month,quarter,pnadc_population,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,pre_instability_clean,formal_hiring_balance_sa_per_100k_wap,formal_hiring_balance_construction_sa_per_100k_wap,instability_start_date,removal_date
AC,2013-01-01,-503,-107.756205836545,-92.9924275136731,100,100,Acre,North,12,2013,1,1,540000,FALSE,TRUE,FALSE,,pre,TRUE,-19.95485293269352,-17.220819909939465,2016-01-25,2017-05-04
AC,2013-02-01,-107,-106.375095761766,-83.978058701612,100.54082659853341,100.19128050491892,Acre,North,12,2013,2,1,540000,FALSE,TRUE,FALSE,,pre,TRUE,-19.699091807734444,-15.55149235215037,2016-01-25,2017-05-04
AC,2013-03-01,-328,-95.8959979733067,-72.5365355778022,101.36075240763189,100.45456061936814,Acre,North,12,2013,3,1,540000,FALSE,TRUE,FALSE,,pre,TRUE,-17.758518143204945,-13.432691773667074,2016-01-25,2017-05-04
AC,2013-04-01,420,-78.0186809248565,-58.0723329535334,102.16339848870183,100.84555423359988,Acre,North,12,2013,4,2,546000,FALSE,TRUE,FALSE,,pre,TRUE,-14.289135700523168,-10.635958416398058,2016-01-25,2017-05-04
AC,2013-05-01,571,-54.724545831378,-40.0547505610257,102.84467710257249,101.42107249837491,Acre,North,12,2013,5,2,546000,FALSE,TRUE,FALSE,,pre,TRUE,-10.022810591827472,-7.336034901286758,2016-01-25,2017-05-04
AC,2013-06-01,199,-27.1652321951713,-20.1987923435306,103.38581762671589,102.2193332986987,Acre,North,12,2013,6,2,546000,FALSE,TRUE,FALSE,,pre,TRUE,-4.975317251862875,-3.6994125171301464,2016-01-25,2017-05-04
AC,2013-07-01,105,2.1100045291828,-1.4697517195703,104.16737216235153,103.272821774247,Acre,North,12,2013,7,3,553000,FALSE,TRUE,FALSE,,pre,TRUE,0.38155597272745023,-0.2657778878065642,2016-01-25,2017-05-04
AC,2013-08-01,-47,28.4579341143854,13.5903061085192,105.43232095548805,104.55496318201293,Acre,North,12,2013,8,3,553000,FALSE,TRUE,FALSE,,pre,TRUE,5.146100201516347,2.457559874958264,2016-01-25,2017-05-04
AC,2013-09-01,268,49.7199235934965,24.0985490183095,107.26418406672889,105.98747299668285,Acre,North,12,2013,9,3,553000,FALSE,TRUE,FALSE,,pre,TRUE,8.990944591952351,4.357784632605696,2016-01-25,2017-05-04
AC,2013-10-01,-9,65.8819535186468,29.3028995719902,109.45964231531656,107.46793192352301,Acre,North,12,2013,10,4,556000,FALSE,TRUE,FALSE,,pre,TRUE,11.849272215583957,5.270305678415503,2016-01-25,2017-05-04
AC,2013-11-01,16,75.1682477992475,29.8237578438958,111.55147470293664,108.86468052644328,Acre,North,12,2013,11,4,556000,FALSE,TRUE,FALSE,,pre,TRUE,13.519469028641636,5.363985223722266,2016-01-25,2017-05-04
AC,2013-12-01,-690,77.2779726769681,26.9200258378682,113.0663402142261,110.0573817504671,Acre,North,12,2013,12,4,556000,FALSE,TRUE,FALSE,,pre,TRUE,13.898915949094983,4.8417312658036336,2016-01-25,2017-05-04
AC,2014-01-01,-72,70.2459611279168,19.8650554537048,113.84518049428956,110.96722382481511,Acre,North,12,2014,1,1,554000,FALSE,TRUE,FALSE,,pre,TRUE,12.67977637688029,3.585750081896174,2016-01-25,2017-05-04
AC,2014-02-01,308,54.1013877393846,7.85463118814407,114.07036174968637,111.55605279413095,Acre,North,12,2014,2,1,554000,FALSE,TRUE,FALSE,,pre,TRUE,9.765593454762564,1.4178034635639114,2016-01-25,2017-05-04
AC,2014-03-01,-872,30.0394651384728,-9.73470646657214,114.18776207044586,111.81641663456014,Acre,North,12,2014,3,1,554000,FALSE,TRUE,FALSE,,pre,TRUE,5.422286126078123,-1.7571672322332383,2016-01-25,2017-05-04
AC,2014-04-01,-113,-0.333653873572087,-32.7717749192255,114.77793702533097,111.75300399729615,Acre,North,12,2014,4,2,555000,FALSE,TRUE,FALSE,,pre,TRUE,-0.06011781505803369,-5.90482430977036,2016-01-25,2017-05-04
