donor_state,scm_weight,short_label
MG,0.2713374399897541,Formal hiring
SP,0.21241704241258513,Formal hiring
PE,0.18159350368913943,Formal hiring
RO,0.15408449063713156,Formal hiring
AL,0.10571022014101177,Formal hiring
PE,0.20869628641728785,Construction
MA,0.20222728851858057,Construction
BA,0.20182165935002908,Construction
MS,0.17942478997016895,Construction
GO,0.12184238763358024,Construction
PA,0.26142435706153394,Retail
MT,0.23137846096724052,Retail
ES,0.22358103537730475,Retail
BA,0.2098696822824239,Retail
PB,0.03692675862978463,Retail
AP,0.3403347085498619,Services
MA,0.3044916805977299,Services
PB,0.25502969136883424,Services
AC,0.07443883467860664,Services
SC,0.0216308099299451,Services
BA,0.3487116592916256,Own tax revenue
PA,0.30623537837890336,Own tax revenue
AC,0.1428147533242579,Own tax revenue
DF,0.10079901988288748,Own tax revenue
MS,0.05088505251110804,Own tax revenue
PA,0.276062820182028,ICMS
SP,0.26778048565195,ICMS
AC,0.24310424780922865,ICMS
BA,0.21305244635676465,ICMS
PB,2.6045867045403028e-14,ICMS
PA,0.3128242057978526,Public investment
BA,0.26622856339861234,Public investment
CE,0.09434444938411822,Public investment
RR,0.08959104146666828,Public investment
DF,0.06463435068169761,Public investment
PA,0.4637906189450605,Total expenditure
AC,0.19429799337221004,Total expenditure
BA,0.1058876516029417,Total expenditure
AP,0.08603207408720145,Total expenditure
RN,0.05789156740414107,Total expenditure
