donor_state,scm_weight
RO,0.4397099631836127
RS,0.17418240986621408
SE,0.15546052960441983
DF,0.11631137383688434
PR,0.06987941035452827
PA,0.02846557092471411
AP,0.015990742228483047
MA,3.9979428974519346e-13
CE,3.7562185375834033e-13
SP,2.0265316906785375e-13
PI,9.533007697122801e-14
RN,6.635015301645387e-14
PB,3.6266916365864e-15
MG,1.1781717280961886e-16
ES,2.77118049726045e-17
RJ,2.1959177399415936e-17
AL,1.9562307582644573e-17
MT,6.938893903894215e-18
MS,4.2054354715896715e-30
AC,0
BA,0
GO,0
PE,0
SC,0
