predictor,treated_value,synthetic_value,difference,used_in_scaled_fit
semester_mean_2016S1,-47.666666666666664,-468.309603676443,420.6429370097763,TRUE
semester_mean_2016S2,-67,-2426.713720726018,2359.713720726018,TRUE
semester_mean_2017S1,145,568.3527546458168,-423.35275464581684,TRUE
semester_mean_2017S2,154.5,-926.2757387635314,1080.7757387635315,TRUE
semester_mean_2018S1,-79.66666666666667,1360.772059545919,-1440.4387262125858,TRUE
semester_mean_2018S2,202.8,1594.7962997449063,-1391.9962997449063,TRUE
mean_formalization_rate_pnadc,0.5626363636363636,0.5620314084800508,6.049551563127586e-4,TRUE
mean_retail_volume_index,77.11465942857143,80.18450701898566,-3.069847590414227,TRUE
mean_services_volume_index,82.88908942857142,88.29288728605718,-5.403797857485756,TRUE
mean_unemployment_rate_pnadc,0.10127272727272728,0.09995687483143614,0.0013158524412911349,TRUE
