period_date,analysis_period,treated_value,synthetic_value,gap
2016-01-01,pre,-84,-34.1303657281611,-49.8696342718389
2016-02-01,pre,-167,40.34128782516359,-207.3412878251636
2016-03-01,pre,53,-707.4136852728252,760.4136852728252
2016-04-01,pre,-11,-884.3109411302624,873.3109411302624
2016-05-01,pre,-54,-1218.945189443135,1164.945189443135
2016-06-01,pre,-286,-1990.658802949732,1704.658802949732
2016-07-01,pre,-292,-2167.331477762347,1875.3314777623468
2016-08-01,pre,-146,-1067.4078354651328,921.4078354651328
2016-09-01,pre,-21,524.9863858909082,-545.9863858909082
2016-10-01,pre,-164,1291.293036086148,-1455.293036086148
2016-11-01,pre,-144,368.3398774298311,-512.3398774298312
2016-12-01,pre,-402,-6832.973087505172,6430.973087505172
2017-01-01,pre,-54,-5475.784305267534,5421.784305267534
2017-02-01,pre,47,-4109.6702142957765,4156.6702142957765
2017-03-01,pre,-384,-5114.639009028591,4730.639009028591
2017-04-01,pre,67,-5262.16105863461,5329.16105863461
2017-05-01,pre,357,-4781.499362881077,5138.499362881077
2017-06-01,pre,870,3442.746165375431,-2572.746165375431
2017-07-01,pre,627,1516.5007912940869,-889.5007912940869
2017-08-01,pre,878,-501.848882865742,1379.8488828657419
2017-09-01,pre,1499,304.2363023373948,1194.7636976626052
2017-10-01,pre,1303,1222.157628386075,80.84237161392502
2017-11-01,pre,1179,940.7804455708068,238.21955442919318
2017-12-01,pre,927,-5612.284274649025,6539.284274649025
2018-01-01,pre,1004,-2396.7785548601546,3400.7785548601546
2018-02-01,pre,540,497.62206673587525,42.37793326412475
2018-03-01,pre,3,-251.20473664686858,254.20473664686858
2018-04-01,pre,64,124.62305056525562,-60.623050565255625
2018-05-01,pre,-437,916.06235362363,-1353.0623536236299
2018-06-01,pre,-478,7357.017625585961,-7835.017625585961
2018-07-01,pre,-685,5778.71267346231,-6463.71267346231
2018-08-01,pre,-501,3628.1524135219306,-4129.152413521931
2018-09-01,pre,126,3262.392166525889,-3136.392166525889
2018-10-01,pre,162,3221.6626125246494,-3059.6626125246494
2018-11-01,pre,744,4744.836000120661,-4000.836000120661
2019-01-01,post,714,9752.040576669562,-9038.040576669562
2019-02-01,post,583,13190.513662220079,-12607.513662220079
2019-03-01,post,524,11774.589772032448,-11250.589772032448
2019-04-01,post,51,15401.313865505486,-15350.313865505486
2019-05-01,post,30,14236.574339293085,-14206.574339293085
2019-06-01,post,0,13880.301887701138,-13880.301887701138
2019-07-01,post,553,9826.356282683708,-9273.356282683708
2019-08-01,post,1075,7151.529151915725,-6076.529151915725
2019-09-01,post,1604,9425.157220290703,-7821.157220290703
2019-10-01,post,1694,8320.06841670244,-6626.068416702439
2019-11-01,post,2198,8483.157430086387,-6285.157430086387
2019-12-01,post,1833,928.6565460277887,904.3434539722113
2020-01-01,post,1961,3695.347324466102,-1734.3473244661018
2020-02-01,post,2442,7865.93412417057,-5423.93412417057
2020-03-01,post,2244,4158.2358678628725,-1914.2358678628725
2020-04-01,post,598,-11629.362193953573,12227.362193953573
2020-05-01,post,-470,-17105.981188751186,16635.981188751186
2020-06-01,post,-324,-9522.562828208433,9198.562828208433
2020-07-01,post,-530,-9766.106270742463,9236.106270742463
2020-08-01,post,-648,-11915.921937827497,11267.921937827497
2020-09-01,post,126,-5458.0473619672775,5584.0473619672775
2020-10-01,post,2162,14640.499581180022,-12478.499581180022
2020-11-01,post,3612,25622.752393985735,-22010.752393985735
2020-12-01,post,3783,19900.574035440055,-16117.574035440055
