period_date,analysis_period,treated_value,synthetic_value,gap,outcome,period_variance,period_se,gap_lower,gap_upper,a_star,b_star
2016-01-01,pre,-84,-0.12504709156235094,-83.87495290843765,formal_hiring_balance,3162947.5218286314,1778.467745512589,-3569.6076817792577,3401.8577759623827,0,0.2
2016-02-01,pre,-83,-384.55182201765365,301.55182201765365,formal_hiring_balance,7013703.703262328,2648.3398013212595,-4889.098807395976,5492.202451431283,0,0.2
2016-03-01,pre,220,103.81253310322074,116.18746689677926,formal_hiring_balance,7500549.644130389,2738.713136516928,-5251.591644663126,5483.966578456685,0,0.2
2016-04-01,pre,-64,216.5367857749655,-280.5367857749655,formal_hiring_balance,1356599.9639084833,1164.7317132749856,-2563.36899544557,2002.2954238956388,0,0.2
2016-05-01,pre,-43,-133.18328527642717,90.18328527642717,formal_hiring_balance,1937938.2069206173,1392.0984903808412,-2638.2796188025995,2818.646189355454,0,0.2
2016-06-01,pre,-232,-508.4633773174047,276.4633773174047,formal_hiring_balance,11120401.936721902,3334.726665968577,-6259.480786266336,6812.407540901145,0,0.2
2016-07-01,pre,-90,-165.31563644783483,75.31563644783483,formal_hiring_balance,2600711.8776587383,1612.6722784430624,-3085.4639481667164,3236.0952210623864,0,0.2
2016-08-01,pre,63,224.5542482603915,-161.5542482603915,formal_hiring_balance,2498449.402705313,1580.6484121098256,-3259.568208216074,2936.459711695291,0,0.2
2016-09-01,pre,345,332.9478964568083,12.05210354319172,formal_hiring_balance,3417856.7040594136,1848.7446292171921,-3611.4207863343604,3635.5249934207436,0,0.2
2016-10-01,pre,-207,-497.16677241246293,290.16677241246293,formal_hiring_balance,6775752.062753309,2603.02748021478,-4811.673339576553,5392.006884401479,0,0.2
2016-11-01,pre,-23,-700.000640768604,677.000640768604,formal_hiring_balance,4804700.677577225,2191.9627454811416,-3619.16739582797,4973.168677365178,0,0.2
2016-12-01,pre,-490,437.05435508469463,-927.0543550846946,formal_hiring_balance,44134489.771256365,6643.379393897082,-13947.838702758505,12093.729992589117,0,0.2
2017-01-01,pre,258,-48.292248466860144,306.29224846686014,formal_hiring_balance,6207952.519993192,2491.5763122957305,-4577.107588365893,5189.692085299613,0,0.2
2017-02-01,pre,164,524.3581761508069,-360.3581761508069,formal_hiring_balance,6127595.97011341,2475.398143756557,-5212.049385310961,4491.333033009348,0,0.2
2017-03-01,pre,-86,18.235574722744303,-104.2355747227443,formal_hiring_balance,4106196.60583837,2026.3752381625595,-4075.8580606851347,3867.386911239646,0,0.2
2017-04-01,pre,244,-257.1089154239544,501.1089154239544,formal_hiring_balance,4553314.8131531,2133.8497634915866,-3681.1597694388665,4683.377600286775,0,0.2
2017-05-01,pre,267,240.59442852395904,26.40557147604096,formal_hiring_balance,5043294.853852207,2245.728134448203,-4375.140691110761,4427.951834062842,0,0.2
2017-06-01,pre,23,-71.59903144473259,94.59903144473259,formal_hiring_balance,3469757.730582973,1862.728571365934,-3556.281881406245,3745.47994429571,0,0.2
2017-07-01,pre,15,-27.98406944208091,42.98406944208091,formal_hiring_balance,18965087.29492934,4354.892340222585,-8492.448073943535,8578.416212827695,0,0.2
2017-08-01,pre,415,256.9631038606666,158.0368961393334,formal_hiring_balance,2133831.4207407585,1460.7639852969946,-2705.0079049559727,3021.0816972346393,0,0.2
2017-09-01,pre,535,637.1053877030051,-102.10538770300514,formal_hiring_balance,1864506.1495021763,1365.4692048897246,-2778.3758512854083,2574.1650758793985,0,0.2
2017-10-01,pre,48,197.69978853221835,-149.69978853221835,formal_hiring_balance,3372620.012556449,1836.4694423149133,-3749.113754177806,3449.7141771133693,0,0.2
2017-11-01,pre,143,20.219693208574085,122.78030679142591,formal_hiring_balance,4186583.2158904406,2046.114174695645,-3887.529783868934,4133.090397451786,0,0.2
2017-12-01,pre,-229,200.41743601808002,-429.41743601808,formal_hiring_balance,40871043.42047648,6393.04648977907,-12959.558307475269,12100.723435439108,0,0.2
2018-01-01,pre,92,459.9373692284138,-367.9373692284138,formal_hiring_balance,6923850.961911219,2631.321143819435,-5525.232042873245,4789.357304416418,0,0.2
2018-02-01,pre,-49,18.166633002856315,-67.16663300285632,formal_hiring_balance,4055684.2936121942,2013.8729586575698,-4014.2851014108137,3879.9518354051006,0,0.2
2018-03-01,pre,-2,-493.67038141212583,491.67038141212583,formal_hiring_balance,10539889.312981075,3246.519569166506,-5871.391049258717,6854.731812082969,0,0.2
2018-04-01,pre,109,176.3639462226604,-67.36394622266039,formal_hiring_balance,3015575.4564000648,1736.5412337172029,-3470.92222197713,3336.1943295318088,0,0.2
2018-05-01,pre,-358,-299.24992938357406,-58.750070616425944,formal_hiring_balance,3926764.155242371,1981.6064582157505,-3942.6273602512715,3825.1272190184195,0,0.2
2018-06-01,pre,-270,-214.08100260845458,-55.91899739154542,formal_hiring_balance,1080848.2651049118,1039.6385261738387,-2093.5730656325713,1981.7350708494803,0,0.2
2018-07-01,pre,-115,-68.50306268936555,-46.49693731063445,formal_hiring_balance,904003.596685393,950.7910373396422,-1910.0131273198106,1817.0192526985418,0,0.2
2018-08-01,pre,135,23.625436336697135,111.37456366330287,formal_hiring_balance,1203131.0519101867,1096.8733071372403,-2038.4576139290284,2261.2067412556344,0,0.2
2018-09-01,pre,625,254.7671768782974,370.2328231217026,formal_hiring_balance,7407735.794988398,2721.7155977413213,-4964.231724612191,5704.697370855596,0,0.2
2018-10-01,pre,145,337.5141693043139,-192.5141693043139,formal_hiring_balance,654621.0320242704,809.0865417396772,-1778.2946514901441,1393.2663128815161,0,0.2
2018-11-01,pre,224,47.11074558765284,176.88925441234716,formal_hiring_balance,1478235.9138212714,1215.8272549261558,-2206.0883766651164,2559.866885489811,0,0.2
2019-01-01,post,-300,620.5618797867069,-920.5618797867069,formal_hiring_balance,40146104.127216294,6336.095337604722,-13339.080544104114,11497.956784530701,0,0.2
2019-02-01,post,-246,161.1423172945988,-407.1423172945988,formal_hiring_balance,29556639.714724086,5436.601853614451,-11062.686148662619,10248.401514073423,0,0.2
2019-03-01,post,76,-378.30000632901834,454.30000632901834,formal_hiring_balance,16287360.076321028,4035.760160901664,-7455.644559279815,8364.244571937852,0,0.2
2019-04-01,post,152,-243.67233137252492,395.6723313725249,formal_hiring_balance,66724611.678855106,8168.513431393445,-15614.319801390317,16405.664464135367,0,0.2
2019-05-01,post,124,1034.5129219287019,-910.5129219287019,formal_hiring_balance,29493264.447114367,5430.770152300166,-11554.62682875213,9733.600984894725,0,0.2
2019-06-01,post,194,-41.36643136905883,235.36643136905883,formal_hiring_balance,11607806.1044195,3407.023056044602,-6442.27605297595,6913.008915714067,0,0.2
2019-07-01,post,253,218.68221896037983,34.31778103962017,formal_hiring_balance,24474209.243601456,4947.141522495739,-9661.901429474676,9730.536991553918,0,0.2
2019-08-01,post,276,569.2583514021374,-293.25835140213735,formal_hiring_balance,3980567.0784450667,1995.1358546337306,-4203.652770748789,3617.1360679445143,0,0.2
2019-09-01,post,605,411.1638536134583,193.8361463865417,formal_hiring_balance,22558651.56475811,4749.594884277828,-9115.198767953685,9502.87106072677,0,0.2
2019-10-01,post,242,545.3051421250527,-303.3051421250527,formal_hiring_balance,24016421.51400915,4900.655212725044,-9908.412859714615,9301.80257546451,0,0.2
2019-11-01,post,628,-366.4513492208003,994.4513492208002,formal_hiring_balance,2569078.0377945392,1602.834376283008,-2147.0463014766156,4135.948999918216,0,0.2
2019-12-01,post,-171,-244.17591289726488,73.17591289726488,formal_hiring_balance,13328710.44081246,3650.8506461936317,-7082.359866577035,7228.711692371566,0,0.2
2020-01-01,post,381,693.6349943073174,-312.63499430731736,formal_hiring_balance,48645518.33057195,6974.633920900218,-13982.666284623127,13357.39629600849,0,0.2
2020-02-01,post,757,519.0270713120833,237.9729286879167,formal_hiring_balance,23905122.64425965,4889.28651689177,-9344.852554517236,9820.79841189307,0,0.2
2020-03-01,post,407,861.0189472864886,-454.0189472864886,formal_hiring_balance,122529527.27476749,11069.305636523344,-22149.459328738456,21241.42143416548,0,0.2
2020-04-01,post,-1404,-836.2517648404091,-567.7482351595909,formal_hiring_balance,310075671.85200554,17608.965666728003,-35080.686746948806,33945.190276629626,0,0.2
2020-05-01,post,-440,477.7708087122696,-917.7708087122696,formal_hiring_balance,75956192.17471345,8715.284973809717,-17999.41547238242,16163.873854957881,0,0.2
2020-06-01,post,-25,961.5981683236209,-986.5981683236209,formal_hiring_balance,127274319.43559131,11281.592061211542,-23098.11229657123,21124.91595992399,0,0.2
2020-07-01,post,175,805.8272318877091,-630.8272318877091,formal_hiring_balance,80709495.22245163,8983.846349000612,-18238.842518570564,16977.188054795144,0,0.2
2020-08-01,post,639,1225.8559696950208,-586.8559696950208,formal_hiring_balance,29174692.828868162,5401.360275788698,-11173.327577766202,9999.615638376159,0,0.2
2020-09-01,post,1181,124.77481232552373,1056.2251876744763,formal_hiring_balance,32532488.026622254,5703.72580219476,-10122.87196231908,12235.32233766803,0,0.2
2020-10-01,post,632,227.92174565691266,404.07825434308734,formal_hiring_balance,3939097.9973384705,1984.7160999343132,-3485.8938210649644,4294.050329751139,0,0.2
2020-11-01,post,1010,93.04637722455527,916.9536227754447,formal_hiring_balance,120474123.1667066,10976.070479306636,-20595.749208438847,22429.656453989734,0,0.2
2020-12-01,post,146,-49.76295135778014,195.76295135778014,formal_hiring_balance,38117342.92996237,6173.924435070644,-11904.906584652479,12296.432487368038,0,0.2
